date,open,high,low,close,volume
2025-09-02,533.3784,534.2025,527.3149,529.4636,1069923
2025-09-03,527.9625,532.0637,525.7255,529.0712,864006
2025-09-04,531.7595,533.4765,528.2176,530.0719,999148
2025-09-05,532.6327,532.9467,522.4779,527.9134,920349
2025-09-08,527.6289,536.7731,524.7149,535.5761,1057914
2025-09-09,533.9671,538.5784,533.035,537.3814,633230
2025-09-10,537.0969,538.7133,528.8358,529.7089,910625
2025-09-11,530.8274,541.7573,529.8168,540.4917,1015965
2025-09-12,537.5777,539.9619,532.7603,533.9671,1008404
2025-09-15,535.3897,537.5581,532.9859,533.7316,963797
2025-09-16,529.8168,532.2343,526.8244,531.0825,1164086
2025-09-17,533.8984,537.1264,530.3123,533.8395,875684
2025-09-18,532.5248,533.344,493.6127,498.2241,3236630
2025-09-19,498.2241,500.3826,493.0976,497.5961,4147613
2025-09-22,498.7539,504.4396,495.938,496.0361,1754586
2025-09-23,496.0655,497.4391,483.762,487.3922,2249639
2025-09-24,483.2715,484.1152,476.2955,481.4858,2582283
2025-09-25,480.1024,481.4465,473.2736,475.7951,1933845
2025-09-26,478.7974,481.7016,476.2072,477.9929,1777871
2025-09-29,482.6828,484.65,479.1605,482.0745,1855862
2025-09-30,482.5454,482.5454,475.0887,477.5318,1626183
2025-10-01,479.6805,481.3877,471.1936,472.5868,1904215
2025-10-02,470.9777,475.2236,465.8199,467.6419,1560809
2025-10-03,466.5626,473.2147,465.8169,470.7619,1347768
2025-10-06,471.1838,471.4094,465.3362,469.3294,1997533
2025-10-07,475.5302,475.9521,469.8396,472.1453,1468845
2025-10-08,474.5,477.2227,468.9075,473.3325,1597774
2025-10-09,477.3454,482.7122,475.7559,478.4148,1874323
2025-10-10,483.0065,485.0964,476.1385,476.9333,2223540
2025-10-13,476.7567,481.0639,462.8833,470.3008,2139678
2025-10-14,468.103,479.082,468.0049,477.5121,1445069
2025-10-15,477.7182,482.0548,472.4396,473.774,1166179
2025-10-16,474.2449,475.5744,461.1369,463.1482,1691222
2025-10-17,464.6101,467.4751,461.3871,464.2667,1787832
2025-10-20,465.5128,469.1038,463.9233,468.5838,1697084
2025-10-21,469.3981,476.5408,468.5347,474.6668,1033266
2025-10-22,472.9695,476.6978,469.2804,470.6932,1715126
2025-10-23,473.0578,474.1566,469.8494,473.5974,1180485
2025-10-24,477.7869,482.9428,475.4419,480.2201,1306345
2025-10-27,482.7613,488.2164,482.1333,487.2745,1862855
2025-10-28,485.999,488.8247,483.3377,484.3703,1328597
2025-10-29,480.1318,480.7596,462.0886,464.1294,2540650
2025-10-30,478.5718,490.8164,477.1295,482.3001,2630696
2025-10-31,484.6451,488.6089,476.4084,478.0223,2522517
2025-11-03,480.485,487.9123,474.6473,487.6473,2069299
2025-11-04,488.3341,490.9145,485.6752,489.796,2089735
2025-11-05,487.1666,490.9342,485.6164,487.7258,1567813
2025-11-06,485.6556,487.8632,479.5824,480.7597,1315650
2025-11-07,479.239,487.0587,476.8352,487.0587,1704540
2025-11-10,484.282,485.5905,478.3854,484.5273,1505834
2025-11-11,485.6654,489.2564,484.2428,488.344,1130630
2025-11-12,488.3734,492.3443,486.1364,486.4896,966340
2025-11-13,482.3688,496.7229,482.3688,493.4753,1963089
2025-11-14,492.5825,494.3878,484.3213,484.5862,2082737
2025-11-17,483.2126,484.2035,478.4246,479.7295,1880355
2025-11-18,478.5325,483.1145,477.0804,481.0344,1208425
2025-11-19,481.4956,483.7031,478.719,481.5446,1533744
2025-11-20,484.4881,488.9228,479.7295,481.6526,1246091
2025-11-21,484.753,487.6277,481.1031,484.2918,1905015
2025-11-24,484.6843,484.91,479.602,480.0141,2782241
2025-11-25,481.0737,487.1764,480.0141,484.8707,1136590
2025-11-26,482.3884,489.0602,480.7597,486.2639,1041836
2025-11-28,488.5598,490.7517,486.313,489.4232,749592
2025-12-01,486.1658,490.993,485.4496,485.9303,1508460
2025-12-02,485.5771,487.1862,481.5545,481.9469,1190800
2025-12-03,482.9771,492.2734,482.5135,490.4534,1241406
2025-12-04,489.6979,492.6315,485.273,487.6179,935474
2025-12-05,485.2337,492.2769,485.2337,489.1191,1833230
2025-12-08,487.353,487.9024,480.2593,482.8201,1463989
2025-12-09,483.3892,486.107,480.8726,481.476,1081984
2025-12-10,481.6231,483.5511,476.1091,482.0548,1634840
2025-12-11,483.919,489.2025,482.8201,488.1772,2666334
2025-12-12,489.1583,494.4074,488.6874,491.5817,1463248
2025-12-15,493.0436,493.7795,488.2959,490.2081,1750160
2025-12-16,490.2768,493.9953,485.6654,490.4338,2368529
2025-12-17,491.4836,502.7471,490.8017,500.9614,2134613
2025-12-18,501.2067,506.1419,496.4384,497.1546,1567136
2025-12-19,497.1546,503.0611,496.5561,502.9335,2872701
2025-12-22,500.5886,514.7465,500.3041,512.0582,1423509
2025-12-23,511.1163,517.1209,510.0517,515.2371,1585298
2025-12-24,515.659,517.6311,514.3099,515.8258,444466
2025-12-26,514.825,519.6498,514.825,519.4658,717945
2025-12-29,520.0937,522.419,519.0194,520.1035,1229700
2025-12-30,517.8469,521.9579,517.0227,517.739,910220
2025-12-31,516.3556,518.0039,512.588,512.7352,1073948
2026-01-02,511.9699,514.6606,501.6679,502.9924,1636799
2026-01-05,502.3252,527.5308,501.8543,522.8507,1583737
2026-01-06,523.7926,531.5437,522.1002,529.4734,1425287
2026-01-07,530.8274,533.1723,526.8832,527.364,1174135
2026-01-08,527.2757,535.4485,525.8432,531.3474,1332376
2026-01-09,533.5648,537.0086,531.4161,531.7203,1197087
2026-01-12,530.798,534.3007,528.4335,534.2124,1034453
2026-01-13,534.6539,535.2867,526.2357,531.9361,1368561
2026-01-14,529.8365,536.675,529.5225,534.7226,1144111
2026-01-15,531.6516,541.8358,531.6516,535.1444,1544343
2026-01-16,535.0267,538.4754,532.8682,536.0471,1618174
2026-01-20,528.1881,534.7324,508.5457,509.2521,3039866
2026-01-21,510.8317,522.7232,510.8317,521.1435,1487841
2026-01-22,522.8017,530.3663,521.2024,529.6206,1740512
2026-01-23,529.7972,531.3229,519.6522,523.5473,1603593
2026-01-26,522.9488,528.6493,520.1918,525.1368,1022135
2026-01-27,523.2138,526.0591,516.179,516.7382,1310464
2026-01-28,514.0695,522.4092,513.1963,518.1609,1264336
2026-01-29,518.622,522.262,511.3419,518.6613,1615214
2026-01-30,514.6974,522.262,513.1472,517.8371,1428704
2026-02-02,517.8371,521.4183,513.6574,517.7095,1267227
2026-02-03,493.5146,497.3165,455.878,459.3806,6732128
2026-02-04,453.2976,461.8237,440.0178,456.7316,6197799
2026-02-05,461.1369,465.0615,430.9177,443.1918,5007656
2026-02-06,443.6333,452.807,428.298,430.9962,4337651
2026-02-09,429.7207,437.2363,427.8663,435.8136,3915566
2026-02-10,411.0692,416.7892,388.4146,393.5166,10888450
2026-02-11,399.0404,406.1841,383.3617,383.3912,5174841
2026-02-12,382.6946,392.4078,374.4088,389.7097,5396238
2026-02-13,391.6229,402.6608,391.6229,401.817,4739123
2026-02-17,408.1552,414.454,401.3166,402.7099,5131873
2026-02-18,406.1929,414.6405,405.383,411.4715,3112817
2026-02-19,410.2548,412.482,403.7401,408.8126,2111305
2026-02-20,406.4676,410.7258,402.9846,409.6073,2792315
2026-02-23,405.6729,409.676,396.617,397.1468,2554037
2026-02-24,394.7135,411.7462,392.9671,410.3824,3305859
2026-02-25,411.5009,418.3296,410.6522,415.6217,3237771
2026-02-26,418.5504,430.9079,418.5504,429.2399,2513889
2026-02-27,426.6694,435.1219,425.3897,433.5472,3176513
2026-03-02,424.8444,436.1178,424.8444,434.7245,2837197
2026-03-03,428.7592,439.1789,427.5328,435.6174,3264291
2026-03-04,435.3917,441.7201,432.9879,437.0989,2054802
2026-03-05,434.8717,443.1427,434.4596,442.6031,2611416
2026-03-06,438.9729,444.1533,435.3574,443.8295,1869258
2026-03-09,440.1306,441.1069,423.2844,436.883,2154876
2026-03-10,435.9117,436.6279,423.8535,427.2286,1839410
2026-03-11,427.2875,431.0256,408.0767,420.8708,2118816
2026-03-12,420.4195,420.6648,410.4413,411.7854,2326074
2026-03-13,415.8964,419.4874,411.2065,414.5228,1790625
2026-03-16,416.6911,420.6942,416.6911,418.5455,1853132
2026-03-17,423.0391,427.7486,420.9885,424.7757,1492737
2026-03-18,420.5961,422.7252,417.9666,418.5946,1909962
2026-03-19,414.1304,419.9093,411.0986,418.104,1953991
2026-03-20,418.3198,420.1937,413.3945,416.4262,3444730
2026-03-23,421.4104,425.4233,417.0934,420.7825,1954462
2026-03-24,416.9659,417.9764,403.3476,403.4457,2627982
2026-03-25,409.8526,411.4518,397.3626,400.777,3002589
2026-03-26,399.1091,407.5175,398.54,404.6721,2363092
2026-03-27,400.2962,402.5136,395.7634,398.5792,1638483
2026-03-30,403.1514,411.0005,401.243,409.7152,1665027
2026-03-31,414.7387,418.8595,409.1462,417.3191,2012991
2026-04-01,417.5938,419.5953,408.1846,417.1523,1877551
2026-04-02,413.5613,425.3546,412.1779,423.0293,1405523
2026-04-06,421.5772,427.4641,421.0965,425.9237,993622
2026-04-07,424.8346,428.7298,419.301,421.9501,1543111
2026-04-08,429.3577,433.6649,427.3856,428.7199,1260484
2026-04-09,424.9916,427.0814,408.5771,416.3183,2094671
2026-04-10,413.9734,415.9749,401.0321,407.5861,2015930
2026-04-13,408.9401,422.0874,408.165,421.9697,1777979
2026-04-14,422.9606,427.0814,416.436,417.221,2455566
2026-04-15,418.9478,426.7969,418.9478,422.4603,2380935
2026-04-16,429.2301,432.1441,427.1011,428.5531,1542338
2026-04-17,434.5283,436.8536,429.2449,434.2241,1679766
2026-04-20,434.0574,435.3132,430.7313,434.3909,1479452
