date,open,high,low,close,volume
2025-09-02,19.72,20.0,19.0,19.95,5906389
2025-09-03,20.12,20.465,19.76,20.36,4368325
2025-09-04,20.03,20.5399,19.84,20.41,3446695
2025-09-05,20.81,21.19,20.51,21.1,3358961
2025-09-08,21.61,21.685,21.08,21.39,3693476
2025-09-09,21.66,21.66,20.82,21.16,5133409
2025-09-10,21.34,22.02,21.31,21.97,3031000
2025-09-11,21.97,22.77,21.88,22.76,2502977
2025-09-12,22.87,23.07,22.01,22.39,3439196
2025-09-15,22.4,23.03,22.2809,22.64,3309042
2025-09-16,22.83,22.83,21.48,21.54,3675888
2025-09-17,20.99,22.4,20.86,21.78,3660622
2025-09-18,21.535,21.8,21.06,21.8,3806061
2025-09-19,21.72,22.935,21.64,22.84,10088010
2025-09-22,23.345,23.5,22.68,23.2,4445640
2025-09-23,23.45,23.71,23.0,23.1,3438171
2025-09-24,23.18,23.395,22.54,22.82,2828336
2025-09-25,22.94,23.76,22.72,23.74,4158798
2025-09-26,23.92,24.23,23.76,24.13,3795788
2025-09-29,24.79,24.9074,24.41,24.58,3757223
2025-09-30,24.21,25.09,24.06,24.42,3085436
2025-10-01,24.61,24.7682,23.56,23.89,3978824
2025-10-02,24.08,24.1799,22.34,23.5,4249720
2025-10-03,23.76,23.92,23.0532,23.35,2579848
2025-10-06,23.65,24.215,23.33,23.41,2911636
2025-10-07,23.43,23.4865,23.03,23.25,3112952
2025-10-08,23.8,24.16,23.29,23.51,3926485
2025-10-09,23.6,23.84,22.38,22.85,4226522
2025-10-10,23.01,23.08,21.86,22.44,3224807
2025-10-13,23.11,23.63,23.02,23.52,1852989
2025-10-14,23.32,23.99,23.06,23.6,2847874
2025-10-15,24.085,25.98,24.08,25.41,5196917
2025-10-16,25.53,25.955,24.96,25.8,3543581
2025-10-17,25.02,25.4,23.22,23.74,3949463
2025-10-20,24.035,24.44,23.5209,24.41,2357261
2025-10-21,22.42,22.92,21.33,22.13,4151137
2025-10-22,21.13,22.59,21.13,22.45,3293999
2025-10-23,23.275,23.63,22.93,23.02,2374984
2025-10-24,22.545,23.34,22.3,22.88,2471119
2025-10-27,22.08,22.658,21.44,22.17,3077528
2025-10-28,21.685,22.86,21.6,22.67,2144555
2025-10-29,23.49,23.49,22.12,22.36,2615132
2025-10-30,22.5,23.0413,22.1,22.93,2209256
2025-10-31,22.86,22.985,22.32,22.56,2639814
2025-11-03,22.56,23.03,22.4101,22.89,2318479
2025-11-04,22.29,22.32,21.635,21.7,2720404
2025-11-05,18.625,19.91,18.19,19.48,6205278
2025-11-06,19.86,20.34,19.77,19.78,2860044
2025-11-07,19.9,20.38,19.56,19.94,3227301
2025-11-10,21.01,21.37,20.61,20.82,3006903
2025-11-11,20.87,21.11,20.61,20.82,2213513
2025-11-12,21.23,21.86,20.57,21.63,2767656
2025-11-13,21.76,21.785,20.61,21.19,2743079
2025-11-14,19.825,21.405,19.69,21.265,2603226
2025-11-17,21.22,21.92,21.04,21.29,2267554
2025-11-18,21.505,21.6545,20.8401,21.26,1500285
2025-11-19,21.77,22.09,20.91,21.4,1668233
2025-11-20,21.34,21.9386,19.97,20.0,2206842
2025-11-21,19.93,20.505,19.8,20.17,2655016
2025-11-24,20.43,21.56,20.21,21.53,1960405
2025-11-25,21.53,21.96,21.45,21.61,1879846
2025-11-26,22.005,22.65,21.88,22.63,1754159
2025-11-28,23.11,23.4565,22.83,23.28,2691248
2025-12-01,23.385,23.44,22.34,22.46,3084854
2025-12-02,22.25,22.42,21.51,21.7,2743250
2025-12-03,21.91,22.0401,21.35,21.44,2829940
2025-12-04,21.1,21.34,21.03,21.23,2013582
2025-12-05,21.63,21.8,20.76,20.92,1578218
2025-12-08,21.2,21.55,20.83,21.0,2245628
2025-12-09,20.95,21.98,20.95,21.4,1865408
2025-12-10,21.23,21.615,20.81,21.34,2369712
2025-12-11,21.44,22.8058,21.3,22.4,2662815
2025-12-12,23.0,23.145,21.33,22.21,2993168
2025-12-15,22.62,22.71,21.46,21.84,2147846
2025-12-16,21.845,22.435,21.711,22.2,2221269
2025-12-17,22.6,22.83,21.61,22.1,2773202
2025-12-18,22.1,23.25,21.91,22.46,2696520
2025-12-19,22.55,23.39,22.5,22.95,7300243
2025-12-22,23.57,23.882,23.03,23.3,2775591
2025-12-23,23.49,23.54,22.73,23.14,1863549
2025-12-24,23.12,23.12,22.41,22.81,975131
2025-12-26,23.28,23.57,22.79,23.16,1461425
2025-12-29,21.855,22.3,21.41,21.87,4029053
2025-12-30,22.36,22.5,21.84,21.94,1933087
2025-12-31,21.685,22.325,21.66,21.92,1839847
2026-01-02,22.44,22.45,20.8256,21.52,2854848
2026-01-05,21.875,22.87,21.515,21.64,3040955
2026-01-06,21.74,22.61,21.61,22.57,2892442
2026-01-07,22.09,22.24,21.47,22.22,1638194
2026-01-08,21.625,22.09,21.38,21.98,1765069
2026-01-09,22.12,22.56,21.87,22.01,1822014
2026-01-12,22.75,23.59,22.72,22.89,3144833
2026-01-13,23.08,24.77,23.08,23.84,4716839
2026-01-14,24.64,24.89,23.5,23.82,4118531
2026-01-15,23.241,24.16,23.08,23.87,2366911
2026-01-16,23.54,23.605,22.45,22.87,4129218
2026-01-20,23.44,24.65,23.35,24.43,4174974
2026-01-21,24.85,25.18,22.96,23.13,4439498
2026-01-22,23.68,26.1,23.64,25.98,5696614
2026-01-23,26.385,26.86,25.46,26.26,5139323
2026-01-26,27.75,28.09,26.95,27.07,7960690
2026-01-27,26.985,28.03,25.93,27.92,5101132
2026-01-28,28.23,28.35,27.17,28.16,3315582
2026-01-29,28.73,28.81,26.07,26.82,4429792
2026-01-30,24.795,25.51,22.58,22.83,6718119
2026-02-02,22.8,23.4434,22.46,22.75,4766188
2026-02-03,24.18,24.41,23.21,24.39,4081086
2026-02-04,24.8,24.869,23.01,24.12,3073219
2026-02-05,22.75,23.76,22.4468,22.53,3127993
2026-02-06,23.25,24.2,23.2,24.16,3232168
2026-02-09,24.465,25.94,24.36,25.9,2580838
2026-02-10,25.72,26.95,25.59,26.64,2902637
2026-02-11,27.25,27.55,26.16,27.52,2911996
2026-02-12,27.595,27.78,25.91,25.93,3968513
2026-02-13,26.27,28.22,26.085,28.11,5593742
2026-02-17,26.86,27.13,25.515,25.91,3834775
2026-02-18,26.81,27.05,25.21,26.59,11636750
2026-02-19,26.56,29.68,25.99,29.11,6494521
2026-02-20,29.06,30.575,28.48,30.46,7707167
2026-02-23,30.94,31.68,30.12,30.3,4942869
2026-02-24,29.44,30.9491,29.13,30.66,2768296
2026-02-25,31.15,31.21,30.21,30.49,3112389
2026-02-26,30.22,32.36,29.9611,32.14,2969872
2026-02-27,32.16,32.6,31.63,32.19,2822479
2026-03-02,32.0,32.54,30.6,31.94,3211827
2026-03-03,29.54,30.06,27.8,28.93,3360626
2026-03-04,33.21,33.49,31.6,33.26,10774530
2026-03-05,32.75,33.33,30.03,31.19,8852582
2026-03-06,30.65,31.36,29.85,30.53,3887205
2026-03-09,29.06,30.21,27.7835,30.14,4521460
2026-03-10,30.66,31.68,30.1,30.94,3655804
2026-03-11,29.9,30.32,28.81,30.32,3210448
2026-03-12,31.02,31.04,29.44,29.47,2439721
2026-03-13,29.24,29.35,27.93,28.18,3330122
2026-03-16,28.05,29.135,27.525,28.4,3143041
2026-03-17,28.71,29.03,27.96,28.26,2592032
2026-03-18,27.31,27.34,25.66,25.79,4320074
2026-03-19,24.03,24.43,22.92,24.09,5511227
2026-03-20,24.12,24.16,22.56,22.99,6401211
2026-03-23,23.39,24.93,23.295,24.27,4558333
2026-03-24,23.86,24.745,23.55,24.44,2149893
2026-03-25,25.945,26.77,25.62,26.08,4983181
2026-03-26,25.11,26.46,24.64,24.66,3060814
2026-03-27,25.14,27.02,24.89,26.45,4176690
2026-03-30,26.73,27.0,25.736,26.21,3154555
2026-03-31,27.0,29.47,27.0,29.4,5841115
2026-04-01,30.17,32.745,29.62,31.5,7155938
2026-04-02,29.7,31.92,29.4,31.58,6222944
2026-04-06,31.48,32.57,31.42,31.865,3939860
2026-04-07,31.99,32.61,31.22,32.59,4373510
2026-04-08,35.148,35.555,33.89,35.08,6713102
2026-04-09,35.2,36.515,32.83,33.41,4775667
2026-04-10,33.635,34.51,32.83,33.13,4531676
2026-04-13,32.515,32.74,31.71,32.06,2961188
2026-04-14,32.54,32.905,31.89,32.84,2942733
2026-04-15,32.54,32.71,31.13,31.16,2967413
2026-04-16,31.33,31.83,31.05,31.15,1978155
2026-04-17,31.82,32.5,31.655,31.75,2543747
2026-04-20,31.59,32.095,30.85,31.92,2197248
2026-04-21,31.55,31.73,29.855,29.87,2618282
2026-04-22,30.725,31.0138,30.25,30.6,1545351
2026-04-23,30.35,30.55,29.055,29.85,2730929
2026-04-24,29.95,30.58,29.415,30.55,1686736
2026-04-27,30.55,30.95,29.96,30.75,1903428
2026-04-28,29.91,30.035,28.8,29.23,3276176
2026-04-29,28.88,28.88,28.065,28.17,2997516
2026-04-30,29.22,29.4982,28.38,28.81,5154652
2026-05-01,28.56,29.6,28.49,29.19,3018243
2026-05-04,29.01,29.3699,28.28,28.34,3194212
2026-05-05,29.01,29.19,28.14,28.25,2320903
2026-05-06,32.41,34.15,31.8,32.62,5422685
