date,open,high,low,close,volume
2025-09-02,20.1,20.185,20.005,20.1,2078762
2025-09-03,20.05,20.26,20.0319,20.26,1948389
2025-09-04,20.28,20.47,20.26,20.47,2048807
2025-09-05,20.56,20.715,20.48,20.6,2525608
2025-09-08,20.5,20.595,20.33,20.51,2519005
2025-09-09,20.51,20.67,20.36,20.61,2702504
2025-09-10,20.63,20.76,20.595,20.71,2315323
2025-09-11,20.79,20.84,20.56,20.58,3040834
2025-09-12,20.55,20.58,20.47,20.49,3617029
2025-09-15,20.62,20.62,20.3,20.33,2306765
2025-09-16,20.32,20.42,20.1435,20.18,2152909
2025-09-17,20.23,20.48,20.17,20.28,2666052
2025-09-18,20.33,20.4,20.175,20.3,2019841
2025-09-19,20.37,20.37,20.18,20.23,4786237
2025-09-22,20.19,20.21,19.965,20.03,3412003
2025-09-23,20.07,20.17,19.975,20.06,2840783
2025-09-24,20.05,20.0799,19.94,19.97,3167516
2025-09-25,19.91,20.01,19.82,19.98,2995763
2025-09-26,20.09,20.1365,19.979,20.05,2539772
2025-09-29,20.05,20.07,19.735,19.91,4473236
2025-09-30,19.42,19.44,19.215,19.37,2879224
2025-10-01,19.34,19.545,19.32,19.47,3765707
2025-10-02,19.46,19.5296,19.24,19.45,2543591
2025-10-03,19.46,19.57,19.38,19.43,2682246
2025-10-06,19.41,19.425,18.99,19.0,4205710
2025-10-07,18.99,19.05,18.89,18.92,2982493
2025-10-08,18.99,19.0,18.785,18.79,2905664
2025-10-09,18.76,18.8505,18.43,18.51,3556839
2025-10-10,18.58,18.6287,18.38,18.4,3396353
2025-10-13,18.45,18.73,18.45,18.72,2688538
2025-10-14,18.66,18.97,18.64,18.9,3140858
2025-10-15,19.06,19.06,18.69,18.69,3634324
2025-10-16,18.7,18.79,18.33,18.33,3221772
2025-10-17,18.37,18.57,18.3505,18.55,2501207
2025-10-20,18.57,18.7,18.5,18.68,2000535
2025-10-21,18.67,18.79,18.63,18.65,2191844
2025-10-22,18.7,18.77,18.595,18.69,2144440
2025-10-23,18.75,18.76,18.53,18.56,2062349
2025-10-24,18.69,18.8,18.63,18.64,2238028
2025-10-27,18.66,18.72,18.5201,18.59,2199989
2025-10-28,18.58,18.58,18.425,18.45,2207804
2025-10-29,18.43,18.62,18.185,18.27,3345069
2025-10-30,18.18,18.28,18.0,18.12,3799047
2025-10-31,18.02,18.23,17.8547,18.18,3331489
2025-11-03,18.09,18.13,17.895,18.13,3262318
2025-11-04,18.09,18.44,18.04,18.37,5280948
2025-11-05,18.37,18.53,18.35,18.47,3087093
2025-11-06,18.49,18.535,18.24,18.27,3573274
2025-11-07,18.32,18.425,18.25,18.42,3932414
2025-11-10,18.24,18.4,17.81,17.89,5252963
2025-11-11,17.955,18.17,17.87,18.07,3230619
2025-11-12,18.04,18.1,17.91,17.91,3208828
2025-11-13,17.91,18.0591,17.855,17.92,2865471
2025-11-14,17.9,17.95,17.73,17.83,3860282
2025-11-17,17.86,17.91,17.6,17.63,2861400
2025-11-18,17.59,17.67,17.46,17.67,4031549
2025-11-19,17.68,17.69,17.525,17.58,2647003
2025-11-20,17.58,17.7561,17.53,17.54,2978725
2025-11-21,17.57,17.97,17.54,17.86,3345822
2025-11-24,17.85,17.885,17.72,17.79,3540042
2025-11-25,17.83,18.33,17.83,18.26,3390612
2025-11-26,18.32,18.47,18.31,18.31,3308484
2025-11-28,18.4,18.4333,18.25,18.34,1771231
2025-12-01,18.26,18.37,18.2,18.37,3559312
2025-12-02,18.36,18.37,18.15,18.2,2522589
2025-12-03,18.21,18.44,18.21,18.41,2269465
2025-12-04,18.51,18.58,18.185,18.3,4092938
2025-12-05,18.31,18.3652,18.23,18.24,2354106
2025-12-08,18.2,18.35,18.15,18.31,2941056
2025-12-09,18.35,18.46,18.2224,18.23,3000751
2025-12-10,18.28,18.61,18.2762,18.55,3866192
2025-12-11,18.6,18.66,18.41,18.48,2733093
2025-12-12,18.55,18.625,18.43,18.43,2269543
