date,open,high,low,close,volume
2025-09-02,150.13,154.16,149.3595,151.26,6085083
2025-09-03,150.25,150.57,146.325,146.49,4546281
2025-09-04,146.87,147.8,144.81,145.88,2758167
2025-09-05,146.23,150.73,145.5301,148.43,3046568
2025-09-08,148.22,148.22,144.5839,146.1,3096711
2025-09-09,146.0,148.1,145.38,145.98,3328874
2025-09-10,146.0,146.0,142.51,142.9,2236160
2025-09-11,142.9,143.91,142.25,142.98,3037671
2025-09-12,143.0,143.0,139.45,139.49,2446760
2025-09-15,140.23,140.535,135.25,135.42,3475804
2025-09-16,135.67,135.71,133.84,134.68,2904394
2025-09-17,135.13,135.99,132.82,133.04,2754709
2025-09-18,133.1,134.2,131.9,133.02,2951779
2025-09-19,133.76,134.15,131.82,132.92,6144583
2025-09-22,133.0,135.18,132.49,133.48,3275329
2025-09-23,134.37,134.64,131.2,131.78,3051254
2025-09-24,131.76,134.48,131.5,133.39,2590482
2025-09-25,133.75,133.925,131.86,132.65,2518340
2025-09-26,132.99,133.22,131.61,132.49,2297212
2025-09-29,132.95,136.8,132.05,136.47,2856981
2025-09-30,136.45,136.54,133.93,134.67,2213714
2025-10-01,136.27,139.02,135.12,138.95,2757356
2025-10-02,138.56,140.8,138.49,140.51,3298246
2025-10-03,140.63,142.9,140.46,142.2,3027741
2025-10-06,141.51,141.715,138.0,138.71,4699114
2025-10-07,144.5,147.6,139.02,140.14,6552397
2025-10-08,140.44,144.33,139.7001,142.76,3238173
2025-10-09,143.0,145.53,141.89,142.97,2933755
2025-10-10,143.74,145.39,140.61,141.33,3373140
2025-10-13,140.81,141.69,138.75,141.44,2678917
2025-10-14,140.195,142.05,139.8,141.24,2969610
2025-10-15,140.57,141.04,137.15,138.89,2788810
2025-10-16,139.82,141.18,138.6,139.32,2008024
2025-10-17,139.29,141.17,138.6117,140.41,2226034
2025-10-20,140.77,143.29,140.1,141.23,1729016
2025-10-21,141.72,141.815,139.2,141.57,2424451
2025-10-22,141.0,142.24,139.655,140.2,2057887
2025-10-23,140.3,140.655,138.853,139.72,1352166
2025-10-24,140.74,141.03,139.16,139.62,1217486
2025-10-27,139.91,140.02,137.18,137.96,2144760
2025-10-28,137.21,137.25,134.16,134.19,2385295
2025-10-29,133.54,133.88,130.75,130.98,2823147
2025-10-30,130.0,130.9799,128.8,128.88,2773588
2025-10-31,128.1,132.315,127.0,131.38,3878928
2025-11-03,131.0,131.62,129.91,130.82,1963026
2025-11-04,130.53,131.58,128.2,129.18,2129574
2025-11-05,128.82,131.96,128.29,130.62,1744742
2025-11-06,129.01,130.78,127.95,127.95,2004425
2025-11-07,128.68,129.5,126.64,127.65,3760392
2025-11-10,127.96,128.91,126.45,128.47,2268382
2025-11-11,128.875,133.0,128.875,131.81,2920667
2025-11-12,132.11,132.69,130.38,130.38,1318778
2025-11-13,129.71,131.52,129.33,129.69,2079929
2025-11-14,129.84,130.06,126.875,129.16,2973427
2025-11-17,129.0,133.4,128.8531,130.96,2444329
2025-11-18,130.84,131.11,129.365,130.53,1875318
2025-11-19,130.03,131.09,128.77,129.27,2174240
2025-11-20,128.74,131.0133,127.85,130.45,1979425
2025-11-21,131.16,135.55,131.1101,133.66,2773546
2025-11-24,133.45,133.51,131.64,132.11,2369311
2025-11-25,132.66,133.49,131.33,132.18,1863212
2025-11-26,131.87,136.25,131.7375,134.89,2145294
2025-11-28,134.81,137.15,134.805,136.38,1799674
2025-12-01,135.84,138.28,135.67,137.87,2734969
2025-12-02,137.5,138.25,136.0,137.86,2291438
2025-12-03,138.0,139.75,137.185,138.08,2176292
2025-12-04,138.09,139.4,136.89,138.03,2204597
2025-12-05,137.71,142.57,137.26,142.37,2994370
2025-12-08,141.8,142.29,139.88,141.99,2545354
2025-12-09,141.69,143.9,141.69,143.37,2339900
2025-12-10,143.89,148.55,143.6,148.51,3775709
2025-12-11,148.6,151.51,148.6,149.55,3051539
2025-12-12,150.25,151.1,147.2,147.42,2098172
2025-12-15,147.42,148.46,141.5,143.47,3353499
2025-12-16,144.52,145.01,142.26,142.59,2055525
2025-12-17,140.5,141.92,138.76,139.72,2382469
2025-12-18,139.5,141.03,136.72,136.81,2019358
2025-12-19,136.2,137.2,134.67,135.01,4706543
2025-12-22,134.8,142.92,134.04,141.74,3644928
2025-12-23,141.26,141.52,138.51,139.23,2242172
2025-12-24,139.23,140.49,138.98,140.49,964017
2025-12-26,140.28,140.28,137.41,139.41,1616096
2025-12-29,139.31,140.46,137.62,138.51,1906953
2025-12-30,138.35,140.46,137.91,140.13,2154126
2025-12-31,139.59,139.685,137.56,137.96,1647325
2026-01-02,138.4,142.2,136.9112,141.17,2084206
2026-01-05,143.0,145.48,141.805,142.51,4964297
2026-01-06,142.0,144.26,141.04,143.65,3127799
2026-01-07,143.11,143.21,140.49,140.49,3880684
2026-01-08,143.86,151.64,143.745,147.96,7807712
2026-01-09,149.05,149.922,145.7501,147.0,2676830
2026-01-12,147.25,153.8,146.875,151.82,3136354
2026-01-13,151.55,154.085,150.26,153.16,2372291
2026-01-14,153.48,158.22,153.465,156.36,3533173
2026-01-15,156.75,159.88,154.46,158.75,2794460
2026-01-16,156.58,157.495,154.59,156.64,2231631
2026-01-20,156.65,164.33,156.27,163.64,3921265
2026-01-21,163.42,164.49,160.18,163.38,2914942
2026-01-22,162.86,163.49,159.85,160.72,2292775
2026-01-23,160.02,160.02,157.865,158.78,2250480
2026-01-26,159.5,162.33,159.01,161.55,2868447
2026-01-27,160.08,161.77,159.385,161.25,2236068
2026-01-28,161.51,161.75,157.0,157.74,1859114
2026-01-29,156.39,156.545,152.98,154.75,2337712
2026-01-30,154.86,157.275,154.75,156.7,1547285
2026-02-02,156.35,160.45,153.95,155.66,2222675
2026-02-03,154.94,160.66,154.53,160.62,2087373
2026-02-04,162.51,167.48,161.29,166.68,3247459
2026-02-05,166.46,166.8,162.65,165.57,2548916
2026-02-06,165.6,166.6511,162.5,164.33,1848567
2026-02-09,163.82,165.2981,161.56,163.61,1591148
2026-02-10,163.54,167.63,162.1,165.63,2126434
2026-02-11,164.4,164.4,160.305,163.2,2715008
2026-02-12,164.0,165.79,162.34,162.36,2060202
2026-02-13,156.38,157.79,148.83,149.3,6064753
2026-02-17,150.16,155.36,149.56,152.7,3372222
2026-02-18,150.32,156.91,149.79,156.29,2395836
2026-02-19,155.9,156.15,152.745,154.64,1515874
2026-02-20,155.08,157.63,153.34,156.41,1223199
2026-02-23,157.5,161.16,157.25,159.42,1847841
2026-02-24,159.72,160.85,158.125,160.07,1550246
