date,open,high,low,close,volume
2025-09-02,45.835,46.6556,45.23,45.59,1521846
2025-09-03,45.92,46.3972,44.9,45.46,1293379
2025-09-04,45.41,45.56,44.11,45.22,1095154
2025-09-05,46.29,48.335,44.821,48.25,1835916
2025-09-08,48.83,49.93,47.52,47.595,1520454
2025-09-09,47.67,48.59,46.4,48.48,990213
2025-09-10,49.4,51.27,48.42,48.89,1359897
2025-09-11,49.26,50.525,48.71,48.91,1189596
2025-09-12,48.995,49.44,47.23,47.75,1439388
2025-09-15,47.89,51.8499,47.62,51.39,1697919
2025-09-16,52.0,52.17,50.0112,51.61,2204323
2025-09-17,51.3,51.5676,47.9,49.18,2065647
2025-09-18,50.0,51.9799,49.71,51.26,1780517
2025-09-19,51.87,57.76,51.86,57.05,5132566
2025-09-22,56.96,61.229,56.25,60.73,3392106
2025-09-23,58.3,59.54,53.68,54.22,4329003
2025-09-24,54.12,54.97,52.3203,53.02,1461731
2025-09-25,51.22,52.42,49.33,51.55,1627291
2025-09-26,51.75,52.67,50.975,52.14,1042055
2025-09-29,53.49,54.788,53.04,53.73,2187047
2025-09-30,53.39,54.255,52.3514,53.9,993019
2025-10-01,53.645,58.96,53.4601,58.1,2074145
2025-10-02,59.5,64.5,58.9,63.62,3396699
2025-10-03,64.4,65.1699,61.7,63.1,1913684
2025-10-06,65.91,69.0,65.06,67.84,2498404
2025-10-07,68.26,71.29,65.2501,68.42,2271878
2025-10-08,66.2,71.14,66.2,68.83,1715987
2025-10-09,68.855,71.13,65.35,67.14,1686499
2025-10-10,67.89,70.1876,63.5,63.76,1813246
2025-10-13,65.43,72.11,65.24,70.51,1963924
2025-10-14,68.62,76.04,66.85,73.64,2894728
2025-10-15,76.84,79.58,71.2937,75.36,2581390
2025-10-16,76.575,78.0199,71.35,72.19,3062836
2025-10-17,70.3,72.83,65.92,68.52,1894576
2025-10-20,69.99,70.8799,68.0,70.48,1025906
2025-10-21,70.44,71.9843,67.45,69.89,1024693
2025-10-22,67.645,68.42,61.5,64.44,2045454
2025-10-23,65.44,68.46,64.5,67.86,1495784
2025-10-24,69.21,70.2,64.46,65.1,1914800
2025-10-27,66.73,71.85,65.8001,70.69,2111443
2025-10-28,70.95,72.07,68.42,68.6,1902921
2025-10-29,69.0,78.65,68.302,77.74,3961208
2025-10-30,75.41,79.2876,74.0,77.26,1958071
2025-10-31,79.0,82.2,76.5,80.95,2882347
2025-11-03,82.2,84.0,79.9201,81.83,3731761
2025-11-04,76.29,78.67,72.88,75.6,1971714
2025-11-05,76.11,79.3,74.26,78.07,1257518
2025-11-06,77.92,77.92,69.02,70.18,2089233
2025-11-07,67.0,69.93,64.64,69.8,1936421
2025-11-10,75.37,75.5,69.83,70.72,1235561
2025-11-11,68.89,69.66,63.83,66.18,1334364
2025-11-12,66.55,67.08,61.34,63.11,1847742
2025-11-13,61.1,61.1,56.76,59.52,3588732
2025-11-14,55.75,61.69,55.35,58.18,1533296
2025-11-17,58.18,59.57,56.08,56.89,1474871
2025-11-18,54.39,56.48,52.5,52.94,2226321
2025-11-19,53.3,55.28,52.775,53.96,1122920
2025-11-20,56.91,59.45,53.84,54.72,2845067
2025-11-21,53.59,54.485,48.58,53.64,2459580
2025-11-24,55.81,56.045,51.8619,55.46,4085131
2025-11-25,73.468,78.33,69.13,77.29,10182480
2025-11-26,78.84,87.88,77.91,87.3,5758882
2025-11-28,84.41,85.79,81.78,83.77,2626225
2025-12-01,82.94,86.68,81.75,85.3,2707043
2025-12-02,79.55,80.993,66.1277,66.95,7254743
2025-12-03,68.81,73.32,67.0901,73.22,3407974
2025-12-04,62.212,65.6999,59.83,60.48,9642540
2025-12-05,59.73,62.25,57.03,59.7,12422850
2025-12-08,60.51,61.97,59.26,60.48,4188506
2025-12-09,59.1,64.13,58.5,62.17,3713703
2025-12-10,61.125,61.46,59.15,60.25,2963440
