date,open,high,low,close,volume
2025-09-02,85.45,86.525,85.01,85.97,391221
2025-09-03,85.55,86.68,84.95,86.4,349920
2025-09-04,86.72,87.3075,86.055,87.2,341147
2025-09-05,87.54,88.3,85.77,86.52,404626
2025-09-08,86.71,87.515,85.27,87.3,384521
2025-09-09,87.08,87.4,86.07,86.53,411319
2025-09-10,86.58,87.35,86.46,87.23,363311
2025-09-11,87.29,87.71,86.2,87.35,368783
2025-09-12,86.94,87.81,86.379,86.98,271992
2025-09-15,87.22,87.27,85.18,85.26,400703
2025-09-16,85.26,85.26,82.83,84.18,367252
2025-09-17,84.64,87.46,83.78,85.27,403823
2025-09-18,85.85,87.99,85.598,87.87,475731
2025-09-19,87.79,87.8,86.23,86.98,821523
2025-09-22,86.54,87.6,84.78,85.36,389936
2025-09-23,85.67,86.89,84.94,85.69,474423
2025-09-24,85.68,86.74,85.36,86.01,345380
2025-09-25,85.91,87.06,84.98,86.44,533292
2025-09-26,86.75,87.67,85.82,86.51,274325
2025-09-29,86.5,86.61,84.1,85.46,282592
2025-09-30,85.29,86.44,83.565,84.53,414474
2025-10-01,83.97,84.49,83.23,83.88,240260
2025-10-02,83.74,84.25,82.495,84.2,305567
2025-10-03,84.16,85.335,84.14,84.72,321107
2025-10-06,85.6,86.96,84.51,86.5,357144
2025-10-07,86.74,88.11,85.825,86.62,407312
2025-10-08,86.81,87.85,85.935,86.25,227519
2025-10-09,86.32,86.66,84.685,85.1,286684
2025-10-10,85.42,86.32,80.0,80.18,635649
2025-10-13,81.49,82.58,80.64,82.53,382164
2025-10-14,81.6,85.89,81.6,85.27,279318
2025-10-15,85.46,85.7395,82.62,83.38,430542
2025-10-16,81.98,82.0,75.41,77.08,2323199
2025-10-17,77.83,79.49,76.6,78.89,736067
2025-10-20,79.76,82.12,79.19,81.58,440999
2025-10-21,81.17,81.89,80.91,81.69,430296
2025-10-22,82.02,83.5,80.945,82.03,782395
2025-10-23,83.61,85.75,81.965,84.52,724080
2025-10-24,85.44,86.86,84.77,85.45,663307
2025-10-27,85.97,86.93,84.42,85.9,678692
2025-10-28,85.91,86.02,83.0,83.88,477249
2025-10-29,83.66,85.415,82.95,83.33,473021
2025-10-30,83.28,85.17,82.02,82.14,508278
2025-10-31,81.64,84.075,81.265,83.84,478265
2025-11-03,83.22,85.34,82.72,85.31,572942
2025-11-04,84.6,84.99,83.19,83.76,417777
2025-11-05,84.01,86.285,84.01,85.22,534960
2025-11-06,84.99,85.895,84.09,84.65,406219
2025-11-07,84.46,86.74,83.985,86.74,295777
2025-11-10,87.19,88.1757,86.61,86.9,427553
2025-11-11,86.96,88.06,86.51,87.38,616899
2025-11-12,87.19,88.49,87.025,87.34,379066
2025-11-13,86.8,87.59,84.34,84.65,413970
2025-11-14,83.92,86.0,83.28,85.8,537876
2025-11-17,85.25,85.835,82.145,82.64,406610
2025-11-18,82.34,84.19,82.34,83.82,405586
2025-11-19,83.73,85.09,83.675,84.74,300593
2025-11-20,85.86,87.5,84.7,84.82,392557
2025-11-21,85.01,88.83,84.885,87.95,481930
2025-11-24,87.66,89.79,86.99,88.54,383290
2025-11-25,88.97,92.155,88.97,90.72,458436
2025-11-26,90.16,91.27,89.7953,90.23,309034
2025-11-28,90.66,90.84,89.96,90.17,399162
2025-12-01,89.21,91.7,89.21,91.41,424418
2025-12-02,92.51,92.8,90.74,90.87,615689
2025-12-03,91.15,93.57,90.585,93.35,619458
2025-12-04,92.96,94.315,92.7938,93.94,385772
2025-12-05,93.35,94.025,92.85,93.44,413854
2025-12-08,93.41,94.12,92.4,93.29,524605
2025-12-09,93.05,94.8581,93.035,93.24,402904
2025-12-10,92.91,97.0625,92.91,96.74,576165
2025-12-11,96.57,98.07,96.375,97.01,321145
2025-12-12,97.49,97.49,94.93,95.42,321046
2025-12-15,96.48,97.19,95.5,96.1,388335
2025-12-16,95.55,96.455,91.93,94.72,477487
2025-12-17,94.72,95.9875,93.15,93.33,512277
2025-12-18,94.27,94.76,92.715,92.86,542364
2025-12-19,92.32,93.865,92.05,92.59,1532461
2025-12-22,93.19,94.17,92.7,93.42,469133
2025-12-23,93.35,94.36,93.18,93.44,321018
2025-12-24,93.47,93.88,92.93,93.74,87525
2025-12-26,93.57,93.92,92.89,93.8,206247
2025-12-29,93.83,93.95,92.48,93.01,318411
2025-12-30,92.84,92.87,91.88,91.92,208827
2025-12-31,92.07,92.4,90.5,90.54,234548
