date,open,high,low,close,volume
2025-09-02,30.43,30.73,29.99,30.49,1569476
2025-09-03,30.47,30.859,30.065,30.75,1290161
2025-09-04,30.69,30.7,29.72,30.38,1357864
2025-09-05,30.38,31.25,30.38,31.05,1953915
2025-09-08,31.03,31.27,30.72,31.16,1265319
2025-09-09,31.18,31.18,30.65,30.79,1273341
2025-09-10,30.75,31.095,29.77,29.94,1093683
2025-09-11,30.18,30.56,29.92,30.54,1155358
2025-09-12,30.51,30.5105,29.84,29.9,853671
2025-09-15,30.02,30.05,29.322,29.59,1177033
2025-09-16,29.58,29.74,29.32,29.62,1225435
2025-09-17,29.78,30.465,29.58,29.81,1282015
2025-09-18,30.25,30.715,29.96,30.38,1606830
2025-09-19,30.49,30.7,30.01,30.23,2886721
2025-09-22,30.19,30.69,29.91,30.47,1067515
2025-09-23,30.6,30.9592,29.9,30.12,1005864
2025-09-24,30.09,30.55,29.685,29.92,1276857
2025-09-25,29.77,29.96,29.3,29.57,853718
2025-09-26,29.6,29.82,29.325,29.66,1124461
2025-09-29,29.84,29.94,29.55,29.85,884239
2025-09-30,29.75,29.81,28.93,29.16,1180152
2025-10-01,29.08,29.605,28.71,28.87,1022791
2025-10-02,29.01,29.925,29.01,29.52,1475713
2025-10-03,29.62,30.03,29.395,29.59,2136212
2025-10-06,29.65,29.94,29.11,29.62,1553034
2025-10-07,29.65,29.782,28.965,29.19,1350206
2025-10-08,29.28,29.91,29.22,29.9,1077837
2025-10-09,29.84,29.895,29.33,29.6,900572
2025-10-10,29.62,29.8915,28.8,29.06,1119614
2025-10-13,29.13,29.475,28.95,29.34,855047
2025-10-14,29.03,29.32,28.785,29.22,857612
2025-10-15,29.3,29.7,29.28,29.43,953451
2025-10-16,29.5,29.84,29.11,29.19,1193229
2025-10-17,29.02,29.325,28.8502,29.03,1640099
2025-10-20,29.19,29.7742,29.19,29.76,936386
2025-10-21,29.67,30.59,29.67,30.46,694913
2025-10-22,30.28,30.67,30.035,30.11,904962
2025-10-23,30.05,30.3524,29.7254,30.02,815175
2025-10-24,30.23,30.58,30.06,30.3,1030784
2025-10-27,30.3,30.66,30.02,30.15,1044968
