date,open,high,low,close,volume
2025-09-02,18.2,18.84,18.14,18.75,13566870
2025-09-03,18.8,18.96,18.55,18.76,8969218
2025-09-04,18.76,18.8,18.48,18.48,7373501
2025-09-05,18.47,18.955,18.46,18.95,7808948
2025-09-08,18.93,19.357,18.7724,19.3,12284240
2025-09-09,19.52,19.78,19.315,19.68,12965210
2025-09-10,19.75,19.95,19.4,19.57,9599600
2025-09-11,19.61,19.935,19.48,19.89,9107452
2025-09-12,19.78,19.98,19.6,19.93,9142283
2025-09-15,19.64,19.67,18.86,18.89,12257490
2025-09-16,18.91,18.93,18.62,18.68,11249320
2025-09-17,18.27,18.77,18.27,18.38,9807491
2025-09-18,18.48,18.66,18.21,18.45,9224045
2025-09-19,18.49,18.59,18.26,18.35,7436579
2025-09-22,18.5,19.57,18.5,18.87,14994300
2025-09-23,18.92,19.89,18.8,19.45,12890390
2025-09-24,19.45,19.45,19.155,19.27,9134326
2025-09-25,19.09,19.1,18.21,18.36,10371530
2025-09-26,18.5,18.705,18.27,18.34,10255400
2025-09-29,18.49,19.18,18.47,19.18,8250847
2025-09-30,19.39,20.43,19.26,20.2,19946530
2025-10-01,20.15,20.46,19.915,20.06,13339800
2025-10-02,20.02,20.1,19.81,20.05,6508883
2025-10-03,20.17,20.61,19.98,20.01,10344180
2025-10-06,20.02,20.23,19.87,19.96,9328201
2025-10-07,19.95,20.28,19.905,20.07,5017897
2025-10-08,20.25,20.57,20.09,20.21,13132970
2025-10-09,20.65,20.71,19.71,20.04,9878169
2025-10-10,20.0,20.05,19.77,20.03,8204439
2025-10-13,20.11,20.37,19.8,20.02,7509734
2025-10-14,19.85,20.265,19.677,20.11,6550555
2025-10-15,19.96,20.02,19.7201,19.78,8627295
2025-10-16,19.86,20.1,19.61,19.63,10048910
2025-10-17,19.4,19.69,19.07,19.31,7731290
2025-10-20,19.29,19.45,19.065,19.42,5324782
2025-10-21,19.27,19.295,18.972,18.99,8037148
2025-10-22,18.98,19.1899,18.825,18.97,11060160
2025-10-23,19.07,19.185,18.845,19.02,5700685
2025-10-24,19.065,19.19,18.875,18.95,5211430
2025-10-27,19.15,19.68,19.0,19.61,8653535
2025-10-28,19.68,19.98,19.23,19.78,9490659
2025-10-29,19.97,20.62,19.89,20.23,17115520
2025-10-30,20.12,20.38,20.005,20.03,6198342
2025-10-31,20.17,20.6,19.975,20.48,9384389
2025-11-03,20.6,20.88,20.305,20.52,10630110
2025-11-04,20.26,20.7181,20.11,20.46,10956650
2025-11-05,23.06,25.0,22.7,24.6,56470120
2025-11-06,24.05,24.88,23.87,24.46,24231360
2025-11-07,24.38,24.42,23.61,23.97,13107630
2025-11-10,24.07,24.495,23.98,24.26,11580800
2025-11-11,24.38,25.35,24.28,25.13,15259900
2025-11-12,25.21,25.88,25.185,25.83,15647550
2025-11-13,26.0,26.38,25.5,25.54,16192320
2025-11-14,24.95,25.67,24.9,25.41,10222310
2025-11-17,25.26,25.495,24.475,24.59,11996320
2025-11-18,24.43,25.065,24.215,24.84,11692650
2025-11-19,24.97,24.97,24.165,24.44,9670462
2025-11-20,24.59,24.89,24.21,24.28,6317808
2025-11-21,24.33,24.8,24.01,24.21,9829167
2025-11-24,24.5,24.9,24.34,24.77,11082110
2025-11-25,24.97,25.18,24.78,24.99,7207357
2025-11-26,25.9,26.445,25.74,26.32,18354960
2025-11-28,26.47,26.96,26.39,26.89,9046532
2025-12-01,26.6,26.77,26.46,26.72,8887120
2025-12-02,26.99,27.07,26.525,26.88,8942430
2025-12-03,26.93,27.9,26.84,27.83,13650980
2025-12-04,28.0,28.46,27.955,28.41,11021510
2025-12-05,28.4,28.68,28.0,28.46,8529559
2025-12-08,28.74,28.74,27.995,28.33,7178300
2025-12-09,29.07,29.1,28.515,28.56,11801280
2025-12-10,29.16,29.8,28.81,29.8,17807780
2025-12-11,29.59,30.1999,29.47,30.18,9879928
2025-12-12,30.0,30.13,29.555,29.79,9317652
2025-12-15,29.78,30.44,29.7,30.13,12982010
2025-12-16,30.125,30.42,29.8401,30.1,6633153
2025-12-17,30.115,30.24,29.875,30.06,7230101
2025-12-18,30.29,30.39,29.875,30.32,8058299
2025-12-19,30.1,30.56,29.885,30.35,10758750
2025-12-22,30.72,31.28,30.5,31.21,8764401
2025-12-23,31.38,31.58,31.18,31.54,15427780
