date,open,high,low,close,volume
2025-09-02,136.2,138.595,136.2,138.57,5282939
2025-09-03,138.57,139.58,138.39,139.47,4799064
2025-09-04,139.87,141.1,139.71,141.02,4172463
2025-09-05,141.42,141.5,138.93,139.26,6735961
2025-09-08,139.23,141.0,139.15,140.84,4801504
2025-09-09,139.78,140.525,139.06,139.97,3453325
2025-09-10,139.56,140.04,138.71,139.86,3573599
2025-09-11,140.38,141.25,139.79,140.83,5197897
2025-09-12,140.52,141.355,138.9,139.48,5173257
2025-09-15,139.8,141.24,139.47,141.17,4186780
2025-09-16,140.67,141.11,138.83,139.55,3786539
2025-09-17,139.99,140.89,139.215,140.04,4617144
2025-09-18,139.97,141.02,139.37,139.93,4794889
2025-09-19,140.185,140.42,139.095,139.78,7503971
2025-09-22,139.79,139.79,138.67,139.41,3683346
2025-09-23,139.45,139.86,138.9,139.72,3308555
2025-09-24,139.51,141.45,139.0,140.44,5027665
2025-09-25,140.87,141.57,140.3,141.46,4119956
2025-09-26,141.87,143.22,141.445,143.09,4224433
2025-09-29,143.19,143.65,142.045,143.52,4260517
2025-09-30,143.31,144.83,143.31,144.54,6435854
2025-10-01,144.08,145.115,143.535,144.32,6703906
2025-10-02,143.67,144.49,142.2,142.49,4449477
2025-10-03,142.49,143.25,141.15,141.33,2994107
2025-10-06,141.24,143.64,141.24,143.11,6309617
2025-10-07,142.74,143.65,140.11,142.66,6700979
2025-10-08,142.72,142.95,140.38,140.71,5158356
2025-10-09,140.73,141.47,138.45,138.56,3750950
2025-10-10,138.71,141.065,138.225,140.38,4261186
2025-10-13,140.23,141.905,139.78,141.39,4144525
2025-10-14,141.41,144.363,141.16,144.1,4431860
2025-10-15,144.01,146.4625,144.01,145.16,5397683
2025-10-16,145.265,145.265,142.0601,142.55,3400159
2025-10-17,143.0,144.46,142.65,143.84,4003151
2025-10-20,143.95,144.375,142.55,143.33,3321720
2025-10-21,143.18,144.3,142.665,143.91,3887067
2025-10-22,144.4,144.62,142.93,143.06,3800206
2025-10-23,143.06,143.39,142.09,142.4,5072531
