date,open,high,low,close,volume
2025-09-02,105.22,105.44,102.71,102.98,707000
2025-09-03,102.67,103.73,101.58,102.82,774043
2025-09-04,102.59,103.83,99.84,100.31,2495259
2025-09-05,112.17,114.759,107.71,113.99,3614472
2025-09-08,115.0,119.43,114.8,119.02,2741710
2025-09-09,117.18,119.99,115.72,119.62,2698037
2025-09-10,119.24,119.24,114.23,114.46,1158039
2025-09-11,115.0,117.59,114.55,117.06,1018849
2025-09-12,116.96,118.0,113.16,113.37,840902
2025-09-15,113.89,116.71,112.58,115.75,773155
2025-09-16,115.99,117.5,114.5,117.25,1379663
2025-09-17,117.19,118.0,113.59,113.99,2207062
2025-09-18,113.76,117.75,110.905,117.16,3009916
2025-09-19,119.45,119.6,114.9,115.48,6291844
2025-09-22,114.86,115.9177,109.44,110.78,1918098
2025-09-23,111.12,111.33,106.5,107.95,1917677
2025-09-24,108.0,108.26,103.82,103.85,959293
2025-09-25,103.1,104.57,101.1371,103.53,1115408
2025-09-26,104.8,105.38,102.6985,105.08,803256
2025-09-29,105.73,107.0,102.88,102.99,881664
2025-09-30,103.36,104.475,97.68,100.83,1696930
2025-10-01,101.14,102.56,98.67,101.67,1806493
2025-10-02,101.67,104.88,101.28,103.75,1121268
2025-10-03,103.43,104.0,100.7851,101.67,790985
2025-10-06,102.9,103.43,100.95,101.135,713064
2025-10-07,101.36,101.885,97.68,99.4,551432
2025-10-08,100.58,101.4666,98.9,99.29,788750
2025-10-09,100.25,102.0,99.0,101.5,714677
2025-10-10,101.49,102.13,98.55,98.6,632734
2025-10-13,99.11,99.95,95.92,96.01,753528
2025-10-14,94.19,97.65,93.35,97.01,676194
2025-10-15,96.65,96.75,93.5,94.27,1063510
2025-10-16,95.26,96.065,92.41,92.69,623474
2025-10-17,91.19,93.2,90.59,92.49,757920
2025-10-20,92.69,93.78,92.18,93.5,448283
2025-10-21,94.0,97.2,93.35,96.48,720629
2025-10-22,96.6,96.6,94.09,94.79,534701
2025-10-23,94.85,98.63,93.62,98.42,828904
2025-10-24,100.0,101.265,98.415,98.46,760525
2025-10-27,99.41,100.98,98.74,100.0,524335
2025-10-28,99.97,100.47,98.505,99.8,417593
2025-10-29,99.1,99.1,95.49,96.37,406000
2025-10-30,95.69,98.1159,95.0,95.79,318791
2025-10-31,96.6,96.85,93.51,94.36,1033519
2025-11-03,94.44,95.08,91.73,94.78,486795
2025-11-04,94.04,94.345,91.8201,92.13,457756
2025-11-05,92.13,92.59,90.91,91.79,275449
2025-11-06,91.91,92.5,89.0,92.035,845852
2025-11-07,91.3,94.32,90.5,94.25,525087
2025-11-10,94.34,95.95,92.91,95.03,813479
2025-11-11,94.0,94.17,90.766,91.92,1047258
2025-11-12,92.24,93.98,90.91,92.99,1579006
2025-11-13,93.26,94.41,88.735,88.99,634328
2025-11-14,88.6,90.64,87.1,89.34,423019
2025-11-17,88.14,88.9603,84.7,84.97,583415
2025-11-18,84.54,86.48,83.48,86.04,700844
2025-11-19,85.96,87.12,85.2201,86.26,426860
2025-11-20,87.37,88.0912,83.94,85.14,1034377
2025-11-21,85.18,87.77,84.14,86.75,890013
2025-11-24,87.75,89.16,86.84,88.89,1141583
2025-11-25,88.7,90.0,86.95,89.49,824986
2025-11-26,89.33,90.65,88.495,88.71,555822
2025-11-28,89.05,90.75,88.36,89.36,368857
2025-12-01,89.0,90.6899,88.3621,88.66,899478
2025-12-02,89.35,90.9299,89.0,90.075,654999
2025-12-03,90.04,94.16,89.95,93.31,998831
2025-12-04,93.43,97.1,93.06,95.59,1995149
2025-12-05,97.24,110.94,95.0,105.6,4686792
2025-12-08,106.0,110.335,103.07,108.04,2210683
2025-12-09,106.97,109.77,103.8766,109.02,2244993
2025-12-10,108.04,109.37,106.48,106.97,1409915
2025-12-11,106.99,109.15,105.62,106.03,1071412
2025-12-12,106.04,106.8902,103.34,104.07,881003
2025-12-15,104.17,104.34,101.79,103.11,953349
2025-12-16,101.98,106.0344,101.89,105.12,891711
