date,open,high,low,close,volume
2025-09-02,62.24,62.89,62.24,62.5,1211
2025-09-03,61.97,61.97,61.04,61.04,539
2025-09-04,61.49,61.49,61.49,61.49,376
2025-09-05,61.49,61.49,61.49,61.49,0
2025-09-08,61.21,61.21,61.11,61.11,947
2025-09-09,61.11,61.11,61.11,61.11,0
2025-09-10,62.11,62.11,61.43,61.43,1316
2025-09-11,61.24,61.24,60.99,60.99,1768
2025-09-12,61.38,61.38,61.09,61.09,1524
2025-09-15,62.02,62.17,61.8732,61.8732,1955
2025-09-16,61.65,62.35,61.64,62.35,2691
2025-09-17,61.7,61.7,61.45,61.45,2263
2025-09-18,61.048,61.57,60.9,60.9,120792
2025-09-19,60.99,60.99,60.99,60.99,815
2025-09-22,60.5899,61.54,60.5899,60.75,1308
2025-09-23,61.7,62.19,61.53,62.19,1339
2025-09-24,63.0675,63.0675,62.07,62.07,1625
2025-09-25,62.65,62.65,61.82,61.82,907
2025-09-26,62.7175,63.73,62.7175,63.73,101041
2025-09-29,62.4,62.4,61.92,61.92,668
2025-09-30,60.51,60.575,60.23,60.575,10723
2025-10-01,61.2375,61.2375,60.3,60.3,1750
2025-10-02,59.85,60.065,59.85,60.065,300877
2025-10-03,59.6,60.34,59.6,60.34,681007
2025-10-06,60.53,60.53,60.53,60.53,772
2025-10-07,59.31,59.66,58.97,58.97,3445
2025-10-08,58.98,59.64,58.75,59.272,1734
2025-10-09,59.6,59.6,58.59,58.59,1492
2025-10-10,58.26,58.3,58.22,58.3,1615
2025-10-13,57.51,57.5199,57.48,57.48,1328
2025-10-14,58.06,58.59,58.06,58.59,867
2025-10-15,60.39,60.4,60.39,60.4,903
2025-10-16,60.96,61.15,60.18,61.15,1112
2025-10-17,61.5,61.97,61.23,61.97,859
2025-10-20,61.45,61.45,60.57,60.57,1036
2025-10-21,60.87,61.49,60.87,61.49,6352
2025-10-22,61.01,61.01,61.01,61.01,813
2025-10-23,63.12,63.21,62.34,62.44,1267
2025-10-24,62.34,62.39,62.32,62.32,1388
2025-10-27,62.0,62.64,61.82,61.82,1866
2025-10-28,62.1175,63.0,62.1175,63.0,1725
2025-10-29,62.85,62.92,62.35,62.4,1743
2025-10-30,60.925,61.76,60.925,61.3,1529
2025-10-31,62.59,62.59,62.045,62.54,1443
2025-11-03,62.15,62.15,61.37,61.37,1587
2025-11-04,61.36,61.92,61.36,61.92,1690
2025-11-05,61.61,61.61,61.4035,61.4035,1083
2025-11-06,61.4035,61.4035,61.4035,61.4035,0
2025-11-07,62.412,62.462,62.412,62.462,864
2025-11-10,62.435,63.43,61.93,63.43,1654
2025-11-11,63.41,64.0,63.41,64.0,2380
2025-11-12,64.0925,64.0925,63.5,63.5,528
2025-11-13,64.53,65.88,64.53,65.88,3349
2025-11-14,65.35,65.9,65.14,65.71,2215
2025-11-17,65.77,65.93,64.78,65.1426,2575
2025-11-18,64.27,64.95,63.9799,64.95,6573
2025-11-19,63.92,64.15,63.27,63.27,1937
2025-11-20,64.86,64.86,63.24,63.84,2495
2025-11-21,63.9799,63.9799,63.9799,63.9799,3417
2025-11-24,64.24,64.72,64.24,64.336,1380
2025-11-25,64.22,65.78,64.2,65.78,342760
2025-11-26,65.77,66.21,65.57,66.21,1440
2025-11-28,65.76,65.83,65.76,65.83,74827
2025-12-01,65.47,66.24,65.47,66.24,871
2025-12-02,65.91,66.11,64.94,64.94,811
2025-12-03,66.38,67.13,66.31,67.13,207871
2025-12-04,66.99,66.99,66.1599,66.1599,864
2025-12-05,65.64,66.14,65.54,65.54,1355
2025-12-08,64.88,65.68,64.88,65.68,462453
2025-12-09,65.93,66.08,65.54,65.54,815737
2025-12-10,65.39,65.7,64.9,65.68,863831
2025-12-11,65.4,65.895,65.28,65.41,957281
2025-12-12,65.63,65.84,65.2,65.75,1082382
2025-12-15,66.02,66.02,65.12,65.26,1271085
2025-12-16,64.92,64.98,63.82,63.85,1130903
2025-12-17,64.87,65.5,64.5,65.42,1230879
2025-12-18,65.06,65.2,64.74,65.12,1344229
2025-12-19,65.23,65.94,65.17,65.7,1868620
2025-12-22,65.53,66.05,65.53,65.79,975629
2025-12-23,65.65,66.16,65.65,66.01,746465
2025-12-24,66.07,66.19,65.51,65.54,443140
2025-12-26,65.93,65.93,65.19,65.53,523864
2025-12-29,65.96,66.15,65.735,65.9,633293
2025-12-30,66.26,66.63,65.92,65.92,777973
2025-12-31,65.4,65.45,65.01,65.42,461921
2026-01-02,65.45,66.69,65.44,66.51,910436
2026-01-05,65.3,66.32,64.59,66.31,1440845
2026-01-06,65.34,65.4,63.16,63.41,1401605
2026-01-07,62.47,62.93,62.34,62.74,1791339
2026-01-08,62.57,63.71,62.155,63.59,1482122
2026-01-09,63.73,64.24,63.67,63.93,1185540
