date,open,high,low,close,volume
2025-09-02,2.57,2.63,2.48,2.58,2530635
2025-09-03,2.58,2.62,2.52,2.53,1618255
2025-09-04,2.5,2.508,2.46,2.48,1040621
2025-09-05,2.56,2.63,2.505,2.52,1944246
2025-09-08,2.54,2.6,2.54,2.58,754468
2025-09-09,2.6,2.73,2.55,2.57,2186324
2025-09-10,2.6,2.6,2.5,2.52,1132999
2025-09-11,2.5,2.64,2.5,2.63,1116332
2025-09-12,2.62,2.64,2.5617,2.58,1180390
2025-09-15,2.62,2.6589,2.585,2.61,1529633
2025-09-16,2.62,2.64,2.56,2.62,1181617
2025-09-17,2.66,2.71,2.56,2.59,2276651
2025-09-18,2.62,2.68,2.615,2.63,1200208
2025-09-19,2.6,2.63,2.56,2.6,1743012
2025-09-22,2.6,2.61,2.53,2.55,1284128
2025-09-23,2.53,2.54,2.45,2.45,1381756
2025-09-24,2.48,2.6299,2.48,2.58,1612728
2025-09-25,2.55,2.55,2.48,2.52,1204959
2025-09-26,2.49,2.5,2.45,2.49,1188101
2025-09-29,2.52,2.56,2.48,2.49,1109403
2025-09-30,2.5,2.53,2.43,2.47,1061974
2025-10-01,2.45,2.52,2.45,2.5,1068734
2025-10-02,2.56,2.575,2.49,2.54,1463562
2025-10-03,2.55,2.6,2.525,2.58,1378545
2025-10-06,2.57,2.66,2.525,2.6,2177426
2025-10-07,2.64,2.64,2.53,2.56,777476
2025-10-08,2.57,2.58,2.5403,2.58,1020385
2025-10-09,2.57,2.7,2.565,2.69,2370585
2025-10-10,2.64,2.64,2.475,2.52,4850799
2025-10-13,2.56,2.58,2.48,2.48,910809
2025-10-14,2.43,2.45,2.31,2.37,2063400
2025-10-15,2.43,2.43,2.37,2.39,1193884
2025-10-16,2.41,2.42,2.3,2.32,1268700
2025-10-17,2.29,2.3,2.24,2.28,1534009
2025-10-20,2.31,2.4,2.3,2.4,952775
2025-10-21,2.41,2.465,2.38,2.38,875641
2025-10-22,2.38,2.4393,2.3044,2.32,954028
2025-10-23,2.33,2.4,2.3247,2.35,819300
2025-10-24,2.39,2.395,2.3344,2.34,674758
2025-10-27,2.4,2.45,2.34,2.37,2018943
2025-10-28,2.39,2.4,2.29,2.3,1273658
2025-10-29,2.34,2.3433,2.29,2.31,1061693
2025-10-30,2.31,2.31,2.26,2.28,605184
2025-10-31,2.28,2.31,2.27,2.28,905382
2025-11-03,2.32,2.32,2.26,2.31,524703
2025-11-04,2.26,2.28,2.215,2.22,1454153
2025-11-05,2.23,2.28,2.23,2.24,885804
2025-11-06,2.27,2.27,2.185,2.2,1071777
2025-11-07,2.18,2.18,2.11,2.16,689305
2025-11-10,2.21,2.2397,2.18,2.18,664394
2025-11-11,2.23,2.2375,2.15,2.16,363432
2025-11-12,2.17,2.175,2.1,2.12,483718
2025-11-13,2.12,2.13,2.04,2.05,966106
2025-11-14,2.0,2.16,2.0,2.08,921123
2025-11-17,2.1,2.1,2.0,2.02,762329
2025-11-18,2.02,2.045,1.99,2.01,804010
2025-11-19,2.02,2.05,2.015,2.04,617864
2025-11-20,2.06,2.1,2.0001,2.01,1200299
2025-11-21,2.04,2.15,2.04,2.13,807249
2025-11-24,2.17,2.2,2.13,2.14,1896409
2025-11-25,2.01,2.38,2.01,2.33,2630521
2025-11-26,2.3,2.33,2.19,2.21,1332520
2025-11-28,2.23,2.27,2.22,2.25,620487
2025-12-01,2.2,2.32,2.2,2.26,1502253
2025-12-02,2.29,2.3,2.25,2.26,1272547
2025-12-03,2.26,2.38,2.21,2.37,1772611
2025-12-04,2.38,2.405,2.34,2.38,1105017
