date,open,high,low,close,volume
2025-09-02,102.72,105.025,101.81,104.19,1835114
2025-09-03,103.68,105.7125,103.0,105.24,1678388
2025-09-04,104.38,106.43,102.5,106.03,1792308
2025-09-05,107.165,111.25,106.975,108.67,2500748
2025-09-08,109.21,110.185,106.59,109.08,1938925
2025-09-09,109.3,110.0752,107.0,107.0,2188219
2025-09-10,107.51,109.19,104.13,104.25,2419804
2025-09-11,104.76,105.1,102.47,102.56,3571100
2025-09-12,102.79,103.47,100.89,102.33,2937029
2025-09-15,103.44,104.84,102.66,104.48,3389315
2025-09-16,103.71,104.075,100.7,102.11,2673471
2025-09-17,103.0,104.78,102.27,103.53,2187941
2025-09-18,104.71,108.51,104.68,108.38,2183616
2025-09-19,108.6,108.6,105.7214,106.5,6576330
2025-09-22,105.775,106.139,103.76,105.19,2203244
2025-09-23,105.43,105.56,102.99,103.43,2198341
2025-09-24,104.55,106.18,102.37,103.24,1847008
2025-09-25,102.0,102.31,100.77,101.33,2263938
2025-09-26,101.77,102.61,101.07,102.34,2571561
2025-09-29,103.36,104.59,102.59,104.29,1707301
2025-09-30,104.05,104.35,98.44,100.09,4315524
2025-10-01,101.31,104.0,100.71,102.7,3222604
2025-10-02,102.2,105.76,102.2,105.42,2888946
2025-10-03,105.16,105.16,99.225,102.94,5511562
2025-10-06,103.75,110.49,102.88,109.7,4356951
2025-10-07,110.0,110.795,104.98,107.55,2672039
2025-10-08,108.8,114.22,108.23,114.05,3625282
2025-10-09,113.77,115.33,112.4801,113.96,1965621
2025-10-10,114.91,115.7465,107.04,107.12,2435299
2025-10-13,109.0,110.8,107.6601,110.53,1162059
2025-10-14,108.51,109.22,105.705,108.1,1751578
2025-10-15,109.12,109.56,106.385,107.86,2052031
2025-10-16,109.23,111.6899,106.1393,106.23,2124046
2025-10-17,104.92,108.0,104.5001,106.65,1405396
2025-10-20,107.96,110.703,107.17,109.02,1369121
2025-10-21,109.085,111.94,108.4,111.11,1460757
2025-10-22,109.96,111.42,108.6737,109.41,1628433
2025-10-23,108.88,111.53,108.88,110.82,1131695
2025-10-24,112.0,113.69,111.5401,112.56,1272103
2025-10-27,114.17,115.0,113.3519,114.49,2144894
2025-10-28,115.0,115.37,113.33,113.48,1523693
2025-10-29,113.09,113.815,111.18,111.61,2100225
2025-10-30,110.95,114.73,109.51,112.86,4818725
2025-10-31,126.85,138.1854,124.0,134.88,10240150
2025-11-03,135.69,138.07,131.5354,136.1,3583361
2025-11-04,133.19,134.8705,129.6015,129.97,2518979
2025-11-05,130.5,132.8405,128.57,131.41,1735702
2025-11-06,132.87,133.8599,126.82,127.48,2276280
2025-11-07,125.11,127.76,123.02,127.68,1684447
2025-11-10,129.63,131.559,128.7301,130.61,1223897
2025-11-11,130.0,132.19,129.4432,130.64,1183636
2025-11-12,131.51,132.44,128.02,128.43,1327156
2025-11-13,126.42,127.99,123.7,123.99,1956883
2025-11-14,120.79,127.945,120.49,125.36,1544431
2025-11-17,124.28,124.99,119.62,120.22,2517705
2025-11-18,116.98,122.51,116.62,120.68,2208841
2025-11-19,120.42,123.1549,118.7401,120.15,1719342
