date,open,high,low,close,volume
2025-09-02,199.38,200.17,196.76,199.81,6238366
2025-09-03,199.215,200.075,191.3778,195.74,7039564
2025-09-04,183.76,188.68,181.69,187.29,11335930
2025-09-05,187.08,189.28,185.29,187.93,9491194
2025-09-08,188.15,188.3699,183.07,185.82,9701153
2025-09-09,184.4,185.66,183.66,185.03,6135044
2025-09-10,185.04,185.49,182.94,184.01,5957489
2025-09-11,184.51,184.8122,182.26,184.35,6595967
2025-09-12,184.105,184.34,182.34,182.6,6284172
2025-09-15,175.88,179.22,174.01,178.2,11658400
2025-09-16,178.74,181.14,177.28,177.63,7920275
2025-09-17,177.84,182.565,177.61,180.3,7209723
2025-09-18,183.24,183.72,180.31,181.62,7937103
2025-09-19,182.59,183.25,178.165,179.37,16206660
2025-09-22,179.4,181.405,179.305,179.62,7030256
2025-09-23,179.87,182.665,179.68,182.04,5900813
2025-09-24,181.715,185.16,181.1,184.435,5905143
2025-09-25,183.65,183.66,180.11,182.04,4042321
2025-09-26,185.96,187.29,183.07,184.55,6206264
2025-09-29,185.47,186.1,183.0,183.23,5090681
2025-09-30,182.745,183.97,181.31,183.73,3873093
2025-10-01,181.97,184.5099,178.33,180.39,7704998
2025-10-02,180.77,184.615,179.84,182.32,6798032
2025-10-03,182.78,185.46,180.155,180.32,5167557
2025-10-06,181.0,183.23,179.3025,181.81,6019837
2025-10-07,181.76,182.015,176.96,177.05,5396125
2025-10-08,176.83,181.93,176.83,181.6,6377727
2025-10-09,180.49,180.7,177.62,178.96,5006072
2025-10-10,179.62,181.57,171.5,171.7,9630248
2025-10-13,172.83,176.1,172.4001,175.11,8610309
2025-10-14,171.97,176.2725,171.45,173.94,9919396
2025-10-15,174.02,176.16,171.13,175.27,9416750
2025-10-16,175.39,177.5,174.0633,175.48,7188169
2025-10-17,175.05,177.625,174.5654,176.58,5082644
2025-10-20,172.51,181.11,172.51,179.585,6620176
2025-10-21,179.47,181.84,178.84,180.84,10301500
2025-10-22,163.96,173.08,163.04,170.71,25834510
2025-10-23,170.0,173.76,169.75,172.19,8412529
2025-10-24,174.01,174.148,168.785,169.13,7691766
