date,open,high,low,close,volume
2025-09-02,92.26,93.537,91.92,92.81,12883300
2025-09-03,92.75,94.765,92.18,92.94,12052160
2025-09-04,93.11,93.125,90.93,91.98,15960140
2025-09-05,92.53,92.53,88.84,90.99,20384530
2025-09-08,91.38,94.56,91.38,94.36,18906550
2025-09-09,94.5,95.48,92.77,95.45,11850200
2025-09-10,95.51,96.0997,93.71,94.21,15944170
2025-09-11,94.55,96.32,94.0,94.68,16190070
2025-09-12,94.49,96.27,93.71,95.89,13659230
2025-09-15,95.8,98.86,95.52,98.85,18652430
2025-09-16,99.42,99.7,97.02,97.83,17257930
2025-09-17,96.07,97.24,92.12,92.95,44093980
2025-09-18,93.93,95.05,93.21,94.7,23075220
2025-09-19,95.0,98.83,94.9,98.51,38734980
2025-09-22,99.0,101.99,98.5,99.39,29820120
2025-09-23,99.86,100.18,97.645,97.8,15101140
2025-09-24,98.89,99.86,96.93,97.78,12523370
2025-09-25,97.3,97.87,95.9,97.6,11255800
2025-09-26,97.795,98.5298,97.03,98.45,10356140
2025-09-29,99.32,100.26,98.585,99.57,16320890
2025-09-30,99.59,99.75,96.65,97.97,16793410
2025-10-01,97.475,99.085,96.57,96.61,16608460
2025-10-02,97.08,97.21,94.76,96.61,16046350
2025-10-03,96.95,98.3,96.46,96.6,10556420
2025-10-06,96.96,101.295,96.89,100.1,22760920
2025-10-07,100.13,100.69,97.0,97.8,12583610
2025-10-08,97.94,99.61,97.2,99.28,10071240
2025-10-09,99.965,100.17,95.83,96.0,13435670
2025-10-10,96.3,96.45,93.33,93.4,17021110
2025-10-13,95.0,95.2499,93.43,94.08,11031440
2025-10-14,93.78,95.18,92.46,94.25,11177980
2025-10-15,95.86,96.99,93.79,94.52,14347100
2025-10-16,94.44,95.46,91.18,92.52,17214830
2025-10-17,92.0,92.83,91.46,92.3,14282110
2025-10-20,93.0,94.5,92.85,93.7,11274930
2025-10-21,93.59,94.55,92.97,93.03,10503270
2025-10-22,92.77,93.415,91.421,92.21,11351430
2025-10-23,92.5,95.7,92.4,94.61,17121600
2025-10-24,95.15,95.26,93.9001,94.07,12014560
2025-10-27,94.91,96.66,94.53,96.42,11748270
2025-10-28,96.77,97.73,95.41,95.43,17138330
2025-10-29,96.24,96.89,94.53,95.76,14532900
2025-10-30,95.41,97.62,94.56,96.49,13556600
2025-10-31,97.46,98.45,96.15,96.5,15333420
2025-11-03,97.66,100.35,96.78,99.72,28836490
2025-11-04,91.97,95.03,90.08,94.67,48787310
2025-11-05,95.01,95.44,92.52,92.75,20150830
2025-11-06,92.0,92.77,90.82,92.12,18316240
2025-11-07,91.61,93.17,90.2976,91.99,16489920
2025-11-10,92.99,94.31,92.25,94.1,13310160
2025-11-11,93.65,94.16,92.97,93.6,13276270
2025-11-12,94.11,95.18,92.76,93.57,16004630
2025-11-13,93.7,94.06,91.35,91.78,16367480
2025-11-14,90.06,92.62,89.62,91.62,12475610
2025-11-17,91.31,92.58,90.74,92.11,16922540
2025-11-18,92.1,92.9234,89.33,90.86,17439410
2025-11-19,90.6,91.08,88.89,89.53,18256220
2025-11-20,90.2,90.54,82.94,83.36,41734030
2025-11-21,83.97,84.0,81.51,83.87,33783120
2025-11-24,84.15,84.52,83.03,83.69,24883180
2025-11-25,83.8,84.265,82.39,83.69,18482250
2025-11-26,84.11,86.355,83.65,85.66,20448730
2025-11-28,86.51,87.62,86.24,87.54,9069354
2025-12-01,86.99,87.61,85.475,86.57,17517250
2025-12-02,86.03,88.44,85.63,87.57,18930360
2025-12-03,89.845,91.38,88.952,90.68,21335780
2025-12-04,90.18,91.0,89.45,90.99,13145300
2025-12-05,90.72,92.75,90.46,91.32,11154580
2025-12-08,90.77,92.78,90.77,92.57,12646870
2025-12-09,91.81,92.01,88.905,89.07,17117530
2025-12-10,88.64,88.75,82.72,84.16,51202040
2025-12-11,84.055,85.745,83.34,85.44,23346310
2025-12-12,85.5,86.45,84.5184,85.11,16211630
2025-12-15,83.46,83.62,81.165,81.86,32070890
2025-12-16,81.745,82.05,80.26,80.92,24465080
2025-12-17,80.81,81.3,78.78,79.14,28007490
2025-12-18,80.36,80.71,79.55,79.69,18681840
2025-12-19,79.77,79.99,78.31,79.31,34353350
2025-12-22,81.32,82.25,80.9,81.26,20570440
2025-12-23,81.01,81.42,80.35,80.97,10445520
2025-12-24,81.01,81.41,80.58,81.15,4310663
2025-12-26,81.2,81.5,80.6801,81.26,6741595
2025-12-29,80.91,82.1999,80.785,81.5,12072640
2025-12-30,81.74,82.5,81.53,82.12,9500693
2025-12-31,82.0,82.545,81.42,81.71,8428449
2026-01-02,82.04,83.66,81.4697,82.86,13095080
2026-01-05,81.61,82.84,79.575,80.74,24036820
2026-01-06,81.18,85.65,81.09,85.54,27508700
2026-01-07,86.24,87.74,85.655,86.19,25293450
2026-01-08,85.76,88.24,85.35,87.59,15499200
2026-01-09,87.27,87.28,84.8838,85.44,15881530
2026-01-12,84.64,85.48,83.77,84.67,12687760
2026-01-13,84.21,85.94,83.7,85.41,14809290
2026-01-14,85.37,85.99,83.5,84.65,15510810
2026-01-15,85.81,86.35,82.73,84.38,18892870
2026-01-16,84.15,85.0,83.0,84.85,20738890
2026-01-20,83.06,83.81,82.35,83.72,19429350
2026-01-21,84.39,85.61,82.95,84.26,21171950
2026-01-22,83.5,85.43,81.51,82.56,19457160
2026-01-23,82.65,83.56,81.47,82.31,14703760
2026-01-26,82.35,83.33,81.91,81.98,16556380
2026-01-27,81.95,82.085,79.86,81.24,19993670
2026-01-28,81.16,81.8468,79.735,79.78,19317310
2026-01-29,80.44,82.08,79.96,81.7,26857840
2026-01-30,80.91,82.1,79.42,80.05,24344090
2026-02-02,79.8,81.89,79.19,80.84,18434510
2026-02-03,80.48,80.68,77.3,77.93,29490820
2026-02-04,75.625,77.7133,71.8801,73.92,63044980
2026-02-05,73.26,77.22,73.22,75.21,33111500
2026-02-06,75.49,75.86,72.67,74.77,24470210
2026-02-09,74.76,74.815,73.51,73.91,17959070
2026-02-10,74.38,75.05,73.47,73.5,18958730
2026-02-11,73.76,74.0857,70.65,71.01,28045030
2026-02-12,72.19,72.63,69.45,71.22,33541450
2026-02-13,71.06,71.42,69.02,69.99,26526710
2026-02-17,70.66,70.98,69.7,70.53,20286070
2026-02-18,70.26,73.27,70.115,72.77,18235570
2026-02-19,71.87,74.105,71.76,72.94,15897790
2026-02-20,72.65,74.585,72.56,73.86,20242200
2026-02-23,72.99,73.11,70.15,70.72,22921580
2026-02-24,70.62,72.14,69.95,71.38,19581110
2026-02-25,72.32,73.16,71.92,72.83,19820780
2026-02-26,73.15,76.1,72.83,74.8,22449250
2026-02-27,73.9,75.78,73.658,75.42,20427880
2026-03-02,73.5,76.495,73.15,75.95,25779070
2026-03-03,74.5,77.305,74.02,76.36,21892520
2026-03-04,76.295,77.04,75.013,76.65,19818580
2026-03-05,76.59,78.25,75.135,75.44,17894030
2026-03-06,74.73,75.57,74.19,75.13,14771230
2026-03-09,74.12,74.54,71.94,73.84,21208860
2026-03-10,73.97,74.12,72.18,72.36,17581460
2026-03-11,74.54,75.6,73.55,74.97,21010780
2026-03-12,74.87,75.85,72.59,72.97,17082710
2026-03-13,73.295,74.87,72.69,73.33,16400650
2026-03-16,74.0,75.38,74.0,74.66,15997280
2026-03-17,77.39,79.23,77.31,77.79,33146080
2026-03-18,77.43,77.68,76.48,76.66,13692700
2026-03-19,76.48,77.845,75.32,75.34,13791620
2026-03-20,74.98,74.98,73.04,73.89,26161240
2026-03-23,75.27,75.82,74.4401,75.12,14154660
2026-03-24,74.63,75.01,72.145,72.34,14404170
2026-03-25,73.0,73.84,72.19,73.08,11569340
2026-03-26,72.74,72.765,70.2,70.55,15412930
2026-03-27,70.11,70.38,68.46,69.18,13869730
2026-03-30,69.71,70.5,68.84,69.91,13873480
2026-03-31,70.71,72.05,70.21,71.93,15886570
2026-04-01,72.43,72.7,70.81,71.71,13035050
2026-04-02,70.91,71.97,69.78,71.84,12758500
2026-04-06,71.62,72.78,71.4054,72.17,7751368
2026-04-07,71.78,72.56,71.11,71.73,9686272
2026-04-08,75.0,75.43,72.07,72.38,13559920
2026-04-09,72.15,72.35,70.015,71.81,16500000
2026-04-10,72.32,72.88,70.04,70.48,11818150
2026-04-13,70.07,72.81,69.82,72.34,12690570
2026-04-14,73.165,73.95,72.24,72.91,16750310
2026-04-15,73.86,77.93,73.7935,77.28,19696000
2026-04-16,77.51,78.05,76.365,76.48,12771660
2026-04-17,77.415,78.72,76.61,77.12,16966560
2026-04-20,76.67,77.705,75.7,77.49,11507410
2026-04-21,78.0,78.76,77.0381,77.26,11698130
2026-04-22,77.7,77.97,75.1002,75.58,14133030
2026-04-23,76.66,77.1773,73.75,74.7,18671030
