date,open,high,low,close,volume
2025-09-02,308.305,312.89,307.3,308.8,10957140
2025-09-03,308.11,309.59,303.7,307.88,9654569
2025-09-04,306.1,311.914,304.1,310.38,7725742
2025-09-05,310.44,317.94,308.2,315.39,14126710
2025-09-08,319.71,321.65,313.8001,320.25,18438640
2025-09-09,332.5,351.7099,327.16,347.92,46408870
2025-09-10,345.56,348.57,341.4,346.78,17804300
2025-09-11,349.0,360.98,345.84,353.61,18943510
2025-09-12,355.9,362.31,352.46,352.51,14016240
2025-09-15,351.255,351.71,342.53,347.89,11035850
2025-09-16,347.5,349.0358,338.32,339.78,12695820
2025-09-17,337.69,343.0,337.69,341.61,8467682
2025-09-18,343.53,344.93,334.12,334.82,11255560
2025-09-19,336.5,340.959,333.84,336.69,13656840
2025-09-22,334.46,342.48,332.6,341.3,8903744
2025-09-23,341.0,352.7,339.9611,347.69,12504060
2025-09-24,350.2,354.5,347.84,351.81,9016256
2025-09-25,348.9,350.19,343.6,345.56,8104859
2025-09-26,347.93,349.97,341.3,344.08,6774710
2025-09-29,343.98,345.5499,341.45,345.18,6878937
2025-09-30,343.75,349.32,342.33,345.3,7429653
2025-10-01,343.9,348.7,341.63,348.3,8825487
2025-10-02,347.29,355.08,344.65,353.72,8564187
2025-10-03,357.25,368.0,356.61,360.2,13494790
2025-10-06,361.025,362.52,357.11,358.77,7181663
2025-10-07,359.41,364.72,358.06,363.66,7236242
2025-10-08,366.93,374.63,365.8,369.92,9438333
2025-10-09,372.52,376.22,366.08,367.69,8759801
2025-10-10,369.4,369.4,352.51,354.5,13141910
2025-10-13,354.74,359.16,353.32,358.66,5659400
2025-10-14,354.95,362.33,353.4001,359.93,5974813
2025-10-15,359.39,364.22,355.85,361.15,6579630
2025-10-16,361.84,362.0,354.4,356.67,5872116
2025-10-17,351.0,358.39,350.83,356.6,8608378
2025-10-20,358.54,365.57,357.5101,364.48,5996541
2025-10-21,365.14,371.05,361.5,365.37,6885288
2025-10-22,363.96,364.0,358.0,361.49,7833031
2025-10-23,355.58,362.28,353.6415,360.45,5756666
2025-10-24,361.37,365.42,360.025,362.5,5462101
2025-10-27,363.5,366.22,361.4,365.98,7766441
2025-10-28,380.68,381.0,358.633,367.84,18858690
2025-10-29,364.28,366.15,353.88,355.26,11874950
2025-10-30,347.515,354.54,343.6,344.75,11441930
2025-10-31,344.39,346.28,337.12,341.56,8390831
2025-11-03,339.13,340.7,326.6,333.79,11181380
2025-11-04,327.63,336.5,327.2,330.83,9646591
2025-11-05,326.3,330.2055,324.22,327.74,9697089
2025-11-06,328.92,332.365,321.45,321.56,7922131
2025-11-07,319.655,324.55,314.16,324.21,9402873
2025-11-10,319.99,324.25,317.17,321.58,9283842
2025-11-11,323.3,327.8599,319.88,327.45,7157796
2025-11-12,328.45,343.17,327.0846,339.06,10403260
2025-11-13,338.35,339.03,331.29,332.52,7788683
2025-11-14,326.95,328.2121,320.49,321.86,8676498
2025-11-17,320.6,327.88,319.43,320.52,6485370
2025-11-18,317.01,317.5,308.77,313.58,9182145
2025-11-19,313.93,315.0,304.53,309.09,8181075
2025-11-20,310.81,314.745,310.0,311.54,7337568
2025-11-21,311.91,323.835,311.44,319.97,8406306
2025-11-24,324.525,325.846,317.62,319.05,10773810
2025-11-25,321.12,328.0,320.904,326.28,6149110
2025-11-26,326.59,335.19,325.89,329.71,5504205
2025-11-28,331.67,332.06,328.89,329.77,2464462
2025-12-01,327.16,330.06,323.03,323.21,6154560
2025-12-02,323.37,328.7,322.8,324.54,7978098
2025-12-03,326.0,341.405,325.01,339.71,9769961
2025-12-04,339.4,341.26,328.72,333.49,8061622
2025-12-05,335.0,335.71,328.51,330.91,5905996
2025-12-08,328.7,329.1,322.83,323.62,4782815
2025-12-09,323.16,326.36,322.48,323.6,4628440
2025-12-10,322.75,328.73,319.6,328.37,5910546
2025-12-11,330.37,339.25,328.76,336.73,7513165
2025-12-12,337.5,344.98,337.37,341.84,7978995
2025-12-15,340.99,344.96,337.0,341.1,6447186
2025-12-16,340.42,340.99,331.0301,334.2,6334030
2025-12-17,333.61,335.52,330.48,331.63,4685579
2025-12-18,328.93,330.18,324.57,328.14,6354947
2025-12-19,328.06,334.6,326.07,327.42,10552980
2025-12-22,322.9,329.8,321.65,325.16,7872420
2025-12-23,324.0,327.7999,323.76,324.8,4463292
2025-12-24,325.2,328.99,324.13,327.58,2842681
2025-12-26,327.2,331.89,326.2625,331.83,4359289
2025-12-29,330.89,334.25,328.28,328.94,4346789
2025-12-30,329.73,336.15,329.51,332.16,4432488
2025-12-31,332.32,333.33,329.88,330.11,4285205
2026-01-02,330.895,340.2578,327.5,336.4,6863568
2026-01-05,335.45,346.9399,333.85,342.02,7956616
