date,open,high,low,close,volume
2025-09-02,69.46,70.04,68.7,70.03,1204779
2025-09-03,70.36,73.14,70.01,72.78,3896295
2025-09-04,73.05,73.47,72.6019,73.07,1755068
2025-09-05,73.07,73.95,72.1,73.76,2680413
2025-09-08,73.56,74.02,72.435,73.69,2048298
2025-09-09,73.85,74.1,72.9,73.27,1521456
2025-09-10,73.15,73.77,72.79,73.72,1087528
2025-09-11,73.71,75.33,73.41,75.26,1802954
2025-09-12,75.0,75.65,74.58,75.24,1525048
2025-09-15,75.21,76.04,74.75,74.9,1324428
2025-09-16,75.24,75.24,73.51,74.21,1316479
2025-09-17,74.25,75.64,74.25,75.1,1342492
2025-09-18,75.1,76.4,74.94,76.25,1389256
2025-09-19,76.82,77.0,75.3,76.21,4499233
2025-09-22,75.85,76.36,75.29,75.9,1332198
2025-09-23,75.88,77.5289,75.88,76.7,1259374
2025-09-24,76.7,77.62,76.45,76.83,1609897
2025-09-25,76.77,77.24,76.28,76.7,939682
2025-09-26,77.31,78.43,77.31,78.26,741735
2025-09-29,78.46,78.46,77.14,77.42,838390
2025-09-30,77.6,77.94,76.87,77.78,1028170
2025-10-01,77.36,78.44,77.07,78.26,853206
2025-10-02,77.87,78.78,77.68,78.6,784385
2025-10-03,78.91,79.74,78.6,79.42,1149554
2025-10-06,79.57,79.93,78.37,78.64,726076
2025-10-07,78.65,79.29,78.1201,78.26,653907
2025-10-08,78.76,79.03,77.95,78.62,716908
2025-10-09,78.87,79.2,76.385,76.77,1624520
2025-10-10,76.96,77.55,75.695,75.85,1410091
2025-10-13,76.32,76.66,75.08,75.46,1043623
2025-10-14,75.04,76.62,75.04,76.61,1093077
2025-10-15,76.53,77.06,75.44,75.93,834412
2025-10-16,75.47,75.675,73.595,73.69,983976
2025-10-17,73.76,75.49,73.69,75.46,1203672
2025-10-20,75.75,76.12,75.31,75.7,849150
2025-10-21,75.99,76.98,75.75,76.58,963047
2025-10-22,76.6,77.365,75.78,76.21,1058293
2025-10-23,76.47,76.66,75.95,76.41,741351
2025-10-24,76.13,76.7,75.89,76.08,757265
2025-10-27,76.55,76.7,75.74,75.8,879081
2025-10-28,75.78,75.83,74.62,74.68,1209809
2025-10-29,74.21,75.3,74.16,74.86,1609710
2025-10-30,74.9,75.345,73.425,73.5,2214069
2025-10-31,73.56,73.68,72.79,73.42,1733632
2025-11-03,72.91,73.68,72.21,72.93,2319241
2025-11-04,74.45,78.99,74.45,78.2,3880066
2025-11-05,78.61,78.71,76.25,76.77,2494522
2025-11-06,76.92,77.83,76.32,76.78,1847126
2025-11-07,76.28,78.35,75.635,78.15,1881703
2025-11-10,78.02,78.76,77.28,77.33,918662
2025-11-11,77.3,77.8,76.27,76.33,882886
2025-11-12,76.31,77.96,76.31,77.34,863770
2025-11-13,77.2,78.0,76.7,77.0,1137901
2025-11-14,76.73,77.575,75.905,76.97,812993
2025-11-17,76.69,76.8,75.45,75.92,1293983
2025-11-18,75.42,76.9799,75.24,76.72,1170884
2025-11-19,76.85,77.475,76.11,76.5,1305350
2025-11-20,77.23,77.88,75.92,76.29,1047089
2025-11-21,76.35,76.875,75.26,75.66,1174279
2025-11-24,75.49,75.93,74.875,75.66,1465123
2025-11-25,76.23,77.3,75.85,76.55,1251622
2025-11-26,76.78,76.995,76.05,76.38,1291152
2025-11-28,76.37,76.87,75.91,75.97,685285
2025-12-01,75.71,76.15,75.11,75.2,1258320
2025-12-02,75.49,75.5313,74.04,74.3,1272174
2025-12-03,74.3,74.52,73.2,73.55,1893329
2025-12-04,73.41,73.94,73.03,73.34,1243314
2025-12-05,75.58,75.58,74.155,74.29,1320473
