date,open,high,low,close,volume
2025-09-02,86.62,86.85,84.81,85.23,10058850
2025-09-03,85.37,85.88,84.78,85.29,7430902
2025-09-04,85.64,85.69,83.67,84.48,10741520
2025-09-05,84.61,86.34,84.19,85.04,8585440
2025-09-08,85.05,85.05,83.05,84.32,11783710
2025-09-09,84.23,84.93,84.05,84.4,7889670
2025-09-10,84.35,85.17,83.715,83.85,6684575
2025-09-11,82.43,84.865,82.0,84.65,10453460
2025-09-12,84.79,85.0231,83.87,84.35,5545458
2025-09-15,84.87,85.17,83.91,84.02,6388968
2025-09-16,84.43,85.35,84.31,85.2,6185459
2025-09-17,85.07,86.37,83.73,84.18,9006963
2025-09-18,84.67,85.09,84.0,85.05,8067257
2025-09-19,85.11,85.61,84.01,84.06,18120210
2025-09-22,83.8,85.7,83.13,84.23,10224290
2025-09-23,84.47,85.73,84.121,84.41,7486338
2025-09-24,84.31,85.02,83.71,83.9,6988374
2025-09-25,83.8,83.99,82.36,82.58,9021074
2025-09-26,82.74,83.88,82.64,83.72,6845805
2025-09-29,83.93,84.515,83.46,84.5,7275334
2025-09-30,84.5,84.55,82.64,83.53,9876243
2025-10-01,83.39,84.6,83.32,84.38,7074822
2025-10-02,84.67,87.11,84.54,85.57,9815512
2025-10-03,85.7,87.33,85.42,86.78,7098926
2025-10-06,86.86,87.05,85.78,86.62,6987032
2025-10-07,87.02,87.43,85.795,85.98,4726812
2025-10-08,85.86,87.12,85.21,86.25,4896014
2025-10-09,86.28,86.48,84.88,85.28,5784689
2025-10-10,85.4,86.0619,82.5513,82.87,8505974
2025-10-13,83.175,83.99,82.86,83.18,6132158
2025-10-14,82.5,84.3,82.0,84.05,6306795
2025-10-15,84.24,84.93,83.61,84.09,4903013
2025-10-16,84.75,85.73,83.851,85.64,7056212
2025-10-17,85.67,86.78,85.24,86.41,9396125
2025-10-20,86.65,87.503,86.4,86.91,5456544
2025-10-21,86.75,88.7,86.3668,88.06,6181487
2025-10-22,87.75,88.21,86.925,87.08,5258472
2025-10-23,87.53,88.47,86.3,87.03,5764798
2025-10-24,87.92,88.3099,87.14,87.22,5256153
2025-10-27,88.215,89.32,88.215,89.22,12012890
2025-10-28,98.45,100.57,95.0,96.36,30026990
2025-10-29,96.9,98.29,95.7251,97.4,10789190
2025-10-30,97.075,98.3,94.855,95.06,10073580
2025-10-31,94.92,96.9,94.58,96.42,7305353
2025-11-03,96.41,96.41,93.59,94.09,7693083
2025-11-04,93.75,94.6,92.88,93.25,6457706
2025-11-05,92.43,94.03,91.1,92.91,6215284
2025-11-06,93.1,93.92,92.63,93.6,6571797
2025-11-07,93.4,96.22,93.2,95.95,7741714
2025-11-10,95.835,95.92,92.05,93.06,9771896
2025-11-11,93.81,95.5,92.86,95.03,6859233
2025-11-12,95.55,96.5,95.35,96.18,5814484
2025-11-13,96.1,97.12,95.75,95.97,6119485
2025-11-14,95.71,96.71,95.1645,95.98,6583028
2025-11-17,94.22,95.41,93.56,94.19,6488188
2025-11-18,93.6,93.68,92.07,92.83,6347751
2025-11-19,93.23,94.0,92.375,92.41,5604331
2025-11-20,92.775,93.84,90.84,90.87,7452670
2025-11-21,91.58,96.222,91.31,94.66,8913223
2025-11-24,94.7,94.7494,93.35,93.56,6554599
2025-11-25,94.05,95.3801,93.54,94.54,5840207
2025-11-26,94.25,95.795,93.76,95.67,4685759
2025-11-28,95.525,96.35,95.2901,95.79,2554789
2025-12-01,95.54,96.66,95.03,95.22,4772515
2025-12-02,95.44,96.0,94.495,95.58,4854532
2025-12-03,96.06,98.25,95.885,98.21,7259001
2025-12-04,98.305,98.69,94.5,94.76,9451302
2025-12-05,95.0,95.85,94.575,94.87,5523608
2025-12-08,95.035,96.43,94.873,95.55,5617365
2025-12-09,95.6,97.19,95.53,96.97,4738307
2025-12-10,97.14,100.11,97.1,99.64,7188053
2025-12-11,100.11,101.2,99.0,100.48,5264199
2025-12-12,101.06,101.66,100.02,100.92,4510215
2025-12-15,101.0,101.26,99.75,100.07,5061728
2025-12-16,100.14,100.68,99.12,100.11,4841963
2025-12-17,100.175,101.4,99.91,100.96,5978801
2025-12-18,101.33,102.89,101.185,102.08,7611623
2025-12-19,101.11,102.19,100.12,101.92,17317520
2025-12-22,101.63,102.0,100.03,100.73,5464369
2025-12-23,100.69,100.9,99.88,100.19,4645347
2025-12-24,100.2,101.07,99.9,100.66,1845456
2025-12-26,100.52,100.89,99.95,100.54,2856682
2025-12-29,100.51,101.0,99.06,99.68,4352561
2025-12-30,99.72,100.17,99.49,99.64,3397881
2025-12-31,99.56,99.81,99.05,99.19,3926725
2026-01-02,99.3,101.21,98.4107,101.02,5031995
2026-01-05,100.95,102.315,100.59,102.0,5733576
2026-01-06,102.08,105.24,102.075,105.22,6935951
2026-01-07,105.52,106.36,104.1,105.41,5688224
2026-01-08,104.61,107.95,104.13,106.97,6294059
2026-01-09,108.5,109.67,106.735,108.06,5504440
2026-01-12,107.86,108.66,107.17,108.03,4335937
2026-01-13,107.09,108.05,106.145,106.58,4706170
2026-01-14,106.49,107.98,106.32,107.4,4042189
2026-01-15,107.72,108.99,107.22,108.62,4133265
2026-01-16,108.08,108.65,106.82,106.91,4669304
2026-01-20,105.995,107.145,105.15,106.54,5600959
2026-01-21,107.49,109.32,107.1,108.48,3950678
2026-01-22,108.99,110.04,108.87,109.3,3487330
2026-01-23,109.56,109.71,107.56,107.98,4049648
2026-01-26,108.21,108.62,106.78,106.97,8194004
2026-01-27,106.68,112.67,104.75,107.2,14449290
2026-01-28,107.54,108.18,103.59,103.7,9254878
2026-01-29,104.38,107.2124,104.21,105.99,10939750
2026-01-30,105.85,107.82,105.26,106.22,7186675
2026-02-02,106.58,110.67,106.25,110.27,8662386
2026-02-03,110.68,114.3,110.66,111.85,7698599
2026-02-04,113.0,116.925,112.935,116.74,11371500
2026-02-05,116.0,116.655,114.9,116.55,6624540
2026-02-06,116.295,117.74,115.8256,117.34,6738190
2026-02-09,117.17,118.0,115.995,117.92,5220958
2026-02-10,118.25,119.56,117.3914,118.7,5845184
2026-02-11,119.7,120.9,119.29,120.0,6649621
2026-02-12,120.375,122.41,117.05,118.07,10174060
2026-02-13,118.17,120.0,117.06,119.24,4973461
2026-02-17,117.435,118.195,115.4192,115.51,5234327
2026-02-18,115.17,116.36,114.2101,116.12,4359533
2026-02-19,115.6,116.08,114.5,115.54,3845395
2026-02-20,115.075,117.14,114.29,116.73,4947472
2026-02-23,116.17,116.35,114.47,115.02,5181500
2026-02-24,114.92,116.3383,114.5,115.37,2658016
2026-02-25,115.39,115.75,112.95,113.85,4023529
2026-02-26,114.21,116.76,114.21,116.63,5314272
2026-02-27,115.96,116.9198,115.06,115.96,6239593
2026-03-02,114.42,115.25,113.17,114.42,5013043
2026-03-03,112.89,113.59,110.87,113.23,4839944
2026-03-04,113.53,115.62,109.5,110.5,11433910
2026-03-05,109.945,110.45,103.24,104.07,11572870
2026-03-06,101.87,102.42,99.41,102.36,9494756
2026-03-09,100.97,100.97,97.01,99.94,10354800
2026-03-10,100.225,102.23,99.55,100.92,6255544
2026-03-11,100.95,101.5,99.865,100.8,4061185
2026-03-12,99.63,99.63,97.415,97.89,6366283
2026-03-13,98.23,98.77,96.96,97.21,4431474
2026-03-16,97.975,98.4,97.4,97.4,4867712
2026-03-17,98.64,99.0581,97.43,97.77,4187622
2026-03-18,97.4,97.7,96.24,96.84,5417789
2026-03-19,95.77,97.0,95.01,96.56,5304754
2026-03-20,97.09,97.64,95.17,95.86,34639780
2026-03-23,97.485,99.37,96.88,97.67,7412107
2026-03-24,97.05,98.86,96.27,98.44,4249788
2026-03-25,99.275,99.6,97.58,98.37,3350971
2026-03-26,97.89,98.9399,97.2,97.5,3790887
2026-03-27,96.5,96.94,94.06,94.8,5914679
2026-03-30,96.12,96.4,94.7,94.95,5232638
2026-03-31,96.78,98.43,95.77,98.38,6868280
2026-04-01,98.85,99.7,97.69,97.91,5101616
2026-04-02,96.04,98.87,95.52,98.18,4060346
2026-04-06,98.05,98.05,96.39,97.16,4690761
2026-04-07,96.785,97.89,95.63,97.57,4480923
2026-04-08,100.2,101.54,99.26,100.45,5926671
2026-04-09,99.99,101.86,99.7211,101.64,4361814
2026-04-10,102.16,102.4,101.2551,101.7,4491038
2026-04-13,100.88,102.11,99.93,102.02,3799948
2026-04-14,102.05,103.47,101.21,103.22,4703589
2026-04-15,102.95,103.7,102.03,103.57,5193491
2026-04-16,103.36,105.735,103.36,105.06,5295660
2026-04-17,106.18,107.59,105.56,106.44,5506236
2026-04-20,105.73,107.5,105.53,107.11,3639307
2026-04-21,107.53,108.15,105.58,106.31,4082172
2026-04-22,107.0,107.0,105.27,105.3,3634497
2026-04-23,106.44,108.3,106.04,107.72,4422779
2026-04-24,107.38,107.74,106.46,107.02,4168018
2026-04-27,107.205,108.52,107.12,108.24,6570581
2026-04-28,103.99,105.95,100.45,103.94,12540130
2026-04-29,104.6,106.75,103.36,106.61,6216593
2026-04-30,106.76,109.11,106.75,108.8,6091154
2026-05-01,109.38,109.84,106.95,107.57,4225215
2026-05-04,102.315,102.83,95.98,96.31,18538490
2026-05-05,96.59,98.395,96.515,98.07,7129279
2026-05-06,98.93,100.79,98.58,99.89,7358692
2026-05-07,100.355,101.11,99.35,100.1,5808740
2026-05-08,100.73,101.03,100.01,100.78,4780824
2026-05-11,100.72,100.865,99.79,100.0,5327993
2026-05-12,100.385,100.385,96.9,98.44,6197726
2026-05-13,98.28,99.23,98.01,98.45,5029760
2026-05-14,99.05,100.0,97.94,98.42,5443655
2026-05-15,98.165,99.31,97.53,98.93,5567474
2026-05-18,96.82,97.225,94.49,95.53,6396170
2026-05-19,95.17,96.87,93.86,96.83,5199507
2026-05-20,96.695,98.96,96.15,98.87,4792528
2026-05-21,98.16,99.105,97.145,98.25,4478415
2026-05-22,99.2,101.17,98.83,101.02,4540934
2026-05-26,101.505,102.67,101.4375,101.97,4610291
2026-05-27,102.89,104.845,102.89,104.47,6114875
2026-05-28,104.0,106.8799,103.053,106.67,6194822
2026-05-29,106.6,107.31,105.3919,106.69,10465970
2026-06-01,105.56,109.72,105.06,109.02,6088488
2026-06-02,109.28,110.34,108.12,108.93,5894387
2026-06-03,108.84,110.95,108.37,108.67,6303775
2026-06-04,109.87,111.22,109.58,110.22,5759822
2026-06-05,110.48,110.7,108.52,108.54,4048189
2026-06-08,109.265,109.36,107.615,107.7,4544456
2026-06-09,108.21,109.2,106.07,107.87,5901948
2026-06-10,105.8,105.9899,102.8301,103.26,5569621
2026-06-11,103.75,108.66,103.645,108.65,5086894
2026-06-12,109.97,110.46,107.25,108.1,3714549
2026-06-15,108.72,110.62,108.26,108.83,4889974
2026-06-16,109.05,110.83,109.05,110.02,4986626
2026-06-17,109.885,110.01,104.93,105.13,4759680
2026-06-18,106.09,107.615,104.8201,104.86,13306360
2026-06-22,104.9,108.8,104.9,107.24,5483838
2026-06-23,106.95,107.39,105.3,105.83,4023904
2026-06-24,105.645,106.28,102.85,106.14,4999882
2026-06-25,106.21,109.4,106.21,109.31,5821607
2026-06-26,108.65,109.26,107.52,108.14,6288588
2026-06-29,108.04,108.4318,106.87,108.01,3077613
2026-06-30,107.925,108.0,106.035,107.5,3363987
2026-07-01,108.04,111.06,107.3,109.54,4218816
2026-07-02,110.32,110.84,109.27,110.66,3377852
2026-07-06,110.77,110.77,109.03,110.02,3169275
2026-07-07,110.72,112.3,109.8201,111.96,4619313
2026-07-08,111.53,111.53,109.03,109.94,3752470
2026-07-09,110.83,113.22,108.51,110.74,6272915
2026-07-10,111.78,113.41,111.11,112.47,3410443
2026-07-13,113.04,113.98,112.61,112.89,2866409
2026-07-14,113.38,114.02,111.34,113.67,3066730
2026-07-15,114.13,115.43,112.62,112.94,4072048
2026-07-16,113.25,117.32,113.25,117.18,5057595
2026-07-17,116.9,118.42,116.31,117.72,7152510
