date,open,high,low,close,volume
2025-09-02,69.09,72.85,67.39,69.17,5244738
2025-09-03,69.55,69.7399,64.41,64.46,6525916
2025-09-04,64.51,66.74,63.7,65.87,4462947
2025-09-05,67.75,69.6399,65.01,66.9,5826514
2025-09-08,67.0,68.73,65.71,68.22,3796683
2025-09-09,68.22,69.7499,67.41,68.92,3614453
2025-09-10,67.04,67.1,61.0001,62.42,17239470
2025-09-11,62.9,63.88,61.69,62.19,8331219
2025-09-12,62.14,65.3,61.15,63.08,7114389
2025-09-15,64.43,67.2728,64.26,66.98,6186976
2025-09-16,66.81,68.28,65.75,67.17,6414082
2025-09-17,67.43,70.16,65.4,68.12,11105850
2025-09-18,69.0,70.43,67.12,68.05,7748220
2025-09-19,68.35,71.38,67.11,67.89,10030200
2025-09-22,66.51,66.73,64.3648,64.9,8051167
2025-09-23,65.08,66.51,62.23,62.38,6097753
2025-09-24,63.228,64.15,60.0,60.61,6411362
2025-09-25,58.86,59.3628,56.1,56.93,9887611
2025-09-26,57.285,57.82,56.6,57.35,4369748
2025-09-29,57.59,57.95,52.2283,52.74,15908500
2025-09-30,52.15,52.5037,50.1,50.8,10231760
2025-10-01,54.685,54.685,51.1906,52.13,13956630
2025-10-02,52.75,54.0,51.58,52.88,7414757
2025-10-03,53.32,53.59,51.79,51.96,5283125
2025-10-06,52.87,54.13,51.8714,52.61,5657891
2025-10-07,52.86,53.55,50.195,51.81,7018258
2025-10-08,52.07,52.56,51.01,51.76,4953459
2025-10-09,52.01,53.74,51.76,52.37,5714831
2025-10-10,52.63,53.79,48.55,48.58,9104699
2025-10-13,49.57,50.5,48.1105,49.6,6616145
2025-10-14,48.27,50.94,47.76,50.39,5609137
2025-10-15,52.05,52.54,49.67,51.07,5949636
2025-10-16,50.83,51.16,47.56,47.785,6426384
2025-10-17,46.62,47.91,46.455,46.5,5340619
2025-10-20,47.42,50.8699,47.26,50.22,5620452
2025-10-21,49.9,53.44,49.76,52.36,6653328
2025-10-22,51.21,52.29,48.0,50.38,7430834
2025-10-23,50.73,53.23,50.54,52.1,6188131
2025-10-24,53.97,55.22,52.46,52.69,6155325
2025-10-27,54.5,54.5,52.25,52.74,4829417
2025-10-28,53.14,53.1785,50.5,50.7,5486732
2025-10-29,50.41,50.68,48.14,48.75,6518993
2025-10-30,47.45,47.75,44.65,44.96,8035071
2025-10-31,46.21,47.99,45.82,47.52,6178613
2025-11-03,47.49,48.69,46.75,47.54,6266499
2025-11-04,45.56,47.41,45.31,46.24,12143380
2025-11-05,39.38,42.29,39.16,41.75,22073940
2025-11-06,41.54,41.62,37.68,37.725,9289481
2025-11-07,36.9,38.64,36.0601,38.6,8898210
2025-11-10,39.75,40.09,38.55,38.77,8373115
2025-11-11,38.64,39.41,38.0356,38.93,4228121
2025-11-12,39.06,39.96,38.75,39.62,4605087
2025-11-13,39.0,39.28,36.67,37.29,6664485
2025-11-14,38.12,39.9,37.8,38.72,6967204
2025-11-17,38.19,38.4549,35.5701,36.065,5545537
2025-11-18,35.56,38.54,35.48,37.91,7874604
2025-11-19,38.17,38.2,36.625,37.27,6199876
2025-11-20,38.1,39.18,35.52,35.58,5045298
2025-11-21,35.59,37.455,34.23,37.09,6119876
2025-11-24,37.46,39.27,37.3,39.02,4586919
2025-11-25,38.92,42.06,38.64,41.77,5363948
2025-11-26,41.865,43.2,41.57,42.06,4169358
2025-11-28,44.02,45.0233,43.3,44.96,3740971
2025-12-01,43.785,45.645,43.72,44.26,4149254
2025-12-02,44.42,44.9699,42.65,42.7,3425810
2025-12-03,42.645,45.439,42.36,45.3,3375560
2025-12-04,45.45,47.24,45.01,47.13,4950642
2025-12-05,46.39,47.75,45.94,46.75,3275799
2025-12-08,46.95,47.75,46.1,46.91,3866136
2025-12-09,46.2,48.3399,45.8,46.5,3816437
2025-12-10,46.04,48.97,45.7144,48.815,5186771
2025-12-11,48.43,49.3,47.66,49.13,3455190
2025-12-12,49.43,50.48,48.04,49.35,5156267
2025-12-15,48.85,49.8,45.1401,46.05,5632217
2025-12-16,45.32,47.55,45.32,46.91,3496163
2025-12-17,46.91,49.5399,44.89,45.05,5427635
2025-12-18,47.14,49.445,46.55,47.03,5834469
2025-12-19,47.86,48.92,47.03,47.59,4279416
2025-12-22,47.9,49.3,47.59,48.77,5673796
2025-12-23,48.87,49.76,47.7,48.905,5736987
2025-12-24,48.44,48.945,47.6,48.22,3063375
2025-12-26,48.0,48.87,47.12,47.47,4088130
