date,open,high,low,close,volume
2025-09-02,14.47,14.5699,13.46,13.96,5695891
2025-09-03,14.2,14.3,13.66,13.76,2563542
2025-09-04,13.77,14.19,13.6,14.11,2377182
2025-09-05,13.98,14.3394,13.37,13.86,2853525
2025-09-08,13.68,13.845,13.33,13.52,2770656
2025-09-09,13.56,14.37,13.56,14.1,3494670
2025-09-10,14.28,14.55,13.72,13.87,3229485
2025-09-11,13.76,14.99,13.73,14.53,3742152
2025-09-12,14.6,14.99,14.03,14.06,2972801
2025-09-15,14.18,14.7,13.565,13.74,5155637
2025-09-16,14.58,15.89,14.33,14.92,9225938
2025-09-17,14.75,15.64,14.45,15.52,5705868
2025-09-18,15.73,16.5,15.08,16.4,7026007
2025-09-19,16.518,16.59,15.71,16.25,10718830
2025-09-22,16.0,16.1,15.42,16.08,3918116
2025-09-23,16.28,18.145,16.21,17.85,11382060
2025-09-24,18.195,18.46,16.65,16.66,6987815
2025-09-25,15.955,19.08,15.45,18.19,12331040
2025-09-26,17.98,18.06,16.37,17.325,7557969
2025-09-29,18.65,19.01,16.88,17.54,7893968
2025-09-30,17.38,18.1,16.3,17.19,4937322
2025-10-01,17.52,18.65,17.27,18.41,6663410
2025-10-02,18.51,23.37,18.5,22.71,24643140
2025-10-03,26.09,28.25,25.01,25.96,41452640
2025-10-06,28.0,29.1,25.13,26.32,19717660
2025-10-07,27.25,30.92,26.75,28.27,21490530
2025-10-08,29.58,29.75,25.76,27.02,14953850
2025-10-09,28.705,32.59,27.8203,31.07,26661660
2025-10-10,34.235,37.85,31.31,32.61,50624770
2025-10-13,38.57,43.98,37.5,38.68,49823390
2025-10-14,41.99,42.0,33.73,37.545,45152130
2025-10-15,35.66,35.92,31.4,33.68,32806950
2025-10-16,33.83,34.025,28.355,28.54,26305390
2025-10-17,25.79,29.89,25.63,27.73,20063930
2025-10-20,29.71,32.25,26.8,31.59,34289750
2025-10-21,29.0,29.7,26.34,26.73,19274000
2025-10-22,25.29,26.45,23.4,24.46,19263970
2025-10-23,25.09,25.479,23.83,24.05,7967089
2025-10-24,24.53,25.48,23.5,23.57,11826810
2025-10-27,21.35,21.73,20.15,21.6,20549970
2025-10-28,21.25,22.17,20.03,20.13,11702580
2025-10-29,20.235,20.8534,19.37,20.1,11112490
2025-10-30,21.0,21.4,18.94,19.68,16901870
2025-10-31,19.846,20.42,18.85,19.45,10642730
2025-11-03,18.99,19.0,16.5,16.91,17064710
2025-11-04,16.17,17.27,15.73,16.345,11245740
2025-11-05,16.5,17.33,16.23,16.87,10626100
2025-11-06,16.98,17.0,15.74,15.82,14555710
2025-11-07,14.85,17.45,14.85,17.36,15842090
2025-11-10,17.65,17.75,16.6,17.23,11040320
2025-11-11,17.375,18.15,16.903,17.77,8191450
2025-11-12,17.728,18.561,16.43,16.92,9221132
2025-11-13,16.8,17.1372,14.68,14.85,9650199
2025-11-14,14.3,15.06,13.93,14.49,9428150
2025-11-17,14.51,14.94,14.1,14.45,6335547
2025-11-18,14.12,15.7,14.1,15.26,6333926
2025-11-19,15.48,15.75,14.18,14.3,10414320
2025-11-20,14.21,14.68,12.19,12.2,14231500
2025-11-21,12.195,12.36,11.541,12.24,10350040
2025-11-24,12.4,12.52,12.05,12.37,7793614
2025-11-25,12.02,12.27,11.45,12.1,6037902
2025-11-26,12.14,12.6,12.06,12.43,6892026
2025-11-28,12.75,13.61,12.64,13.45,6430261
2025-12-01,13.36,13.3785,12.51,12.59,7911125
2025-12-02,12.68,13.98,12.66,13.64,9494561
2025-12-03,13.49,14.245,13.09,14.02,7091167
2025-12-04,14.05,17.73,13.94,17.48,23356190
2025-12-05,16.48,17.8,16.48,17.22,14110750
2025-12-08,17.51,17.88,16.23,17.12,10506710
2025-12-09,16.755,17.74,16.2401,17.51,7773158
2025-12-10,18.069,18.31,16.46,16.74,10989730
2025-12-11,16.31,18.9,16.122,18.77,11862810
2025-12-12,18.52,19.02,16.98,17.04,9207297
2025-12-15,17.01,17.43,14.78,14.87,9610136
2025-12-16,14.735,15.3399,14.6,15.0,6274608
2025-12-17,14.885,15.685,13.5,13.56,7721268
2025-12-18,13.74,14.6972,13.242,13.515,7626715
2025-12-19,13.31,14.02,13.3,13.84,23836190
2025-12-22,14.185,14.8,13.88,14.04,6935570
2025-12-23,13.97,14.7,13.68,14.11,7646644
2025-12-24,14.0,14.6699,13.81,14.53,3553342
2025-12-26,14.48,14.52,13.0,13.51,8069939
2025-12-29,13.15,13.63,12.605,12.7,6666055
2025-12-30,12.68,12.74,12.07,12.13,6886833
2025-12-31,12.13,12.25,11.7245,11.9,7623160
2026-01-02,12.28,14.41,12.17,14.15,11394930
2026-01-05,14.5,16.139,14.34,15.8,11796310
2026-01-06,16.4,18.2067,16.09,17.52,17567080
2026-01-07,17.08,18.41,16.89,17.19,12573740
2026-01-08,16.74,17.62,16.26,16.73,7156495
2026-01-09,17.19,18.0095,16.64,17.28,11013720
2026-01-12,17.67,18.15,16.72,17.74,11991820
2026-01-13,18.37,19.18,16.35,16.67,14604480
2026-01-14,16.67,18.47,15.732,18.28,16068010
2026-01-15,17.69,17.7622,16.66,16.79,11331670
