date,open,high,low,close,volume
2025-09-02,219.13,220.0,218.15,219.18,132430
2025-09-03,218.24,219.25,217.54,219.25,79781
2025-09-04,219.94,220.58,219.2303,219.69,97806
2025-09-05,219.68,221.08,219.072,220.35,91776
2025-09-08,220.29,220.29,218.5878,219.84,66583
2025-09-09,219.37,220.5,219.19,220.41,117826
2025-09-10,219.41,219.74,217.0,217.96,264833
2025-09-11,218.3,220.4,218.3,220.07,110532
2025-09-12,219.71,220.18,219.1257,219.45,68324
2025-09-15,219.27,219.425,217.28,217.28,336521
2025-09-16,217.59,218.3715,217.01,217.89,62454
2025-09-17,218.61,220.738,218.61,219.56,90399
2025-09-18,217.97,218.84,217.48,217.51,132660
2025-09-19,217.93,217.93,216.5,216.54,77605
2025-09-22,215.98,216.03,214.337,214.53,197056
2025-09-23,214.66,215.195,213.495,215.09,140978
2025-09-24,213.88,214.98,213.88,214.11,104301
2025-09-25,214.96,215.0,212.5,212.64,159066
2025-09-26,212.37,212.879,211.5,212.75,176777
2025-09-29,212.94,213.14,211.6313,213.14,160169
2025-09-30,212.96,214.18,212.71,213.73,79727
2025-10-01,213.4,213.525,212.0586,213.25,129166
2025-10-02,212.44,212.835,211.7701,212.52,139948
2025-10-03,212.32,213.62,212.32,212.84,95726
2025-10-06,212.51,212.51,211.0901,211.27,112381
2025-10-07,211.37,213.16,210.49,213.07,123536
2025-10-08,213.0,213.0,211.735,212.09,90987
2025-10-09,212.92,213.19,212.0,212.97,118921
2025-10-10,213.51,214.6,212.765,212.82,115732
2025-10-13,212.07,212.785,211.25,212.25,119515
2025-10-14,212.63,216.02,212.43,215.87,231072
2025-10-15,216.01,217.795,215.87,216.43,121600
2025-10-16,216.9,217.54,214.235,214.8,103421
2025-10-17,215.55,217.55,215.55,217.49,84159
2025-10-20,217.74,218.1678,216.815,217.2,94347
2025-10-21,217.64,217.81,216.25,216.67,81364
2025-10-22,216.91,219.0181,215.925,217.75,119413
2025-10-23,217.86,217.86,215.74,216.76,118993
2025-10-24,218.23,218.23,215.89,215.89,125043
2025-10-27,216.25,216.25,214.86,215.52,138784
2025-10-28,214.98,215.2207,213.7785,213.87,120064
2025-10-29,212.72,212.72,209.15,209.67,219075
2025-10-30,209.2,210.0,208.94,208.96,135499
2025-10-31,208.09,208.77,207.414,208.11,107619
2025-11-03,207.78,207.82,206.46,207.46,577426
2025-11-04,208.1,208.75,207.12,208.3,157560
2025-11-05,208.03,209.04,207.0,207.98,139487
2025-11-06,206.98,207.165,205.45,206.7,146806
2025-11-07,207.82,209.52,207.515,209.12,140340
2025-11-10,208.83,209.0396,207.31,208.53,117507
2025-11-11,209.09,211.25,208.99,210.99,95695
2025-11-12,211.04,211.636,210.75,210.75,65927
2025-11-13,210.72,211.66,210.54,210.7,116293
2025-11-14,210.31,210.918,209.23,210.6,115818
2025-11-17,210.58,211.28,208.92,209.15,118523
2025-11-18,209.44,210.25,208.81,209.43,143220
2025-11-19,209.04,209.2899,207.3404,208.19,210991
2025-11-20,209.17,210.78,209.06,210.07,120193
2025-11-21,210.84,213.3138,210.7,211.98,123594
2025-11-24,212.0,212.0,209.2,209.5,207721
2025-11-25,209.98,212.73,209.98,212.73,131722
2025-11-26,212.7,215.43,212.7,214.98,323945
2025-11-28,214.6,216.06,214.6,216.04,209872
2025-12-01,215.73,216.6034,215.285,215.97,212669
2025-12-02,215.48,215.48,213.1403,214.87,281667
2025-12-03,215.11,216.75,215.11,215.38,138316
2025-12-04,215.02,215.22,212.96,214.22,146424
2025-12-05,214.09,215.275,213.73,213.85,103010
2025-12-08,213.59,213.59,211.85,211.95,125748
2025-12-09,212.31,213.025,211.735,212.67,129313
2025-12-10,213.1,213.62,212.175,212.76,117499
2025-12-11,213.26,214.885,213.26,214.62,96022
2025-12-12,214.89,216.28,214.62,216.28,104126
2025-12-15,216.66,217.54,215.845,216.74,118883
2025-12-16,216.94,217.25,215.27,215.77,88514
2025-12-17,214.73,216.04,214.73,215.51,107246
2025-12-18,214.72,215.69,213.93,214.05,171376
2025-12-19,213.9,213.9,212.88,212.94,202304
2025-12-22,212.61,213.11,211.74,212.11,160947
2025-12-23,211.87,211.87,210.85,211.05,133730
2025-12-24,211.21,212.78,211.21,212.61,57686
2025-12-26,212.48,213.34,212.2823,212.89,101223
2025-12-29,212.68,213.34,212.5373,212.93,171038
2025-12-30,212.33,212.9,212.2099,212.35,107096
2025-12-31,212.0,212.2494,211.14,211.24,107075
2026-01-02,211.11,211.728,210.0407,210.9,187338
2026-01-05,210.83,211.09,209.0401,210.27,279244
2026-01-06,210.35,211.345,210.0,210.77,202444
2026-01-07,211.12,211.12,208.73,208.73,168466
2026-01-08,208.84,214.22,208.66,213.42,104913
2026-01-09,213.41,215.82,213.41,215.68,119161
2026-01-12,216.39,218.74,215.86,218.47,239055
2026-01-13,218.38,220.78,218.38,220.62,173297
2026-01-14,220.5,223.525,220.5,223.33,213461
2026-01-15,222.98,223.94,222.485,223.56,402843
2026-01-16,223.06,223.52,221.9701,223.36,224768
2026-01-20,222.77,224.12,221.42,223.74,213814
2026-01-21,223.35,224.93,222.424,224.58,146249
2026-01-22,224.27,225.06,223.88,224.2,143570
2026-01-23,224.44,225.64,224.44,225.56,149885
2026-01-26,225.84,226.65,224.71,225.25,143774
2026-01-27,225.09,226.1576,224.09,226.05,140486
2026-01-28,225.47,226.43,223.04,223.94,166974
2026-01-29,223.98,225.28,223.4761,223.86,177276
2026-01-30,223.95,226.93,223.26,226.93,132382
2026-02-02,227.5,230.425,226.4,230.05,238788
2026-02-03,229.44,234.91,229.44,233.64,234848
2026-02-04,234.5,237.1899,234.5,236.02,267495
2026-02-05,237.93,238.16,235.4468,236.13,229006
2026-02-06,236.15,239.675,236.15,239.32,177074
2026-02-09,239.2,239.8699,236.1347,237.36,200821
2026-02-10,236.85,238.05,235.575,235.81,169451
2026-02-11,235.75,239.87,235.17,238.82,149996
2026-02-12,239.07,243.745,239.07,241.86,276819
2026-02-13,241.52,244.0,240.46,242.63,241168
2026-02-17,242.96,243.9408,238.09,239.36,188998
2026-02-18,238.87,239.98,237.74,238.38,167774
2026-02-19,238.93,240.42,237.0,237.63,177805
2026-02-20,237.16,238.21,236.25,238.2,146532
2026-02-23,237.83,241.46,237.7201,241.01,154640
2026-02-24,240.96,243.13,240.36,243.1,193172
2026-02-25,242.21,242.23,239.49,241.29,161314
2026-02-26,242.04,243.25,240.3,240.89,144075
2026-02-27,241.4,244.33,241.4,244.19,179176
2026-03-02,243.01,243.325,240.82,240.91,196679
2026-03-03,239.52,240.08,236.65,238.63,303723
2026-03-04,238.52,239.04,236.12,237.13,186456
2026-03-05,234.98,234.98,231.13,232.11,279783
2026-03-06,230.56,232.97,229.865,232.79,183827
2026-03-09,231.9,233.65,229.93,233.42,133680
2026-03-10,232.98,235.0,231.5,233.16,574713
2026-03-11,232.87,232.87,229.49,230.53,279174
2026-03-12,228.76,231.6,228.34,230.13,153843
2026-03-13,231.1,232.15,230.95,231.38,133880
2026-03-16,232.58,233.0267,231.235,231.66,145405
2026-03-17,232.62,233.35,230.68,230.81,118387
2026-03-18,229.14,229.14,225.18,225.32,135418
2026-03-19,225.16,225.99,223.15,223.68,181325
2026-03-20,223.8,224.405,221.06,221.54,176722
2026-03-23,224.14,224.14,222.2299,222.44,129722
2026-03-24,220.63,223.89,220.31,221.31,116507
2026-03-25,222.35,222.855,220.13,222.65,123156
2026-03-26,222.74,224.45,221.58,221.7,518275
2026-03-27,221.88,224.42,221.405,223.18,200848
2026-03-30,223.95,225.79,223.4082,224.07,160815
2026-03-31,224.8,225.29,222.48,224.59,201313
2026-04-01,224.03,224.55,222.0,223.73,269816
2026-04-02,224.01,225.09,223.0,224.97,94557
2026-04-06,224.94,226.89,224.3,226.81,137713
2026-04-07,226.42,226.42,222.74,223.16,194514
2026-04-08,223.97,227.68,223.395,227.68,183519
2026-04-09,226.52,230.16,226.3849,229.63,97192
2026-04-10,229.37,229.37,225.89,226.52,75213
2026-04-13,226.04,226.04,223.02,224.2,115030
2026-04-14,223.18,224.69,222.25,223.95,192827
2026-04-15,223.55,223.74,221.6,222.98,112121
2026-04-16,222.9,225.0,222.9,223.71,82267
2026-04-17,223.6,227.005,223.46,226.87,170804
2026-04-20,227.11,228.15,225.95,226.67,87640
2026-04-21,226.74,226.865,225.18,225.51,107153
2026-04-22,226.19,227.175,225.55,226.28,73515
2026-04-23,227.14,229.92,227.14,229.51,105594
2026-04-24,230.34,230.675,228.375,229.06,74788
2026-04-27,228.46,229.445,226.6,226.73,179493
2026-04-28,229.79,230.28,227.46,228.33,83289
2026-04-29,227.38,228.56,226.6801,228.07,75073
2026-04-30,228.99,232.5,228.935,232.14,156968
2026-05-01,232.99,234.31,230.6,231.6,221984
2026-05-04,230.38,232.16,228.9,229.79,243388
2026-05-05,229.64,231.9,228.8735,230.81,91248
2026-05-06,231.32,231.7,229.73,230.59,484708
2026-05-07,230.25,230.6923,227.92,229.94,160969
2026-05-08,230.87,231.75,230.155,230.24,395907
2026-05-11,229.93,230.2662,226.4,227.58,158254
2026-05-12,228.51,232.0,227.33,230.59,163549
2026-05-13,229.88,232.69,229.82,231.23,100319
2026-05-14,231.7,232.7,231.515,231.96,99949
2026-05-15,233.26,233.26,230.8,231.25,107875
2026-05-18,231.32,234.31,231.29,234.25,110667
2026-05-19,234.03,236.5,232.5,234.76,179861
2026-05-20,233.71,234.74,231.6275,233.14,145484
2026-05-21,230.2,230.2,226.975,229.78,132401
2026-05-22,229.73,230.5,228.59,229.69,142617
2026-05-26,229.41,229.69,226.05,226.39,168566
2026-05-27,227.03,230.225,227.03,228.79,136949
2026-05-28,229.48,229.48,227.955,228.13,80086
2026-05-29,226.97,227.44,223.5,223.75,196008
2026-06-01,222.27,222.99,220.5464,221.47,207194
2026-06-02,220.99,221.93,220.0,220.82,264641
2026-06-03,220.7,223.3155,220.595,222.17,137305
2026-06-04,225.51,226.0,221.487,221.91,153702
2026-06-05,223.54,228.22,223.185,225.75,215877
2026-06-08,224.54,226.27,224.54,225.19,119261
2026-06-09,225.29,228.9,225.13,227.52,147864
2026-06-10,228.97,231.65,228.34,231.33,188999
2026-06-11,231.55,232.5982,230.63,230.74,159879
2026-06-12,231.21,232.325,230.59,232.25,94028
2026-06-15,231.0,232.11,230.44,231.48,136953
2026-06-16,232.1,233.81,230.475,231.64,108174
2026-06-17,230.49,231.11,226.04,227.01,135314
2026-06-18,227.19,227.3,225.74,226.11,120744
2026-06-22,225.87,227.31,224.5,224.5,114636
2026-06-23,227.98,228.96,226.85,228.7,133024
2026-06-24,228.01,230.15,228.01,229.24,78612
2026-06-25,227.99,230.32,226.76,227.23,134318
2026-06-26,229.11,230.78,228.83,229.65,134886
2026-06-29,229.92,230.42,227.72,228.79,405549
2026-06-30,228.08,228.08,225.3,225.49,158376
2026-07-01,225.33,225.95,224.495,225.95,580987
2026-07-02,226.99,230.75,226.99,230.45,150952
2026-07-06,230.0,230.6,226.3,228.2,170148
2026-07-07,231.74,233.295,229.32,230.1,122675
2026-07-08,231.0,231.6,228.75,228.81,307549
2026-07-09,226.67,226.7201,225.13,225.6,164822
2026-07-10,225.95,228.2188,225.91,228.14,155981
2026-07-13,229.06,231.58,228.865,229.27,86609
2026-07-14,229.4,229.56,226.26,226.29,85032
2026-07-15,225.72,228.565,225.485,226.34,84138
2026-07-16,227.89,232.36,227.89,232.34,132059
2026-07-17,234.59,236.34,229.29,230.32,146039
