date,open,high,low,close,volume
2025-09-02,126.42,127.29,125.64,127.17,479394
2025-09-03,126.34,127.31,124.09,124.48,410131
2025-09-04,124.49,125.84,124.0,125.36,265859
2025-09-05,124.35,124.83,122.45,123.02,660395
2025-09-08,123.47,123.98,121.68,122.71,439962
2025-09-09,123.35,125.07,123.25,123.32,719747
2025-09-10,123.59,125.51,123.435,125.48,437077
2025-09-11,124.59,125.67,124.0781,125.46,471307
2025-09-12,125.87,126.5,124.675,124.7,466374
2025-09-15,124.87,125.19,124.12,124.33,410725
2025-09-16,124.66,126.75,124.66,126.49,647629
2025-09-17,126.33,127.66,125.845,126.7,335439
2025-09-18,126.84,127.0,125.39,126.38,342869
2025-09-19,126.14,126.14,124.31,124.63,388249
2025-09-22,124.12,125.22,123.7786,124.64,398989
2025-09-23,125.37,128.33,125.21,126.89,571330
2025-09-24,126.77,128.66,126.6965,127.44,328658
2025-09-25,127.36,128.6141,126.96,128.51,680137
2025-09-26,128.7,130.92,128.7,129.65,733754
2025-09-29,128.84,128.99,126.52,127.2,531393
2025-09-30,126.08,126.38,124.91,125.86,670411
2025-10-01,125.28,126.4678,125.195,126.05,312829
2025-10-02,125.74,126.783,124.625,124.72,405368
2025-10-03,125.405,126.25,125.32,125.57,357372
2025-10-06,126.115,126.895,125.7601,126.19,241047
2025-10-07,126.0,126.53,124.34,126.42,244639
2025-10-08,126.5,126.5,124.9132,125.92,171219
2025-10-09,126.1,127.2,123.94,124.07,565265
2025-10-10,123.24,123.9,120.32,120.37,486470
2025-10-13,121.5,122.4148,121.05,122.33,300523
2025-10-14,120.59,122.851,120.42,122.15,459364
2025-10-15,122.93,123.8,121.28,122.24,476713
2025-10-16,122.42,122.8,119.8399,120.61,506117
2025-10-17,121.01,121.67,120.56,121.36,273889
2025-10-20,122.055,123.0,121.43,122.71,305415
2025-10-21,122.94,123.22,121.8,122.31,353643
2025-10-22,122.96,124.255,121.98,123.77,308248
2025-10-23,125.58,126.47,124.82,125.73,600020
2025-10-24,126.21,126.31,124.54,124.6,252481
2025-10-27,125.02,125.38,124.4005,124.83,249121
2025-10-28,124.34,124.755,123.52,123.65,221080
2025-10-29,123.63,125.165,123.5,124.63,295378
2025-10-30,124.4,125.39,123.575,123.86,228982
2025-10-31,124.01,125.17,123.6,124.54,415713
2025-11-03,124.52,124.915,123.18,124.62,288457
2025-11-04,123.28,123.52,122.08,123.17,364131
2025-11-05,123.05,124.66,123.05,123.34,328204
2025-11-06,123.61,125.57,123.61,124.25,252458
2025-11-07,124.61,126.287,124.3,126.16,350882
2025-11-10,126.53,127.71,124.98,127.37,414509
2025-11-11,127.69,129.9,127.69,129.0,498889
2025-11-12,128.22,128.71,126.99,127.19,436358
2025-11-13,127.46,128.52,126.71,127.28,382851
2025-11-14,127.87,129.66,126.31,129.34,551201
2025-11-17,129.12,129.2,126.57,127.05,825886
2025-11-18,126.58,128.525,126.29,128.15,465343
2025-11-19,126.09,127.03,125.16,126.63,541186
