date,open,high,low,close,volume
2025-09-02,131.09,131.09,129.78,130.97,305046
2025-09-03,130.66,131.015,129.83,130.75,382739
2025-09-04,131.11,132.21,130.94,132.16,336610
2025-09-05,132.38,132.75,129.4,129.98,500226
2025-09-08,130.03,130.38,129.46,130.21,857511
2025-09-09,129.99,131.2368,129.99,130.69,275365
2025-09-10,130.44,130.94,129.81,130.29,335380
2025-09-11,130.36,132.4,130.36,132.29,646576
2025-09-12,132.02,132.34,131.52,131.66,1284812
2025-09-15,132.05,132.445,131.19,131.38,451553
2025-09-16,131.26,131.285,130.25,130.98,452834
2025-09-17,131.3,133.02,131.13,132.29,1169216
2025-09-18,132.5,133.5,132.22,132.71,316446
2025-09-19,132.88,133.2,132.16,132.78,476734
2025-09-22,132.09,132.74,131.88,132.58,621945
2025-09-23,132.53,133.8452,131.68,131.99,1159369
2025-09-24,131.78,131.99,130.8,131.01,199463
2025-09-25,130.53,131.19,130.12,130.68,482940
2025-09-26,131.27,132.1299,131.01,131.53,1004800
2025-09-29,132.06,132.07,131.1973,132.0,758196
2025-09-30,131.76,132.28,130.1,131.24,1028392
2025-10-01,130.67,131.0691,130.05,130.05,339543
2025-10-02,129.89,130.28,129.26,130.03,528884
2025-10-03,130.22,131.51,130.22,131.0,291720
2025-10-06,131.49,131.8885,129.96,130.86,462740
2025-10-07,131.49,131.77,130.47,130.95,345296
2025-10-08,131.41,131.41,130.07,130.41,340441
2025-10-09,130.55,131.05,129.56,129.87,366349
2025-10-10,130.24,130.77,126.87,126.88,1040799
2025-10-13,127.9,128.5377,127.42,128.19,318899
2025-10-14,127.54,130.7793,127.2718,129.9,502371
2025-10-15,130.55,131.02,128.79,129.6,744199
2025-10-16,129.3,129.3,125.23,125.75,822843
2025-10-17,126.07,127.23,125.73,126.82,502191
2025-10-20,127.28,128.7,127.2573,128.45,559487
2025-10-21,128.28,129.345,128.24,128.44,666712
2025-10-22,128.61,128.61,127.02,127.73,983914
2025-10-23,128.06,128.37,127.3701,127.98,423197
2025-10-24,128.76,129.8,128.74,129.41,377913
2025-10-27,130.02,130.25,129.7,129.91,304041
2025-10-28,129.95,130.06,129.0,129.12,467187
2025-10-29,127.94,128.14,126.4,126.87,1053706
2025-10-30,126.67,128.62,126.67,127.1,621580
2025-10-31,126.66,127.83,126.63,127.52,554205
2025-11-03,127.41,127.41,125.86,127.11,404788
2025-11-04,126.52,127.96,126.3,127.64,493175
2025-11-05,127.72,128.6801,127.08,128.16,396336
2025-11-06,128.05,128.41,127.04,127.58,458278
2025-11-07,127.26,128.58,126.7597,128.58,495830
2025-11-10,128.87,129.47,128.33,129.04,501349
2025-11-11,129.2,130.02,128.94,129.62,356486
2025-11-12,129.75,131.37,129.75,130.75,351061
2025-11-13,130.38,130.91,128.68,128.84,680521
2025-11-14,128.33,128.55,127.24,127.71,585040
2025-11-17,127.7,127.7,124.63,125.06,858405
2025-11-18,124.54,125.88,124.34,124.97,688040
2025-11-19,125.07,125.67,124.56,125.47,622437
2025-11-20,126.6,127.5,124.285,124.33,933723
