date,open,high,low,close,volume
2025-09-02,178.19,180.0,177.5,179.96,21884
2025-09-03,180.27,180.9499,178.94,179.75,12385
2025-09-04,179.72,181.36,179.6014,181.36,12986
2025-09-05,182.79,182.79,179.31,181.44,31210
2025-09-08,182.17,183.21,182.135,182.9647,20108
2025-09-09,182.98,183.4491,182.105,183.4491,10275
2025-09-10,185.0,185.445,183.665,184.14,20567
2025-09-11,184.74,186.968,184.74,186.8989,14403
2025-09-12,186.98,187.1926,185.97,186.26,16889
2025-09-15,186.95,187.3433,186.55,187.1466,19623
2025-09-16,187.46,187.46,185.5696,186.44,15324
2025-09-17,186.86,188.165,186.2,186.86,13361
2025-09-18,188.46,191.31,188.3695,191.02,18082
2025-09-19,191.61,192.2645,190.8205,191.38,18251
2025-09-22,191.37,193.2635,190.775,192.95,19785
2025-09-23,193.48,194.495,192.4698,192.8565,26981
2025-09-24,193.37,193.37,190.08,190.19,19226
2025-09-25,187.59,189.315,186.24,188.62,18374
2025-09-26,189.6,190.4852,188.85,190.32,13760
2025-09-29,192.17,192.17,190.86,191.49,12054
2025-09-30,191.415,192.13,189.83,191.5955,13994
2025-10-01,190.86,192.1192,190.51,191.8724,12099
2025-10-02,193.155,193.4115,191.7024,193.3977,13588
2025-10-03,194.34,195.1654,192.956,193.78,35775
2025-10-06,195.96,196.19,194.5437,195.09,24040
2025-10-07,195.62,195.82,192.295,194.37,26436
2025-10-08,195.14,196.1399,194.5515,195.79,13325
2025-10-09,196.15,196.63,194.2355,195.1911,12846
2025-10-10,195.99,196.4703,189.64,189.78,29861
2025-10-13,193.56,195.5844,193.42,195.36,20120
2025-10-14,193.19,198.71,191.56,197.17,26426
2025-10-15,199.76,200.57,195.8419,198.82,28463
2025-10-16,200.0,200.02,194.18,194.79,28287
2025-10-17,192.84,193.82,190.85,192.68,33956
2025-10-20,195.83,196.4921,195.205,196.2,19220
2025-10-21,195.95,195.95,194.0,194.89,22999
2025-10-22,193.94,194.2745,188.735,191.12,21328
2025-10-23,191.94,195.06,191.94,194.21,20480
2025-10-24,197.26,198.35,197.1427,197.23,29161
2025-10-27,199.28,199.36,197.74,198.25,35163
2025-10-28,198.37,198.5727,196.96,197.13,40843
2025-10-29,197.34,199.1499,195.57,197.23,22652
2025-10-30,195.46,197.37,194.93,194.93,13059
2025-10-31,196.29,197.51,194.54,196.68,22593
2025-11-03,197.68,197.68,194.71,195.67,23485
2025-11-04,191.52,193.47,190.19,190.26,29023
2025-11-05,191.19,194.2539,190.75,193.5176,22238
2025-11-06,192.88,192.88,188.17,188.67,41033
2025-11-07,186.56,189.78,184.1401,189.78,54354
2025-11-10,193.36,194.56,191.5926,193.3,28527
2025-11-11,193.04,193.04,191.0,192.31,20414
2025-11-12,193.69,194.005,191.73,192.26,18265
2025-11-13,190.88,190.88,183.9615,184.47,201375
2025-11-14,180.73,187.32,180.1,185.22,115323
2025-11-17,184.35,186.1424,180.87,182.21,43251
2025-11-18,180.69,183.5403,179.37,181.96,40441
2025-11-19,182.91,185.08,182.03,182.9082,16804
2025-11-20,187.29,187.98,176.8659,176.98,33754
2025-11-21,177.66,180.41,174.6131,179.18,30563
2025-11-24,180.8,185.2251,180.8,185.2251,14693
2025-11-25,185.05,187.71,182.75,187.54,37904
2025-11-26,188.86,191.26,188.815,190.3,22081
2025-11-28,191.01,192.425,191.01,192.3,16237
2025-12-01,189.92,190.86,188.91,188.94,32016
2025-12-02,190.63,191.74,189.1715,189.43,12213
2025-12-03,189.67,192.132,188.88,192.0697,31151
2025-12-04,191.89,195.25,191.585,195.07,25824
