date,open,high,low,close,volume
2025-09-02,12.91,13.03,12.48,13.0,5315282
2025-09-03,12.91,13.15,12.69,12.72,6620442
2025-09-04,12.72,13.08,12.65,12.87,3075367
2025-09-05,12.86,13.22,12.73,12.84,4724341
2025-09-08,12.91,13.58,12.91,13.56,9548169
2025-09-09,13.64,13.88,13.27,13.29,6724194
2025-09-10,13.31,14.08,13.31,13.97,10227170
2025-09-11,13.81,14.0,13.61,13.75,8913841
2025-09-12,13.75,13.825,13.51,13.6,5164735
2025-09-15,13.63,13.77,13.53,13.65,6115073
2025-09-16,13.69,14.1399,13.66,14.1,6591632
2025-09-17,14.03,14.28,13.775,13.95,7912622
2025-09-18,14.13,14.25,13.79,13.84,10305280
2025-09-19,13.82,13.8999,13.15,13.25,49649390
2025-09-22,13.22,14.22,13.22,14.22,10244020
2025-09-23,14.34,14.79,14.3,14.57,9064635
2025-09-24,14.81,15.025,14.51,14.53,7160775
2025-09-25,13.94,14.8,13.88,14.75,6233337
2025-09-26,14.78,15.3,14.73,14.83,6009976
2025-09-29,14.83,14.83,14.12,14.22,5736264
2025-09-30,14.01,14.52,13.98,14.19,5953703
2025-10-01,14.11,14.735,14.11,14.72,4612824
2025-10-02,14.69,14.82,13.75,13.78,5438219
2025-10-03,13.81,14.04,13.7207,13.95,4037337
2025-10-06,14.15,14.41,13.925,13.95,4706390
2025-10-07,13.8,13.875,12.82,12.9,8837028
2025-10-08,12.98,13.27,12.85,13.03,5071598
2025-10-09,13.03,13.32,12.46,12.58,7067060
2025-10-10,9.965,10.55,9.42,9.45,41868600
2025-10-13,9.86,9.86,9.03,9.04,14291800
2025-10-14,8.75,9.26,8.61,9.0,16555460
2025-10-15,9.1,9.605,9.09,9.14,11176150
2025-10-16,9.35,9.485,8.865,9.13,15853160
2025-10-17,9.09,9.17,8.79,8.88,10316780
2025-10-20,8.89,9.32,8.8,9.29,7250915
2025-10-21,9.26,9.8156,9.15,9.61,9375430
2025-10-22,9.59,9.67,9.22,9.54,8428417
2025-10-23,9.81,9.84,9.37,9.64,7462560
2025-10-24,9.84,9.87,9.43,9.49,4980224
2025-10-27,9.55,9.672,9.295,9.36,6920139
2025-10-28,9.3,9.5,9.28,9.39,5535135
2025-10-29,9.32,9.45,8.72,8.8,8762389
2025-10-30,8.71,8.9559,8.56,8.58,8249841
2025-10-31,8.6,8.785,8.54,8.57,6394428
2025-11-03,8.57,8.635,8.31,8.36,6125837
2025-11-04,8.22,8.25,7.77,7.97,8522299
2025-11-05,8.0,8.1099,7.715,7.75,9090204
2025-11-06,7.82,7.905,7.46,7.75,6879469
2025-11-07,7.75,8.03,7.6445,7.99,9330945
2025-11-10,8.96,9.03,7.77,8.49,18881540
2025-11-11,8.41,8.41,7.49,7.53,20569550
2025-11-12,7.81,8.16,7.69,8.13,10414030
2025-11-13,8.09,8.6,7.85,7.86,11234060
2025-11-14,7.8,8.24,7.785,7.98,5593044
2025-11-17,8.02,8.22,7.9,8.11,6464134
2025-11-18,8.02,8.1,7.77,7.9,7238555
2025-11-19,7.8,7.9,7.525,7.77,8581536
2025-11-20,7.77,7.985,7.125,7.15,9835291
2025-11-21,7.05,7.4665,6.93,7.25,11410820
2025-11-24,7.23,7.25,6.74,7.04,13398430
2025-11-25,6.91,6.96,6.72,6.89,7548915
2025-11-26,6.9,7.2676,6.85,7.13,6751522
2025-11-28,7.1,7.57,7.0645,7.46,4579383
2025-12-01,7.33,7.39,6.85,6.88,9832682
2025-12-02,6.92,6.97,6.6,6.63,15361610
2025-12-03,6.63,6.955,6.5,6.89,11615670
