date,open,high,low,close,volume
2025-09-02,85.4513,86.2512,85.0125,86.2262,4950992
2025-09-03,86.6412,86.8612,85.9887,86.6125,3955472
2025-09-04,86.5375,87.2163,86.038,87.1925,2381080
2025-09-05,87.995,88.0,86.3975,87.3487,2835000
2025-09-08,87.8225,88.305,87.8225,88.115,2410992
2025-09-09,88.25,88.3238,87.5625,88.2188,2799016
2025-09-10,89.6425,89.9182,88.9437,89.3662,3750808
2025-09-11,89.9412,90.11,89.5783,89.8462,3552048
2025-09-12,90.025,90.1815,89.75,89.9463,3714656
2025-09-15,90.1063,90.8287,89.9949,90.8287,3265456
2025-09-16,90.985,90.985,90.3631,90.5212,3315072
2025-09-17,90.4387,90.5459,89.23,90.1875,3436480
2025-09-18,91.3137,92.0225,90.9478,91.7887,4126872
2025-09-19,92.185,92.725,91.7985,92.6462,2749112
2025-09-22,92.4938,94.1988,92.3752,94.1437,5513344
2025-09-23,94.0438,94.1875,92.8625,93.1762,5918240
2025-09-24,93.36,93.36,91.8204,92.3825,3327696
2025-09-25,91.4038,92.34,90.7825,92.1038,3681056
2025-09-26,92.2062,92.4112,91.465,92.3375,3423584
2025-09-29,93.0113,93.435,92.7188,92.895,4015520
2025-09-30,92.885,93.385,92.6,93.3287,3553072
2025-10-01,92.9013,94.1088,92.8325,94.065,3445656
2025-10-02,95.0025,95.0625,94.2506,94.7488,3612944
2025-10-03,94.855,95.3538,94.0537,94.4587,3510920
2025-10-06,95.4556,95.7738,95.085,95.2725,4390576
2025-10-07,95.7613,95.86,93.84,94.3988,4089248
2025-10-08,94.6425,96.011,94.6425,96.0025,3750600
2025-10-09,96.0375,96.2,95.4389,95.955,3929824
2025-10-10,96.265,96.4479,91.9881,92.0413,9367672
2025-10-13,94.2237,94.6731,93.5883,94.4363,4733320
2025-10-14,93.1188,94.0869,92.0625,93.23,5322592
2025-10-15,94.57,94.8375,92.8463,94.0962,3563904
2025-10-16,94.6275,94.925,93.1575,93.7938,3780704
2025-10-17,93.1575,94.2284,92.6713,94.02,3244800
2025-10-20,94.61,95.5894,94.5438,95.2725,3604664
2025-10-21,95.1875,95.56,94.7113,95.1762,2721560
2025-10-22,95.0575,95.2825,92.8512,94.0512,4139952
2025-10-23,94.0475,95.46,94.0088,95.2825,2950632
2025-10-24,96.4137,97.05,96.31,96.7675,5260704
2025-10-27,98.145,98.5438,97.9525,98.5012,4771720
2025-10-28,99.0825,99.8915,98.695,99.5175,4771888
2025-10-29,100.42,100.8738,99.4963,100.19,5081800
2025-10-30,99.5088,99.9519,98.8239,98.8688,3943328
2025-10-31,100.0625,100.065,98.5713,99.1513,3932704
2025-11-03,100.1763,100.2813,99.0,99.4938,4188816
2025-11-04,97.7015,98.34,96.665,96.8063,5288176
2025-11-05,96.7825,98.0475,96.5838,97.2075,4642048
2025-11-06,97.2581,97.3367,94.8263,95.3,5976992
2025-11-07,94.3888,95.1713,92.825,95.1713,5781312
2025-11-10,96.9587,97.7375,96.32,97.5463,4790312
2025-11-11,96.8875,97.025,96.0113,96.6625,3946136
2025-11-12,97.4063,97.4063,96.23,96.7712,2886632
2025-11-13,96.25,96.25,93.5637,94.045,5619520
2025-11-14,92.2831,95.375,91.9437,94.5325,6139496
2025-11-17,93.5888,94.5818,92.2062,92.9625,4692824
2025-11-18,92.1762,92.5675,90.6925,91.5738,5809752
2025-11-19,91.695,93.2837,91.375,92.1963,4179688
2025-11-20,94.44,94.75,89.2256,89.4625,9250680
2025-11-21,89.5625,91.0613,87.87,89.8612,8729760
2025-11-24,90.5106,92.3112,90.4112,92.1188,5136360
2025-11-25,91.25,92.6088,89.975,92.4013,4708968
2025-11-26,93.2837,93.8125,92.6794,93.3662,2914840
2025-11-28,93.5987,94.0362,93.3263,94.025,1737688
2025-12-01,93.1137,94.3144,92.7938,93.9862,3324816
2025-12-02,94.645,95.6109,94.3861,94.9638,5298888
2025-12-03,94.5362,95.2337,94.0387,95.14,3022888
2025-12-04,95.2825,95.75,94.8531,95.5812,3091232
2025-12-05,95.9262,96.5212,95.5625,95.9963,2866400
2025-12-08,96.52,97.2188,96.3225,96.835,3098296
2025-12-09,96.625,97.2638,96.405,97.045,2296400
2025-12-10,96.845,97.705,96.25,97.395,3363008
2025-12-11,96.4562,97.0991,95.205,97.0425,4366104
2025-12-12,96.4363,96.5056,94.0075,94.2412,5752104
2025-12-15,94.8637,95.025,93.0274,93.1887,3850120
2025-12-16,92.875,93.5787,92.5687,93.335,3084448
2025-12-17,93.4137,93.4281,91.2725,91.3025,4332080
2025-12-18,93.0187,93.2402,92.1252,92.5775,3403144
2025-12-19,93.2813,94.5113,93.2449,94.4425,4752440
2025-12-22,95.5888,95.5894,94.8169,95.0975,3510160
2025-12-23,94.76,95.635,94.5625,95.6287,2706760
2025-12-24,95.48,95.9,95.4225,95.79,1401608
2025-12-26,95.9688,96.1625,95.6863,95.8962,2635688
2025-12-29,95.1713,95.77,94.9475,95.3875,8392080
2025-12-30,95.3875,95.68,95.1112,95.1112,2807016
2025-12-31,95.2837,95.395,94.1737,94.2225,3168448
2026-01-02,95.24,95.8863,93.915,94.4975,4808608
2026-01-05,95.555,95.75,94.4275,94.6775,5078240
2026-01-06,95.105,95.87,94.6375,95.8113,4504336
2026-01-07,95.725,96.26,95.4338,95.7625,4481824
2026-01-08,95.34,95.34,93.7813,94.3512,4573216
2026-01-09,94.4225,95.51,93.9975,95.245,4109832
2026-01-12,94.625,96.02,94.5062,95.6887,4642392
2026-01-13,95.69,96.1462,95.1243,95.5512,4013968
2026-01-14,95.0025,95.1863,93.5863,94.41,5286168
2026-01-15,95.8213,96.1237,94.7987,94.9188,5040024
2026-01-16,95.57,95.6925,94.6213,94.8688,3213296
2026-01-20,93.125,93.8125,92.1887,92.3363,7499080
2026-01-21,92.9213,94.3225,92.25,93.575,5095448
2026-01-22,94.7425,94.815,93.8419,94.2813,3702656
2026-01-23,94.195,94.8225,93.6675,94.3738,3481280
2026-01-26,94.5113,95.4213,94.2913,95.0537,3166400
2026-01-27,95.8006,96.5375,95.56,96.2375,3556480
2026-01-28,97.0113,97.2938,96.4375,96.8975,3789208
