date,open,high,low,close,volume
2025-09-02,254.19,256.15,253.96,255.65,277377
2025-09-03,255.02,256.47,253.47,254.73,220818
2025-09-04,254.56,255.74,253.44,255.72,206078
2025-09-05,255.72,257.595,255.705,257.0,194374
2025-09-08,256.5,256.8699,254.25,256.73,224910
2025-09-09,257.18,258.67,256.56,258.21,182379
2025-09-10,257.65,257.65,254.7301,255.59,177551
2025-09-11,256.51,260.53,256.37,259.95,216876
2025-09-12,259.18,259.77,256.92,256.92,161387
2025-09-15,257.23,257.605,254.36,254.71,563917
2025-09-16,254.56,255.55,254.1,254.81,211471
2025-09-17,255.4,257.66,254.58,255.26,308164
2025-09-18,255.5,256.9,255.47,256.58,211590
2025-09-19,257.14,257.14,255.85,255.85,186784
2025-09-22,255.31,257.1451,254.63,256.13,239422
2025-09-23,255.49,257.5,255.49,256.45,190156
2025-09-24,255.37,255.665,254.01,254.39,212559
2025-09-25,253.82,253.82,249.57,250.29,362866
2025-09-26,251.89,253.3,251.2391,253.2,368291
2025-09-29,253.52,254.09,251.9,253.95,237382
2025-09-30,253.68,260.01,253.68,259.6,335388
2025-10-01,260.86,267.25,260.42,266.69,369093
2025-10-02,264.75,266.81,264.75,266.54,389176
2025-10-03,267.3,271.86,267.3,269.57,494233
2025-10-06,269.77,270.0,268.19,268.47,720848
2025-10-07,268.47,269.0,267.16,268.56,152360
2025-10-08,269.18,270.15,268.3331,269.31,129216
2025-10-09,269.99,270.8399,268.54,269.0,127442
2025-10-10,269.86,269.86,264.4111,264.73,135539
2025-10-13,264.63,266.31,264.14,264.7,176699
2025-10-14,263.49,266.4599,263.0,265.41,135546
2025-10-15,265.09,267.61,264.3509,266.48,124406
2025-10-16,267.32,268.81,265.43,266.17,230307
2025-10-17,264.93,267.87,264.73,267.5,184699
2025-10-20,268.46,271.16,268.46,270.68,122473
2025-10-21,271.2,272.18,269.85,271.0,337614
2025-10-22,272.53,273.32,271.565,271.96,237292
2025-10-23,271.53,273.02,271.14,272.45,159676
2025-10-24,273.05,273.92,272.53,272.65,109798
2025-10-27,272.84,273.88,271.8631,273.77,142083
2025-10-28,274.0,274.0,271.6021,271.96,273864
2025-10-29,271.56,272.2764,268.67,269.57,205738
2025-10-30,269.19,272.025,269.0538,269.91,260085
2025-10-31,268.19,270.74,267.65,270.38,178930
2025-11-03,269.77,270.6025,266.955,270.13,235720
2025-11-04,268.59,272.13,268.395,270.8,194026
2025-11-05,270.17,273.23,269.78,272.16,249337
2025-11-06,271.44,272.68,270.61,272.22,167093
2025-11-07,271.83,272.67,269.78,272.67,147530
2025-11-10,272.05,275.07,272.05,274.79,165267
2025-11-11,275.27,281.32,275.27,281.28,214055
2025-11-12,281.49,285.19,281.26,284.5,239743
2025-11-13,283.48,287.05,282.57,283.75,310836
2025-11-14,282.29,284.39,280.948,282.54,234768
2025-11-17,281.72,285.31,281.34,282.25,586867
2025-11-18,282.22,285.01,281.66,283.9,314530
2025-11-19,283.64,284.3198,282.1201,283.56,225273
2025-11-20,284.18,285.96,281.495,281.77,420802
2025-11-21,282.39,289.75,282.17,287.78,383557
2025-11-24,288.83,291.03,288.07,289.89,247647
2025-11-25,290.81,296.2125,290.81,296.03,410723
2025-11-26,295.58,296.51,295.28,295.79,218665
2025-11-28,295.63,295.63,293.6902,294.53,239231
2025-12-01,293.38,294.6,289.97,290.22,475760
2025-12-02,290.2,290.52,288.09,288.3,306923
2025-12-03,288.83,290.78,288.83,289.94,215587
2025-12-04,289.8,289.9,287.495,288.33,338438
2025-12-05,289.18,289.51,286.745,287.2,194922
2025-12-08,287.59,287.785,283.72,284.05,188786
2025-12-09,284.9,286.035,281.0,281.11,277472
2025-12-10,281.95,284.955,281.055,284.75,356507
2025-12-11,285.7,288.36,285.0,287.29,209637
2025-12-12,287.56,288.84,286.796,287.9,211310
2025-12-15,288.79,291.41,288.65,291.12,287113
2025-12-16,290.85,290.96,285.89,287.72,315231
2025-12-17,286.08,287.3275,285.05,285.2,189268
2025-12-18,285.08,287.52,284.75,285.08,216512
2025-12-19,285.17,288.839,285.17,287.45,384328
2025-12-22,287.55,289.91,286.9,289.79,293165
2025-12-23,288.77,290.29,288.35,289.02,145921
2025-12-24,289.23,290.71,289.23,290.45,156254
2025-12-26,290.45,290.79,289.53,290.7,148887
2025-12-29,290.49,291.3499,289.745,289.99,1292441
2025-12-30,289.72,290.16,288.565,289.46,157973
2025-12-31,289.06,289.46,287.72,287.85,129718
2026-01-02,288.07,288.92,285.73,288.75,230179
2026-01-05,287.05,288.565,284.38,288.32,299323
2026-01-06,288.54,294.32,288.54,293.91,468100
2026-01-07,295.0,298.6068,294.87,297.26,311333
2026-01-08,296.51,298.43,293.144,294.29,225096
2026-01-09,294.99,295.86,292.85,292.97,378494
2026-01-12,292.66,293.0,290.0,292.57,227765
2026-01-13,293.04,293.04,289.4,291.37,207621
2026-01-14,291.36,293.64,290.93,293.52,182959
2026-01-15,292.67,293.2,289.35,291.96,198780
2026-01-16,291.62,292.0,289.7,289.71,173640
2026-01-20,286.33,290.02,284.84,289.36,253084
2026-01-21,289.12,294.765,289.12,294.37,257343
2026-01-22,293.92,296.59,293.32,294.94,218852
2026-01-23,294.47,295.0,291.5491,292.73,272913
2026-01-26,292.46,294.244,291.33,293.87,261853
2026-01-27,290.09,292.269,288.9,289.51,344757
2026-01-28,288.01,288.93,285.81,286.84,224326
2026-01-29,286.61,287.57,285.435,286.08,181541
2026-01-30,286.67,287.78,284.77,287.28,171814
2026-02-02,286.23,289.43,286.23,289.01,213269
2026-02-03,287.66,291.66,285.66,286.34,321167
2026-02-04,287.83,290.05,286.31,288.85,396420
2026-02-05,287.65,290.55,285.71,285.92,189270
2026-02-06,288.36,291.45,288.36,291.2,124494
2026-02-09,290.98,291.89,288.31,288.95,224483
2026-02-10,289.49,290.325,287.34,287.56,177823
2026-02-11,287.31,289.04,285.59,288.78,231568
2026-02-12,288.86,290.33,287.14,287.81,189584
2026-02-13,288.75,292.7737,288.34,290.39,176693
2026-02-17,290.6,292.95,290.0,290.6,197841
2026-02-18,290.42,291.6,289.25,291.42,186752
2026-02-19,290.53,291.11,288.81,290.87,423935
2026-02-20,290.23,290.485,288.23,289.9,208852
2026-02-23,290.6,293.185,290.3,292.72,295382
2026-02-24,292.0,292.84,290.77,291.93,233168
2026-02-25,292.12,294.5,291.545,291.88,345461
2026-02-26,292.02,292.06,288.55,291.42,237304
2026-02-27,289.82,295.6408,289.81,295.51,154369
2026-03-02,293.39,294.47,291.62,292.69,273729
2026-03-03,289.05,290.57,285.85,289.44,247147
2026-03-04,289.53,291.13,287.55,290.24,224679
2026-03-05,287.165,287.47,282.33,284.57,219153
2026-03-06,282.34,282.63,279.185,282.15,270983
2026-03-09,280.45,285.83,279.39,285.32,158348
2026-03-10,285.58,286.05,282.94,283.48,146918
2026-03-11,283.07,283.44,281.23,282.75,154072
2026-03-12,281.13,281.6,277.0,277.21,288002
2026-03-13,278.7,281.0,276.305,276.67,174533
2026-03-16,278.08,280.34,278.0,278.96,210985
2026-03-17,279.81,280.73,276.98,277.13,179631
2026-03-18,275.81,275.81,272.385,272.57,276984
2026-03-19,272.12,273.995,271.08,271.9,168437
2026-03-20,271.5,272.25,267.94,269.03,232148
2026-03-23,272.35,272.712,269.21,269.45,226164
2026-03-24,267.05,269.17,265.73,268.25,240178
2026-03-25,270.31,272.09,269.79,271.52,138213
2026-03-26,270.01,272.66,269.78,270.42,266261
2026-03-27,270.08,270.42,264.97,265.36,180160
2026-03-30,267.12,267.8,265.615,266.36,124942
2026-03-31,268.28,272.68,268.28,272.33,120336
2026-04-01,274.095,276.3691,273.36,274.5,353018
2026-04-02,272.22,275.71,271.65,273.07,109216
