date,open,high,low,close,volume
2025-09-02,27.0,27.515,26.13,27.49,4698546
2025-09-03,27.13,28.26,26.52,26.83,4837859
2025-09-04,26.55,27.04,25.89,26.53,4214450
2025-09-05,26.48,27.29,25.77,26.98,5246508
2025-09-08,26.72,26.84,25.33,25.48,6218402
2025-09-09,25.26,25.43,24.92,25.27,3914900
2025-09-10,25.46,26.04,24.82,25.87,6075821
2025-09-11,25.85,26.5,25.63,25.74,4336481
2025-09-12,25.88,25.89,24.8,24.81,4060154
2025-09-15,24.71,24.95,23.84,24.085,6852665
2025-09-16,24.125,24.16,23.53,23.69,4293898
2025-09-17,23.61,24.135,22.959,23.09,5022072
2025-09-18,23.41,26.12,23.06,26.04,8307562
2025-09-19,26.12,26.4288,25.16,25.4,7276845
2025-09-22,25.35,27.485,24.52,26.25,7868503
2025-09-23,26.45,26.635,24.95,24.97,4690830
2025-09-24,25.07,26.96,24.78,26.63,5493008
2025-09-25,26.4,26.4,25.055,25.09,4330516
2025-09-26,25.24,25.65,24.88,25.57,3709847
2025-09-29,25.55,26.46,25.29,25.81,3986285
2025-09-30,25.72,26.55,25.04,26.28,5009322
2025-10-01,26.35,27.4,26.17,27.37,4690297
2025-10-02,27.66,27.9,27.09,27.88,3501702
2025-10-03,28.23,29.8496,28.095,29.72,5358807
2025-10-06,30.55,32.64,30.5,32.28,7245430
2025-10-07,32.5,32.86,31.33,31.535,5149295
2025-10-08,31.93,34.305,31.66,32.37,5980033
2025-10-09,33.53,35.45,33.4,34.98,7168943
2025-10-10,35.75,35.925,33.17,33.56,6652990
2025-10-13,34.02,34.4141,33.12,33.91,3534520
2025-10-14,32.868,34.09,32.21,33.05,3093844
2025-10-15,33.62,35.66,33.62,35.12,5327712
2025-10-16,35.55,36.8,34.16,34.73,4498994
2025-10-17,32.9,34.89,32.76,33.535,4043584
2025-10-20,34.55,34.92,33.53,33.75,3285349
2025-10-21,33.78,34.0,32.285,32.98,2880107
2025-10-22,32.63,32.99,30.85,31.42,4293141
2025-10-23,35.44,36.11,33.2,33.92,8628575
2025-10-24,35.0,35.25,33.0,34.42,4386389
2025-10-27,34.93,35.95,33.75,35.93,3921558
2025-10-28,35.77,36.0399,34.61,34.93,2771085
2025-10-29,35.19,36.45,34.84,35.22,3894501
2025-10-30,36.55,39.57,36.5,38.17,7867264
2025-10-31,38.5,38.88,36.9405,38.08,3604069
2025-11-03,38.11,38.72,35.51,36.0,3899004
2025-11-04,36.74,38.0,34.615,34.63,6399840
2025-11-05,34.565,37.19,34.15,36.47,3822532
2025-11-06,36.01,38.02,35.62,37.27,5240034
2025-11-07,35.86,37.5,34.67,36.77,4647818
2025-11-10,38.228,38.77,36.49,37.77,4018530
2025-11-11,37.66,40.69,37.06,40.6,5497614
2025-11-12,42.215,43.15,40.0,40.78,5670971
2025-11-13,40.5,40.8834,38.4,39.0,3826563
2025-11-14,37.26,40.3,37.24,39.11,3432305
2025-11-17,38.07,38.75,36.86,38.22,3751019
2025-11-18,37.125,38.335,36.66,37.76,3493715
2025-11-19,38.05,38.12,35.39,36.04,4622787
2025-11-20,37.02,37.37,34.19,34.27,3751519
2025-11-21,34.03,34.93,32.9,34.26,2852239
2025-11-24,34.3,34.86,33.3539,34.65,2592012
2025-11-25,34.54,35.51,33.44,35.46,2234811
2025-11-26,35.65,36.5799,35.42,36.27,2461298
2025-11-28,36.45,36.83,36.0801,36.81,1187030
