date,open,high,low,close,volume
2025-09-02,37.3,38.07,37.23,37.92,2290146
2025-09-03,37.81,39.39,37.61,39.33,2676698
2025-09-04,39.35,40.35,39.35,39.89,2439083
2025-09-05,40.5,41.37,40.16,41.29,2848685
2025-09-08,40.31,40.72,39.67,40.68,2099122
2025-09-09,40.52,40.71,39.69,39.9,1235073
2025-09-10,39.88,40.44,39.68,40.44,1180731
2025-09-11,40.7,42.1,40.62,42.01,1371214
2025-09-12,42.72,43.23,42.3205,42.97,1637117
2025-09-15,42.9,43.37,41.6273,42.07,2145090
2025-09-16,42.02,42.325,41.7,42.19,2420577
2025-09-17,42.17,42.5,41.06,41.2,2200790
2025-09-18,41.45,42.26,41.155,41.92,1094736
2025-09-19,41.93,42.005,41.315,41.69,6274347
2025-09-22,41.18,41.98,41.14,41.7,1440109
2025-09-23,41.77,42.17,41.45,41.71,1379268
2025-09-24,41.55,41.55,40.73,40.92,971846
2025-09-25,40.41,40.8,40.02,40.39,1070133
2025-09-26,40.44,40.51,39.73,40.27,1213704
2025-09-29,40.5,40.95,40.12,40.39,1194816
2025-09-30,40.3,40.61,39.93,40.53,877775
2025-10-01,40.5,41.25,40.5,41.22,980603
2025-10-02,41.27,41.59,40.85,41.06,1030041
2025-10-03,41.07,41.67,40.85,41.02,1016363
2025-10-06,41.13,41.85,40.86,41.24,1468293
2025-10-07,41.26,41.61,40.515,40.55,940797
2025-10-08,40.59,40.92,40.2,40.3,1260169
2025-10-09,40.39,40.465,39.09,39.5,866974
2025-10-10,39.58,39.62,37.945,37.97,1292809
2025-10-13,38.41,38.995,38.245,38.92,851057
2025-10-14,38.78,39.94,38.6,39.79,864161
2025-10-15,40.18,40.995,39.7,40.36,1101828
2025-10-16,40.63,40.9,39.095,39.5,1936892
2025-10-17,39.29,39.605,38.79,39.22,1419917
2025-10-20,39.47,39.78,38.16,38.28,881400
2025-10-21,38.37,39.45,38.28,39.15,753943
2025-10-22,39.33,39.77,39.05,39.67,838762
2025-10-23,39.64,39.67,38.88,39.32,615946
2025-10-24,39.64,39.865,39.2501,39.38,619028
2025-10-27,39.65,39.65,38.59,39.17,1122282
2025-10-28,39.22,39.978,38.54,39.28,1429782
2025-10-29,38.96,39.35,37.21,37.64,1847491
2025-10-30,37.41,38.01,37.38,37.42,891025
2025-10-31,37.29,38.19,37.115,37.94,1336195
2025-11-03,37.54,38.24,36.88,37.72,2242563
2025-11-04,37.51,37.73,35.27,35.86,2896653
2025-11-05,35.86,35.9899,33.81,35.55,4441320
2025-11-06,35.69,35.92,35.255,35.62,1594044
2025-11-07,35.55,37.24,35.46,37.21,1809516
2025-11-10,37.28,37.29,36.02,36.26,1056851
2025-11-11,36.43,37.0,36.155,36.31,916598
2025-11-12,36.14,36.74,35.34,35.37,2083626
2025-11-13,35.16,35.31,34.55,34.72,1027558
2025-11-14,34.83,34.83,34.27,34.46,1436889
2025-11-17,34.21,34.45,32.76,33.09,2018711
2025-11-18,32.95,33.35,32.605,33.29,1835524
2025-11-19,33.38,34.24,33.12,34.03,1987299
2025-11-20,34.33,34.9,32.97,33.02,1375955
2025-11-21,33.26,33.915,32.9,33.84,1317192
2025-11-24,34.37,35.26,34.26,34.95,1697673
2025-11-25,35.03,37.285,34.98,37.16,2438148
2025-11-26,37.01,37.505,36.653,36.82,1151828
2025-11-28,36.62,36.945,36.44,36.82,458026
2025-12-01,36.39,37.13,35.87,36.73,967652
2025-12-02,37.0,37.2,36.34,36.49,822473
2025-12-03,36.47,36.74,35.73,35.97,834625
2025-12-04,36.03,36.15,35.37,35.45,927366
2025-12-05,35.45,35.65,34.2,34.82,2596457
2025-12-08,34.62,34.895,33.9,34.08,1752655
2025-12-09,34.23,35.11,33.82,34.52,1332738
2025-12-10,34.52,35.59,34.52,35.22,2371072
2025-12-11,35.47,35.735,34.265,35.05,1457508
2025-12-12,35.27,35.35,34.785,35.35,1378667
2025-12-15,35.55,35.68,34.65,34.79,1455862
2025-12-16,34.87,35.05,34.105,34.46,1672882
2025-12-17,34.52,34.87,33.79,34.2,1463768
2025-12-18,33.88,34.08,33.525,33.56,1431571
2025-12-19,33.43,33.65,33.105,33.37,3400508
2025-12-22,33.17,33.5,32.92,33.4,1221378
2025-12-23,33.3,33.37,32.86,33.01,1111594
2025-12-24,32.98,33.815,32.67,33.65,628580
2025-12-26,33.66,33.79,33.455,33.65,757419
2025-12-29,33.67,33.84,33.37,33.54,943655
2025-12-30,33.46,33.78,33.38,33.69,983518
2025-12-31,33.71,33.85,33.14,33.28,1214085
2026-01-02,33.25,33.7,32.89,33.45,742193
2026-01-05,33.03,33.85,33.03,33.47,1084460
2026-01-06,33.35,34.39,33.3,34.33,923168
2026-01-07,34.49,34.78,33.38,33.64,1494883
2026-01-08,33.3,34.81,33.3,34.61,1207062
2026-01-09,34.58,34.83,34.2,34.51,1152022
2026-01-12,34.29,34.455,33.95,34.25,1281728
2026-01-13,34.34,34.62,33.735,33.74,1255515
2026-01-14,33.61,33.94,33.27,33.59,834442
2026-01-15,33.57,34.16,33.23,33.64,1111417
2026-01-16,33.69,34.16,33.39,33.65,1400206
2026-01-20,33.0,33.05,32.405,32.69,1715488
2026-01-21,32.93,33.34,32.61,32.97,1854744
2026-01-22,33.4,33.68,32.41,32.5,1703591
2026-01-23,32.19,32.42,31.89,32.14,1294290
2026-01-26,32.14,32.32,31.765,31.84,1103520
2026-01-27,31.55,32.205,31.55,32.09,1354674
2026-01-28,32.27,32.34,31.0,31.2,1333099
2026-01-29,31.43,31.79,30.975,31.79,2090360
2026-01-30,31.36,31.96,31.34,31.88,1759421
2026-02-02,32.07,32.64,30.7,30.8,1947951
2026-02-03,30.63,31.45,30.21,30.43,2119168
2026-02-04,30.69,31.21,30.46,30.57,1929720
2026-02-05,30.61,30.79,30.12,30.46,1385315
2026-02-06,30.59,31.43,30.585,31.27,1640997
2026-02-09,30.97,31.24,30.62,30.99,2231974
2026-02-10,31.28,32.26,30.65,31.84,2879989
2026-02-11,31.94,32.98,30.23,30.25,5341594
2026-02-12,30.61,30.86,28.08,29.35,5295026
2026-02-13,29.58,30.53,29.25,29.89,3759232
2026-02-17,29.92,30.04,28.54,29.02,2994123
2026-02-18,28.95,30.14,28.95,29.73,3253256
2026-02-19,29.46,29.61,29.02,29.38,1813785
2026-02-20,29.29,29.63,28.72,29.07,1918549
2026-02-23,29.12,29.17,27.86,28.05,2009354
2026-02-24,27.97,28.395,27.76,27.9,1503392
2026-02-25,28.21,28.8,27.84,28.62,1437587
2026-02-26,28.48,29.33,28.22,29.18,1950271
2026-02-27,28.82,28.85,27.45,27.58,2579654
2026-03-02,27.2,27.45,26.825,27.38,2098007
2026-03-03,26.64,27.95,25.71,27.52,2472810
2026-03-04,27.85,28.59,27.47,28.54,1588538
2026-03-05,28.37,28.75,28.01,28.31,2260716
2026-03-06,27.82,27.935,26.85,26.94,2078905
2026-03-09,26.46,27.28,25.8,26.99,1750478
2026-03-10,27.32,27.32,26.34,26.51,1567788
2026-03-11,26.53,26.53,25.74,26.37,2296998
2026-03-12,25.97,26.32,25.28,26.04,2590952
2026-03-13,26.41,26.9599,25.84,25.95,1725314
2026-03-16,26.27,26.52,25.38,25.4,2484670
2026-03-17,26.08,26.56,25.96,26.04,3071597
2026-03-18,25.76,26.77,25.75,26.42,3139989
2026-03-19,26.05,26.61,25.63,26.48,2479480
2026-03-20,26.58,26.58,25.33,25.41,6058641
2026-03-23,26.17,26.8,25.88,26.02,2686030
2026-03-24,25.75,26.5,25.62,26.12,3822261
2026-03-25,26.34,26.58,25.765,25.98,2578023
2026-03-26,25.78,26.275,25.52,25.67,1734158
2026-03-27,25.38,25.475,24.57,24.71,1757675
2026-03-30,25.02,25.59,24.665,25.18,1533121
2026-03-31,25.77,26.635,25.43,25.99,2465914
2026-04-01,26.45,26.45,25.53,25.57,2375008
2026-04-02,25.19,26.085,24.93,25.35,1702593
2026-04-06,25.37,25.73,25.2,25.53,1525827
2026-04-07,25.37,26.11,25.37,26.03,1843519
2026-04-08,27.19,27.58,26.84,27.12,3304406
2026-04-09,26.83,27.17,26.04,26.79,1600908
2026-04-10,26.92,27.31,26.86,27.16,1377216
2026-04-13,26.93,27.63,26.77,27.54,1510055
2026-04-14,27.62,28.19,27.535,27.97,1875980
2026-04-15,28.04,28.63,27.79,28.57,2102906
2026-04-16,28.65,29.17,28.1,28.39,1991954
2026-04-17,28.82,29.44,28.54,29.28,1388590
2026-04-20,29.03,29.595,29.0,29.58,1140385
2026-04-21,29.52,29.73,28.83,29.06,1405563
2026-04-22,29.29,29.505,28.94,29.19,1776499
