date,open,high,low,close,volume
2025-09-02,67.9867,68.4917,67.715,68.475,1320678
2025-09-03,68.975,69.305,68.7463,69.1733,871428
2025-09-04,69.2867,69.8267,69.0933,69.8033,1004046
2025-09-05,70.355,70.355,69.1667,69.7183,1400400
2025-09-08,70.0417,70.3431,70.0417,70.1683,1038276
2025-09-09,70.215,70.4458,69.8633,70.425,1166550
2025-09-10,71.195,71.45,70.8642,71.1,1167450
2025-09-11,71.4067,71.535,71.1233,71.4517,1084920
2025-09-12,71.5,71.7029,71.3775,71.5467,947472
2025-09-15,71.8567,72.2408,71.8567,72.2283,1637778
2025-09-16,72.3167,72.3167,71.9633,72.0783,1077222
2025-09-17,71.9867,72.0748,71.0833,71.7233,1636590
2025-09-18,72.19,72.545,71.96,72.1867,1376772
2025-09-19,72.5033,72.7754,72.295,72.72,1284510
2025-09-22,72.5617,73.283,72.51,73.2317,1266048
2025-09-23,73.2108,73.2117,72.32,72.4833,1472664
2025-09-24,72.5917,72.6567,71.8033,72.0983,1140120
2025-09-25,71.5683,71.9367,71.0733,71.6467,1363956
2025-09-26,71.855,72.0247,71.4333,72.0017,1137876
2025-09-29,72.3583,72.61,72.0538,72.255,1026774
2025-09-30,72.225,72.6041,71.9675,72.5767,1038576
2025-10-01,72.16,72.9917,72.0833,72.875,1230822
2025-10-02,73.2933,73.33,72.7267,72.9983,1070562
2025-10-03,73.0917,73.2033,72.5417,72.855,1181658
2025-10-06,72.8617,73.2466,72.716,73.1033,1226508
2025-10-07,73.225,73.2996,72.4875,72.7317,1167540
2025-10-08,72.8717,73.3467,72.8717,73.3467,1326768
2025-10-09,73.495,73.495,73.1042,73.4033,944640
2025-10-10,73.4783,73.7462,71.0867,71.165,2908085
2025-10-13,72.2583,72.7,72.0604,72.595,1291854
2025-10-14,71.7767,72.5883,71.0433,71.95,1262790
2025-10-15,72.75,73.0212,71.6667,72.3483,1174008
2025-10-16,72.6733,72.9478,71.51,72.0067,1340172
2025-10-17,71.67,72.4717,71.49,72.3783,859884
2025-10-20,72.6483,73.1182,72.6483,73.0117,801930
2025-10-21,73.005,73.0567,72.7217,72.8267,838758
2025-10-22,72.9967,73.06,71.8333,72.4967,1219290
2025-10-23,72.3833,73.1299,72.3833,73.0333,838878
2025-10-24,73.5567,73.94,73.515,73.7267,954066
2025-10-27,74.5983,74.955,74.4833,74.925,1632534
2025-10-28,75.2283,75.73,75.0,75.47,1126968
2025-10-29,75.8617,76.1183,75.2889,75.91,1305150
2025-10-30,75.5017,75.62,74.781,74.7883,1223676
2025-10-31,75.6,75.6108,74.7333,75.0333,1064172
2025-11-03,75.6283,75.6665,75.1425,75.365,1324926
2025-11-04,74.345,74.805,73.9567,74.0633,1258932
2025-11-05,74.0067,74.845,73.8333,74.265,881736
2025-11-06,74.265,74.2867,72.97,73.1933,1374720
2025-11-07,72.76,73.0867,71.6817,73.055,1793250
2025-11-10,74.1,74.8675,73.9533,74.7533,1471716
2025-11-11,74.3467,74.595,73.9981,74.5133,901872
2025-11-12,74.8333,74.8333,73.9667,74.335,918846
2025-11-13,73.8733,73.92,72.4283,72.6967,1604208
2025-11-14,71.6167,73.2025,71.3583,72.755,1338762
2025-11-17,72.48,73.1808,71.7217,72.1683,1027170
2025-11-18,71.7133,72.0317,70.8167,71.3367,1763052
2025-11-19,71.58,72.635,71.425,72.0367,1388838
2025-11-20,73.62,73.9417,70.6667,70.7667,2026974
2025-11-21,71.065,72.015,70.1483,71.1967,1321068
2025-11-24,71.845,73.0533,71.8342,72.9383,1476024
2025-11-25,72.8167,73.6483,72.045,73.4733,1336164
2025-11-26,73.9417,74.2067,73.6333,74.0,995520
2025-11-28,74.1667,74.32,74.0221,74.32,489690
2025-12-01,73.6783,74.2733,73.5783,73.9133,1385322
2025-12-02,74.2017,74.5892,73.9083,74.1833,1841472
2025-12-03,74.0033,74.4783,73.76,74.3233,1090158
2025-12-04,74.715,74.715,74.215,74.6,926754
2025-12-05,74.78,75.1242,74.6333,74.845,1125756
2025-12-08,74.9717,75.0833,74.325,74.57,1509684
2025-12-09,74.485,74.7606,74.329,74.595,840570
2025-12-10,74.52,75.0433,74.2183,74.8817,1180218
2025-12-11,74.4017,74.8417,73.8417,74.8117,1057596
2025-12-12,74.5517,74.66,73.195,73.5667,2021058
2025-12-15,74.0533,74.075,73.17,73.3583,1071270
2025-12-16,73.1667,73.65,72.8883,73.4733,1044228
2025-12-17,73.55,73.55,72.0667,72.1017,1076346
2025-12-18,72.9517,73.3833,72.6717,72.9517,1049106
2025-12-19,73.3767,73.9217,73.3033,73.9183,909912
2025-12-22,74.3875,74.3967,74.0,74.3417,1300830
2025-12-23,74.1817,74.9725,74.1817,74.9717,1207776
2025-12-24,74.9267,75.1667,74.855,75.1667,759042
2025-12-26,75.2167,75.38,75.0237,75.115,813600
2025-12-29,74.6383,74.875,74.465,74.7667,1443234
2025-12-30,74.7217,74.92,74.615,74.6283,1067568
2025-12-31,74.7383,74.7692,74.0675,74.0983,1133370
2026-01-02,74.695,75.11,73.7331,74.1417,1968162
2026-01-05,74.6667,74.7997,74.2783,74.4183,1670874
2026-01-06,74.5533,74.8817,74.3167,74.81,1736742
2026-01-07,74.845,75.4867,74.6667,75.0,1499910
2026-01-08,75.035,75.0417,74.1117,74.3633,1501818
2026-01-09,74.51,75.105,74.3333,74.9383,1949976
2026-01-12,74.5,75.425,74.5,75.215,1348854
2026-01-13,75.2767,75.45,74.7633,75.0667,1468398
2026-01-14,74.6183,74.6622,73.6432,74.2067,1527726
2026-01-15,74.9367,75.0231,74.325,74.41,1290540
2026-01-16,74.8,74.9567,74.2583,74.4633,1301052
2026-01-20,73.135,73.565,72.5783,72.6667,2818805
2026-01-21,72.8333,73.8783,72.5417,73.385,2270772
2026-01-22,74.125,74.1667,73.6317,73.9267,1319736
2026-01-23,73.995,74.5667,73.7894,74.2183,1280796
2026-01-26,74.3133,74.9783,74.2,74.7317,1388736
2026-01-27,75.17,75.625,75.075,75.4233,1322394
2026-01-28,75.7817,75.7817,75.1933,75.525,1219752
2026-01-29,75.44,75.515,73.5833,75.1467,2159922
2026-01-30,74.8117,75.145,74.2,74.465,1562892
2026-02-02,74.1667,75.0573,74.1606,74.735,1535514
2026-02-03,75.0483,75.0841,72.8317,73.5217,1762416
2026-02-04,73.52,73.5225,71.5083,72.1967,2400534
2026-02-05,71.3567,71.9167,70.65,71.0667,2363922
2026-02-06,71.6233,73.0767,71.455,72.8517,1648110
2026-02-09,72.74,74.0467,72.5833,73.6567,1213536
2026-02-10,73.88,73.9192,73.22,73.23,1178184
2026-02-11,73.9317,74.07,72.7017,73.1167,1341018
2026-02-12,73.4333,73.4684,71.7169,71.8217,1967220
2026-02-13,71.9367,72.1717,71.205,71.5217,1709520
2026-02-17,71.16,72.1142,70.665,71.745,1695222
2026-02-18,71.9633,72.6667,71.835,72.2233,1274358
2026-02-19,71.9367,72.3217,71.7167,72.11,1215396
2026-02-20,71.87,73.0,71.7517,72.825,1803492
2026-02-23,72.7817,72.9317,71.6333,71.9117,1803552
2026-02-24,71.8317,72.5742,71.3233,72.4533,971604
2026-02-25,72.845,73.5367,72.845,73.45,1490874
2026-02-26,73.4167,73.4167,71.77,72.575,1969674
2026-02-27,71.6217,72.115,71.4567,71.88,2668427
2026-03-02,70.8633,72.2483,70.7867,72.01,2992163
2026-03-03,70.61,71.5517,70.0767,71.3433,3734081
2026-03-04,71.5633,72.4167,71.4733,72.145,1439010
2026-03-05,71.8983,72.3817,71.165,72.065,2487942
2026-03-06,71.0233,71.6567,70.7217,70.9283,1567956
2026-03-09,70.19,72.1817,69.9267,72.015,2572427
2026-03-10,72.0533,72.6933,71.775,72.0583,1808454
2026-03-11,72.1867,72.63,71.735,72.1233,1090332
2026-03-12,71.5833,71.5833,70.7333,70.91,1291500
