date,open,high,low,close,volume
2025-09-02,30.16,30.424,29.4,30.09,552436
2025-09-03,30.2,30.45,28.35,28.7,710405
2025-09-04,28.58,28.65,26.1,27.64,1522771
2025-09-05,27.76,29.45,27.495,29.42,804114
2025-09-08,29.36,30.23,28.65,29.42,693144
2025-09-09,29.32,29.495,28.1,28.6,518477
2025-09-10,28.99,29.69,28.1594,28.38,479543
2025-09-11,28.61,30.135,28.61,30.0,819558
2025-09-12,30.26,30.33,29.44,29.6,409637
2025-09-15,30.1,30.66,29.3376,30.3,625686
2025-09-16,30.01,30.18,28.525,28.64,668096
2025-09-17,28.59,29.25,28.0,28.73,714447
2025-09-18,29.0,29.9999,29.0,29.76,563361
2025-09-19,29.93,30.28,28.8,28.97,3406168
2025-09-22,28.82,33.0,28.71,32.66,1564533
2025-09-23,32.89,33.18,31.83,31.85,758938
2025-09-24,33.5,34.0999,30.49,30.49,910206
2025-09-25,29.65,29.89,28.38,29.28,1195936
2025-09-26,29.5,29.625,28.36,29.2,570160
2025-09-29,29.5,30.15,28.5,29.23,1124608
2025-09-30,29.12,29.96,28.6,29.78,1077840
2025-10-01,28.98,30.25,28.98,29.75,794702
2025-10-02,29.99,32.5999,29.75,32.05,903868
2025-10-03,32.41,33.75,31.45,31.69,1028372
2025-10-06,32.5,35.99,32.39,35.62,1537235
2025-10-07,35.9,35.9,32.76,33.61,961204
2025-10-08,34.2,36.36,33.7583,35.69,1165001
2025-10-09,36.0,36.06,32.345,33.75,1281308
2025-10-10,33.98,33.98,31.05,31.05,1254031
2025-10-13,31.81,32.88,31.36,32.74,556967
2025-10-14,31.905,35.73,31.75,35.27,1663835
2025-10-15,37.98,39.19,35.15,36.8,1749430
2025-10-16,37.57,38.1,34.2,34.3,836330
2025-10-17,34.27,34.27,31.165,31.79,979293
2025-10-20,33.0,35.45,33.0,34.82,776979
2025-10-21,34.59,35.1087,33.1,33.17,642840
2025-10-22,32.83,33.2,30.44,31.14,934431
2025-10-23,31.5,32.57,30.915,32.17,479199
2025-10-24,33.4,34.0976,33.0001,33.35,436758
2025-10-27,35.0,35.0,32.56,33.25,549213
2025-10-28,33.25,33.27,31.89,32.0,561999
2025-10-29,32.23,32.385,30.7,30.73,469236
2025-10-30,30.0,31.1,29.98,30.24,475154
2025-10-31,30.27,31.46,30.13,30.58,464585
2025-11-03,30.23,30.3899,28.54,28.66,839308
2025-11-04,27.33,28.97,25.6918,27.85,1447575
2025-11-05,27.72,28.0,25.71,26.29,1070292
2025-11-06,25.44,25.6987,23.06,23.83,3114982
2025-11-07,23.15,24.07,22.305,23.45,4535733
2025-11-10,24.22,24.28,22.75,24.03,1530269
2025-11-11,24.25,24.27,23.25,23.99,1298026
2025-11-12,24.1,24.245,22.35,22.84,1131841
2025-11-13,22.58,22.7,20.77,20.92,1127125
2025-11-14,19.98,21.25,19.75,19.87,1753059
2025-11-17,19.59,19.74,17.7,18.1,1820566
2025-11-18,17.78,18.85,17.525,18.51,1312950
2025-11-19,18.53,18.69,17.72,17.99,1008860
2025-11-20,18.6,19.1425,17.41,18.23,1552845
2025-11-21,18.07,20.3,18.07,19.95,2080830
2025-11-24,20.19,21.08,19.95,20.86,1778918
2025-11-25,20.43,21.14,19.85,20.94,2065716
2025-11-26,20.95,22.58,20.7,22.0,1488898
2025-11-28,22.96,23.0,22.16,22.48,733064
2025-12-01,21.89,22.35,21.21,21.58,1012175
2025-12-02,21.79,22.39,21.61,21.71,899259
2025-12-03,21.85,22.395,21.18,22.13,711412
2025-12-04,22.1,24.05,21.81,23.51,1574837
2025-12-05,23.49,24.49,22.82,23.75,1741866
2025-12-08,23.9,24.87,22.23,24.38,3859707
2025-12-09,24.4,25.89,23.66,25.4,2121022
2025-12-10,25.68,28.75,25.21,27.41,3813690
2025-12-11,27.44,28.398,26.5923,28.34,2712170
2025-12-12,28.82,28.82,26.36,26.53,1945060
2025-12-15,26.67,27.2,24.23,24.72,2264440
2025-12-16,24.51,25.4,23.78,24.23,1399148
2025-12-17,24.03,24.15,22.6,22.98,1177732
2025-12-18,23.23,24.22,23.19,23.97,1235320
2025-12-19,23.65,27.3,23.2,26.96,2997751
2025-12-22,27.96,29.4899,27.4,28.36,2130879
2025-12-23,27.6,28.9,26.79,28.41,2165676
2025-12-24,28.42,29.11,28.1,28.35,593667
2025-12-26,28.4,28.4,27.0,27.29,1079430
2025-12-29,26.5,27.685,26.3,27.3,1053648
2025-12-30,27.3,27.325,25.94,26.29,1248372
2025-12-31,26.15,26.5,25.6,26.14,1194822
2026-01-02,26.75,27.82,26.24,27.78,1512268
2026-01-05,28.27,29.0,27.41,28.48,1984836
2026-01-06,29.0,29.6999,28.03,29.31,1543111
2026-01-07,29.7,30.5501,28.55,29.46,2708206
2026-01-08,30.4,32.745,30.08,31.73,3062386
2026-01-09,31.9,32.13,30.18,31.33,1803945
2026-01-12,32.0,32.91,30.25,32.61,2147093
2026-01-13,33.1,33.1,30.7218,31.24,1047951
2026-01-14,30.89,34.4,29.72,34.34,2235739
2026-01-15,34.34,35.0,33.0,33.15,1156171
2026-01-16,33.91,35.929,33.5,35.38,2038261
2026-01-20,34.0,35.37,32.81,32.87,2042073
2026-01-21,33.5,34.6,30.61,32.39,1641118
2026-01-22,32.91,35.49,32.21,34.58,2350031
2026-01-23,35.31,38.84,34.41,37.09,2999996
2026-01-26,38.19,38.19,33.17,33.26,1594439
2026-01-27,33.73,35.62,33.26,35.07,2305027
2026-01-28,34.76,35.84,33.95,34.96,1079714
2026-01-29,35.1,35.18,32.0,33.07,1519176
2026-01-30,31.77,33.05,30.06,30.53,1414982
2026-02-02,30.27,31.2999,28.69,29.06,1554868
2026-02-03,29.75,30.0711,28.05,29.89,1234271
2026-02-04,29.75,30.05,26.95,27.66,2147377
2026-02-05,26.3,27.43,24.08,24.17,1794809
2026-02-06,25.0,27.35,24.88,26.87,1404937
2026-02-09,27.11,29.605,26.7,29.05,1595120
2026-02-10,28.78,29.05,27.28,27.29,1443157
2026-02-11,27.88,27.88,25.25,26.31,1080773
2026-02-12,26.2,26.43,24.32,25.58,1080505
2026-02-13,25.93,27.22,25.28,26.04,830027
2026-02-17,26.0,27.09,25.06,26.72,855980
2026-02-18,27.0,28.43,26.65,27.3,916672
2026-02-19,26.79,28.67,26.5,28.59,1097308
2026-02-20,28.1,29.1048,27.15,27.41,962868
2026-02-23,26.59,27.35,26.3,26.82,1227218
2026-02-24,26.49,28.27,25.9301,27.55,774765
2026-02-25,28.0,28.5784,26.7,27.61,939050
2026-02-26,27.69,29.16,27.4,28.66,936993
2026-02-27,27.5,27.8,25.79,26.69,1059322
2026-03-02,26.0,29.45,25.71,28.11,933540
2026-03-03,27.41,29.18,27.16,28.15,939185
2026-03-04,28.81,29.93,28.07,29.06,837429
2026-03-05,28.77,30.1,27.6,27.92,1393485
2026-03-06,26.5,28.01,26.3,26.72,1084059
2026-03-09,26.32,26.83,25.05,26.64,1633894
2026-03-10,25.86,29.76,23.9,28.33,2657326
2026-03-11,28.8,29.4,27.4,27.41,1390386
2026-03-12,26.96,27.95,26.06,26.08,1859472
2026-03-13,26.69,28.2,26.22,27.02,1196986
2026-03-16,27.69,28.37,26.5,27.44,1000818
2026-03-17,27.67,29.09,27.0,29.04,1015763
2026-03-18,28.54,29.3,27.77,27.82,1102054
2026-03-19,26.855,27.7,25.5,27.16,1250091
2026-03-20,27.0,28.43,25.01,25.52,7014465
2026-03-23,25.52,28.43,24.93,27.95,1899796
2026-03-24,27.4,27.975,24.96,25.08,1857284
2026-03-25,26.0,26.89,25.125,25.72,1657038
2026-03-26,25.09,25.29,23.6,23.82,1133376
2026-03-27,23.23,23.72,22.6,22.79,1203375
2026-03-30,23.5,23.5,21.68,21.93,1758716
2026-03-31,22.59,23.93,21.96,23.39,1846128
2026-04-01,23.885,24.21,23.15,23.76,1214461
2026-04-02,22.7,27.2,22.7,26.82,2067262
2026-04-06,26.71,28.45,26.52,27.8,1240074
2026-04-07,27.5,27.95,26.275,27.29,882719
2026-04-08,29.25,29.73,27.45,28.11,1308060
2026-04-09,28.07,30.13,27.86,29.56,1496427
2026-04-10,30.06,31.244,29.0301,29.78,1658126
2026-04-13,29.12,30.962,29.0,30.06,1466677
2026-04-14,31.14,31.8,29.13,30.14,1493112
2026-04-15,30.13,30.49,29.213,29.91,1162300
2026-04-16,31.39,33.0,30.23,32.54,3324870
2026-04-17,33.0,33.5,31.1,31.31,1583626
2026-04-20,31.25,32.0,30.29,31.58,1202397
2026-04-21,31.91,33.94,30.59,31.09,1482949
2026-04-22,32.14,32.68,30.9301,31.81,1405376
2026-04-23,31.53,31.7,28.83,30.12,1269070
2026-04-24,30.47,30.69,28.44,28.68,818654
2026-04-27,28.16,28.55,26.86,27.23,930374
2026-04-28,26.8,27.38,26.35,26.62,821331
2026-04-29,26.29,26.455,24.82,25.61,1085443
2026-04-30,25.99,26.86,25.57,26.41,735373
2026-05-01,26.94,26.97,25.53,26.6,1590082
2026-05-04,26.31,27.1,25.52,25.57,2006259
2026-05-05,27.04,29.775,25.345,26.4,2975221
2026-05-06,26.61,26.93,25.13,26.63,2304471
2026-05-07,26.99,26.99,25.43,25.62,2238339
2026-05-08,26.05,29.74,25.9,29.74,2040832
2026-05-11,29.43,33.36,28.7,30.82,2595662
2026-05-12,30.06,31.79,28.01,29.2,1699650
2026-05-13,29.75,34.93,29.55,33.6,3109291
2026-05-14,33.6,36.56,31.44,36.23,2549318
2026-05-15,34.5,35.43,32.64,34.44,2499878
2026-05-18,36.2,38.68,34.83,38.38,3622881
2026-05-19,37.67,37.89,35.54,37.57,2534786
2026-05-20,37.72,40.56,36.5,39.93,2733829
2026-05-21,39.28,40.9299,37.52,40.1,1512243
2026-05-22,41.5,45.3,41.11,44.64,3050940
2026-05-26,46.3,50.799,44.3001,46.44,4638731
2026-05-27,47.1,50.5,45.8,48.59,4479311
2026-05-28,47.12,52.4,46.8087,51.77,4287305
2026-05-29,48.795,49.62,45.35,49.53,3194084
2026-06-01,47.69,48.49,44.09,47.49,2645977
2026-06-02,47.98,51.9499,47.66,49.95,2038964
2026-06-03,48.29,48.97,44.85,44.96,2102383
2026-06-04,44.6,49.115,43.16,47.7,2517279
2026-06-05,47.2,47.43,41.32,41.55,2307276
2026-06-08,43.97,44.43,41.99,42.42,1582955
2026-06-09,43.02,44.43,36.29,39.47,3782645
2026-06-10,39.405,42.36,38.74,41.28,2242015
2026-06-11,43.4,49.71,42.76,47.87,5707996
2026-06-12,46.2,46.2,40.45,41.15,3797164
2026-06-15,42.16,42.62,39.828,40.31,2807683
2026-06-16,39.2,40.11,37.04,37.85,3496722
2026-06-17,38.51,40.47,38.03,38.54,2245280
2026-06-18,39.16,39.5919,35.16,37.57,6369802
2026-06-22,37.31,37.31,32.725,34.57,2766521
2026-06-23,33.89,34.68,33.25,33.6,2083774
2026-06-24,33.15,33.15,30.16,30.36,2576859
2026-06-25,30.69,30.9,28.5,29.32,2104062
2026-06-26,28.85,30.035,28.48,29.26,2963442
2026-06-29,30.24,31.0,28.78,30.18,2969222
2026-06-30,30.09,32.67,30.09,32.25,1815655
2026-07-01,32.25,36.15,32.25,33.81,2629062
2026-07-02,33.8,36.92,33.25,34.22,1637756
2026-07-06,33.98,35.0,33.35,33.9,1140203
2026-07-07,33.0,33.45,30.9601,31.89,1253078
2026-07-08,31.32,34.18,31.31,34.09,1677027
2026-07-09,34.75,34.9656,32.46,32.64,1130682
2026-07-10,32.7,32.7,30.69,31.16,969720
2026-07-13,30.84,31.265,29.14,29.66,1357020
2026-07-14,30.03,31.38,29.53,29.78,1775567
2026-07-15,29.51,30.65,26.0,26.6,3992071
2026-07-16,26.06,26.3,24.9,25.03,2188383
2026-07-17,24.55,26.28,23.79,25.9,1482147
