date,open,high,low,close,volume
2025-09-02,138.01,138.76,137.54,138.68,383590
2025-09-03,138.74,139.33,138.6801,139.03,306592
2025-09-04,139.13,139.6,138.929,139.54,113326
2025-09-05,141.09,141.63,140.4,140.87,135951
2025-09-08,142.12,142.3,141.72,142.26,245653
2025-09-09,142.22,142.29,141.65,141.81,204999
2025-09-10,142.0,142.555,141.89,142.03,126084
2025-09-11,142.19,143.4999,142.19,143.3,191495
2025-09-12,143.36,143.36,142.7801,143.16,109118
2025-09-15,143.5,144.13,143.5,144.1,119105
2025-09-16,144.1,144.55,143.8701,144.38,230155
2025-09-17,144.31,145.3269,143.28,143.88,173067
2025-09-18,143.74,144.1018,143.295,143.86,227664
2025-09-19,142.91,143.3,142.8501,143.2,125450
2025-09-22,143.15,143.8999,142.8642,143.7,127454
2025-09-23,144.15,144.2075,143.29,143.59,312576
2025-09-24,142.68,142.85,141.9,141.96,261516
2025-09-25,141.34,141.34,140.27,141.0,942079
2025-09-26,140.78,141.72,140.6804,141.44,336693
2025-09-29,141.91,142.31,141.91,142.2,128017
2025-09-30,142.35,142.74,142.26,142.55,167850
2025-10-01,142.87,143.4,142.87,143.02,141396
2025-10-02,143.35,143.45,142.23,143.07,393801
2025-10-03,143.77,144.3,143.62,144.01,111917
2025-10-06,144.02,144.63,144.02,144.1,142215
2025-10-07,144.05,144.0863,142.93,143.01,149244
2025-10-08,143.4,143.6999,143.25,143.67,101026
2025-10-09,143.92,143.92,142.1979,142.6,105347
2025-10-10,142.23,142.395,139.51,139.66,139971
2025-10-13,141.29,141.955,141.1,141.66,1074927
2025-10-14,139.81,141.75,139.74,141.14,320847
2025-10-15,142.37,142.625,141.54,142.49,308507
2025-10-16,142.96,143.59,142.43,142.99,363945
2025-10-17,141.89,142.31,141.33,142.16,158694
2025-10-20,142.53,143.0999,142.41,142.9,880241
2025-10-21,142.09,142.3108,141.49,141.86,133683
2025-10-22,142.12,142.7789,141.62,142.23,200350
2025-10-23,142.86,143.71,142.86,143.43,549243
2025-10-24,143.81,144.01,143.6765,143.74,79179
2025-10-27,144.64,144.64,144.0378,144.52,129619
2025-10-28,143.78,144.24,143.62,143.86,194446
2025-10-29,144.21,144.22,142.58,143.14,216862
2025-10-30,142.35,142.8779,142.08,142.41,260601
2025-10-31,142.43,142.5,141.73,142.36,139433
2025-11-03,142.39,142.42,141.865,142.33,158970
2025-11-04,140.82,141.0205,140.18,140.23,192897
2025-11-05,140.23,141.11,140.23,140.93,111059
2025-11-06,140.55,140.7,139.57,139.87,137295
2025-11-07,139.25,140.33,138.7009,140.23,122656
2025-11-10,141.46,142.03,141.05,141.9,214944
2025-11-11,141.86,142.27,141.7,141.97,239896
2025-11-12,142.19,142.94,142.19,142.86,212340
2025-11-13,142.99,143.16,141.4855,141.71,253899
2025-11-14,140.76,142.1,140.52,141.72,181277
2025-11-17,140.8,141.5,139.665,140.07,387422
2025-11-18,138.85,139.415,138.237,138.9,433411
2025-11-19,138.64,139.41,138.04,138.62,181990
2025-11-20,139.57,139.83,136.7,136.91,571164
