date,open,high,low,close,volume
2025-09-02,75.265,75.8667,74.9457,75.8267,7441139
2025-09-03,76.4733,76.8367,76.1758,76.6533,7643464
2025-09-04,76.7433,77.35,76.5158,77.335,4973249
2025-09-05,77.89,77.9167,76.5492,77.1,4823477
2025-09-08,77.49,77.8783,77.4892,77.595,4910927
2025-09-09,77.7467,77.925,77.3933,77.8783,5142053
2025-09-10,78.3542,78.3717,77.6368,77.8683,5778899
2025-09-11,78.225,78.4,77.9217,78.315,4689023
2025-09-12,78.4167,78.7567,78.2533,78.585,5819645
2025-09-15,78.895,79.3747,78.895,79.3683,6203285
2025-09-16,79.465,79.4725,79.1899,79.2367,5289857
2025-09-17,79.155,79.2467,78.2083,78.93,5774075
2025-09-18,79.465,79.7317,79.1361,79.345,4762763
2025-09-19,79.7583,80.13,79.5483,80.07,4183931
2025-09-22,79.93,80.7017,79.9167,80.68,5445113
2025-09-23,80.65,80.65,79.6467,79.83,5926691
2025-09-24,80.0633,80.1047,79.1443,79.485,4356161
2025-09-25,78.9033,79.2883,78.3983,79.0467,4580705
2025-09-26,79.2267,79.46,78.7683,79.405,4215629
2025-09-29,79.72,80.0833,79.4817,79.675,19064336
2025-09-30,79.625,80.0117,79.3183,79.935,11383504
2025-10-01,79.5633,80.4467,79.4467,80.31,6146909
2025-10-02,80.7917,80.7943,80.185,80.5467,6427967
2025-10-03,80.6,80.7099,79.9451,80.24,5880527
2025-10-06,80.645,81.0133,80.3796,80.835,5593499
2025-10-07,80.9533,80.9833,80.0864,80.3517,6393323
2025-10-08,80.505,81.1817,80.4717,81.1817,4523519
2025-10-09,81.22,81.22,80.6884,81.085,4508381
2025-10-10,81.175,81.4183,78.3783,78.4067,7417493
2025-10-13,79.695,80.06,79.3333,79.9383,4934963
2025-10-14,79.035,79.895,78.3017,79.315,7037591
2025-10-15,80.08,80.3751,78.9425,79.7467,5524289
2025-10-16,80.0367,80.3933,78.7833,79.3467,5659079
2025-10-17,78.965,79.9267,78.77,79.7067,5905577
2025-10-20,80.1867,80.9083,80.1583,80.7833,4930439
2025-10-21,80.7417,80.9283,80.5125,80.7483,4439807
2025-10-22,80.8383,80.9217,79.4617,80.1617,8328634
2025-10-23,80.1717,80.955,80.1567,80.8267,10855762
2025-10-24,81.4667,81.8417,81.3483,81.6033,4420739
2025-10-27,82.625,83.105,82.5225,83.0467,5499401
