date,open,high,low,close,volume
2025-09-02,70.43,70.925,70.36,70.87,6966584
2025-09-03,70.88,71.065,70.78,71.02,3795066
2025-09-04,71.08,71.3299,70.93,71.31,3171591
2025-09-05,71.99,72.147,71.515,71.775,5081889
2025-09-08,72.345,72.4872,72.11,72.47,4350616
2025-09-09,72.46,72.515,72.2272,72.38,4445659
2025-09-10,72.74,72.775,72.4335,72.51,3860019
2025-09-11,72.87,73.355,72.83,73.33,3525653
2025-09-12,73.13,73.205,72.945,73.09,3985053
2025-09-15,73.49,73.66,73.37,73.66,3889067
2025-09-16,73.75,73.78,73.4545,73.72,3713578
2025-09-17,73.78,74.21,73.3,73.67,4036379
2025-09-18,73.86,73.86,73.295,73.73,4233009
2025-09-19,73.36,73.36,73.025,73.12,4694764
2025-09-22,73.21,73.48,73.04,73.44,4536213
2025-09-23,73.549,73.736,73.275,73.34,8318123
2025-09-24,73.09,73.2099,72.8501,72.91,4850223
2025-09-25,72.47,72.5599,72.21,72.49,5853044
2025-09-26,72.5,72.76,72.4213,72.75,4006203
2025-09-29,73.1,73.23,73.01,73.14,3607110
2025-09-30,73.15,73.49,73.115,73.46,4549368
2025-10-01,73.775,74.04,73.754,73.97,6483617
2025-10-02,74.29,74.3279,73.77,74.11,3863943
2025-10-03,74.54,74.77,74.44,74.66,4854254
2025-10-06,74.75,74.985,74.735,74.82,5696697
2025-10-07,74.76,74.8,74.22,74.24,4962155
2025-10-08,74.4,74.535,74.31,74.53,4451809
2025-10-09,74.59,74.6083,73.71,73.88,4771720
2025-10-10,73.79,73.8399,72.075,72.17,6545654
2025-10-13,73.1,73.3999,72.9,73.27,3294529
2025-10-14,72.595,73.55,72.475,73.28,4533533
2025-10-15,73.87,74.09,73.455,73.92,4301579
2025-10-16,74.38,74.6399,74.015,74.25,4279061
2025-10-17,73.895,74.2899,73.775,74.2,3205900
2025-10-20,74.57,74.98,74.56,74.93,4462625
2025-10-21,74.48,74.515,74.205,74.22,3818582
2025-10-22,74.34,74.54,73.93,74.28,12642690
2025-10-23,74.48,74.81,74.455,74.71,3015945
2025-10-24,74.97,75.06,74.86,74.95,3349497
2025-10-27,75.52,75.545,75.33,75.52,4054043
2025-10-28,75.29,75.63,75.2335,75.51,5396887
2025-10-29,75.73,75.75,74.92,75.28,6433274
2025-10-30,74.71,75.105,74.64,74.81,4551915
2025-10-31,74.84,74.85,74.36,74.63,7293606
2025-11-03,74.85,74.885,74.5142,74.84,4789942
2025-11-04,73.9,74.3,73.82,73.85,5425993
2025-11-05,73.94,74.5,73.915,74.35,4537364
2025-11-06,74.385,74.49,73.84,74.06,4386557
2025-11-07,73.635,74.2,73.37,74.2,5308138
2025-11-10,74.83,75.17,74.615,75.13,4136121
2025-11-11,75.27,75.6,75.23,75.53,10108390
2025-11-12,75.62,75.885,75.61,75.82,4328681
2025-11-13,75.79,75.835,74.8906,74.99,4426261
2025-11-14,74.46,75.155,74.3501,74.93,4345570
2025-11-17,74.43,74.6808,73.75,74.0,4384126
2025-11-18,73.16,73.61,72.8843,73.35,5304822
2025-11-19,73.165,73.5659,72.84,73.16,3832786
2025-11-20,73.74,73.8,72.17,72.19,4626506
2025-11-21,72.42,73.12,72.11,72.92,4932550
2025-11-24,72.845,73.32,72.765,73.23,3713518
2025-11-25,73.42,73.926,73.125,73.91,3611110
2025-11-26,74.155,74.736,74.12,74.61,4264621
2025-11-28,74.66,74.9583,74.58,74.94,2455449
2025-12-01,74.75,74.935,74.6135,74.65,4634945
2025-12-02,74.83,74.89,74.5,74.77,4363866
2025-12-03,74.75,75.08,74.69,75.07,4473266
2025-12-04,75.335,75.39,75.065,75.23,4727174
2025-12-05,75.65,75.7755,75.335,75.38,6500860
2025-12-08,75.5,75.52,75.0601,75.22,5102315
2025-12-09,75.21,75.3351,75.065,75.12,4684900
2025-12-10,75.25,76.055,75.19,75.93,7006749
2025-12-11,75.9,76.2165,75.7545,76.13,7567434
2025-12-12,76.2,76.25,75.305,75.61,6848805
2025-12-15,76.215,76.24,75.755,75.87,6599119
2025-12-16,75.655,75.73,75.22,75.46,5327252
2025-12-17,75.51,75.605,74.945,74.96,6791010
2025-12-18,75.66,75.965,75.4344,75.57,6655075
2025-12-19,74.57,74.9599,74.52,74.67,7434663
2025-12-22,74.95,75.15,74.885,75.09,11249300
2025-12-23,75.38,75.565,75.275,75.55,16139490
2025-12-24,75.64,75.67,75.515,75.61,4794725
2025-12-26,75.765,75.85,75.64,75.85,5872018
2025-12-29,75.57,75.715,75.4106,75.61,11113800
2025-12-30,75.86,75.97,75.73,75.76,5953038
2025-12-31,75.725,75.77,75.3945,75.44,7519620
2026-01-02,76.35,76.545,76.135,76.54,9058957
2026-01-05,76.79,77.35,76.7,77.35,11741320
2026-01-06,77.58,77.7599,77.48,77.62,8618170
2026-01-07,77.5,77.54,77.16,77.23,9579788
