date,open,high,low,close,volume
2025-09-02,138.33,138.71,137.6,138.71,3194809
2025-09-03,138.43,138.66,137.53,138.26,1038314
2025-09-04,138.605,139.29,138.21,139.29,939893
2025-09-05,140.78,140.99,139.03,139.55,1437418
2025-09-08,139.76,139.76,138.96,139.65,1560014
2025-09-09,139.68,139.96,139.4193,139.63,1499748
2025-09-10,140.0,140.8659,139.7791,140.78,1146878
2025-09-11,140.98,142.17,140.9107,142.03,1126112
2025-09-12,141.93,142.135,141.34,141.38,990089
2025-09-15,141.455,141.6599,140.931,141.12,1235702
2025-09-16,141.32,141.505,140.59,140.88,896724
2025-09-17,141.1,142.08,140.405,141.16,1083293
2025-09-18,141.27,141.81,140.88,141.52,1136495
2025-09-19,140.835,140.87,139.915,140.46,1148919
2025-09-22,139.96,140.39,139.82,140.1,1325742
2025-09-23,140.23,141.3,140.135,140.56,1821302
2025-09-24,140.73,140.99,140.395,140.52,974064
2025-09-25,140.19,140.29,139.43,139.83,1080114
2025-09-26,140.3,141.0595,140.27,140.78,950245
2025-09-29,141.22,141.2392,140.1,140.51,1054746
2025-09-30,140.39,141.0738,139.88,140.95,1164002
2025-10-01,140.67,141.24,140.49,141.08,1278932
2025-10-02,141.26,141.42,140.53,140.91,1112706
2025-10-03,141.25,142.22,141.25,141.55,1079660
2025-10-06,141.715,141.925,141.1,141.26,1130502
2025-10-07,141.46,141.535,140.5662,141.05,1161470
2025-10-08,141.3,141.53,140.71,141.25,1247969
2025-10-09,141.635,141.64,140.075,140.32,1644558
2025-10-10,140.71,140.95,137.42,137.47,2055197
2025-10-13,139.09,139.88,138.71,139.55,1675578
2025-10-14,138.66,141.0444,138.27,140.53,2139890
2025-10-15,141.26,142.065,139.93,140.91,1662765
2025-10-16,141.29,141.36,139.05,139.49,2795067
2025-10-17,139.55,140.32,139.18,140.11,2267586
2025-10-20,140.77,141.34,140.645,141.23,1443365
2025-10-21,141.25,141.54,140.73,140.98,1524581
2025-10-22,141.0,141.14,139.97,140.58,2000647
2025-10-23,140.93,141.14,140.38,140.92,1380538
2025-10-24,141.88,142.15,141.55,141.62,1435321
2025-10-27,142.145,142.49,141.85,142.41,1554585
2025-10-28,142.33,142.47,141.69,141.87,1656066
2025-10-29,141.69,142.1599,140.68,141.41,2643688
2025-10-30,140.78,141.855,140.715,140.85,3150041
2025-10-31,140.375,140.9601,139.8,140.58,2164838
2025-11-03,140.56,140.57,138.83,139.73,1732458
2025-11-04,139.02,139.72,138.74,139.16,1647875
2025-11-05,138.98,140.4461,138.98,139.91,1333597
2025-11-06,139.83,140.3,139.31,139.57,1821503
2025-11-07,139.49,140.27,138.73,140.27,1770278
2025-11-10,140.755,141.2651,139.91,141.03,1561285
2025-11-11,141.25,142.5,141.1963,142.08,1152938
2025-11-12,142.41,143.3,142.4,142.87,1307327
2025-11-13,142.76,142.925,141.05,141.25,2011674
2025-11-14,140.58,141.545,139.98,141.01,1751345
2025-11-17,140.82,141.37,139.155,139.54,1762376
2025-11-18,139.25,140.445,138.92,139.51,2563144
2025-11-19,139.44,140.22,139.065,139.69,1484608
2025-11-20,140.95,141.75,138.35,138.43,2707295
2025-11-21,139.02,140.9501,138.63,140.1,2422192
2025-11-24,140.5,141.6,140.1799,141.22,1328339
2025-11-25,141.72,143.313,141.38,143.11,1164359
2025-11-26,143.18,144.84,143.16,144.39,1171475
2025-11-28,144.5,145.44,144.45,145.44,625213
2025-12-01,144.6,145.06,143.89,143.99,1392741
2025-12-02,144.15,144.15,143.11,143.54,1137638
2025-12-03,143.75,145.195,143.74,145.07,1146860
2025-12-04,145.03,145.38,144.69,145.11,1740356
2025-12-05,145.18,145.965,145.09,145.21,1109174
2025-12-08,145.58,145.58,144.64,144.78,1446850
2025-12-09,144.87,145.695,144.655,144.73,1796061
2025-12-10,144.81,147.07,144.68,146.79,1805878
2025-12-11,146.575,147.88,146.575,147.79,1724162
2025-12-12,147.29,147.38,145.579,146.01,2153711
2025-12-15,146.58,146.73,145.41,145.9,2043783
2025-12-16,145.71,145.9,144.07,144.44,1706204
2025-12-17,144.77,145.03,143.61,144.06,1353311
2025-12-18,144.59,144.83,143.46,143.81,1562987
2025-12-19,142.9,143.73,142.83,143.33,1532885
2025-12-22,143.77,144.38,143.68,144.25,2188952
2025-12-23,144.1,144.645,144.0,144.4,1847759
2025-12-24,144.49,145.28,144.4,145.06,724578
2025-12-26,145.05,145.205,144.6161,145.09,1216734
2025-12-29,144.91,145.145,144.5319,144.7,1416539
2025-12-30,144.78,144.96,144.445,144.55,1269938
2025-12-31,144.54,144.54,143.49,143.52,1443905
2026-01-02,144.01,144.99,143.31,144.76,1955579
2026-01-05,145.31,146.105,145.07,145.82,2322705
2026-01-06,145.775,147.04,145.6948,146.76,1958198
2026-01-07,146.84,146.84,144.99,145.1,1476667
2026-01-08,144.905,146.555,144.85,146.34,1573262
2026-01-09,146.67,147.55,146.58,147.26,1366361
2026-01-12,146.82,147.742,146.6,147.64,2123138
2026-01-13,147.92,148.155,147.255,147.59,1330712
2026-01-14,147.19,148.1,147.08,148.07,1442606
2026-01-15,148.48,149.18,148.21,148.71,1964932
2026-01-16,148.77,149.05,148.46,148.87,1497637
2026-01-20,147.405,147.89,146.325,146.57,2156190
2026-01-21,147.12,148.72,147.07,148.28,2115703
2026-01-22,148.65,149.22,148.3,148.44,1413446
2026-01-23,148.17,148.26,147.135,147.69,1967503
2026-01-26,148.03,148.66,148.01,148.41,1306452
2026-01-27,148.06,148.69,147.8,148.6,1105610
2026-01-28,148.8,149.23,148.17,148.69,1362025
2026-01-29,149.55,150.5,148.62,149.48,1789676
2026-01-30,149.06,150.1,148.41,149.96,1785460
2026-02-02,149.57,151.185,149.49,151.03,1644450
2026-02-03,151.04,152.41,150.47,151.94,2166489
2026-02-04,152.28,153.18,151.92,152.79,2125003
2026-02-05,152.46,153.15,151.68,151.99,2244866
2026-02-06,153.21,155.68,153.21,155.47,1634092
2026-02-09,155.05,156.0399,154.93,155.74,1573457
2026-02-10,155.9,156.35,155.56,155.65,1351361
2026-02-11,156.44,156.825,155.8,156.5,1388786
2026-02-12,156.64,157.29,154.44,154.59,2209416
2026-02-13,154.065,156.06,153.87,155.37,1672198
2026-02-17,155.54,156.025,154.185,155.13,1839202
2026-02-18,155.39,156.115,155.06,155.6,1286515
2026-02-19,155.42,155.76,154.6401,155.2,1281069
2026-02-20,154.85,155.965,154.39,155.56,1532787
2026-02-23,155.18,156.26,153.87,154.3,1639420
2026-02-24,154.0,154.795,153.696,154.66,1366811
2026-02-25,155.12,155.32,154.11,155.03,1072127
2026-02-26,155.085,155.59,154.02,154.93,1495570
2026-02-27,154.03,155.18,153.565,155.05,1374020
2026-03-02,154.25,155.46,153.91,155.06,2054751
2026-03-03,152.97,153.83,151.165,153.28,2676617
2026-03-04,153.455,153.93,152.46,153.6,2083163
2026-03-05,152.92,153.4125,151.02,152.07,2289215
2026-03-06,150.41,151.19,149.33,150.74,1887558
2026-03-09,149.52,151.67,148.44,151.22,2177472
2026-03-10,151.13,152.31,150.49,150.71,1476710
2026-03-11,150.44,150.72,149.57,150.29,1263758
2026-03-12,149.07,149.98,148.67,148.74,2001093
2026-03-13,149.55,150.14,148.28,148.43,1857868
2026-03-16,149.7,150.03,149.1,149.38,2494839
2026-03-17,150.45,150.6,149.48,149.57,1400183
2026-03-18,149.01,149.39,147.4474,147.51,2028854
2026-03-19,146.81,148.37,146.6,147.51,1838418
2026-03-20,146.65,147.12,144.715,145.17,2972542
2026-03-23,147.01,148.09,146.38,146.68,3453250
2026-03-24,145.78,148.11,145.6,147.36,2513567
2026-03-25,148.31,148.74,147.41,148.09,1806198
2026-03-26,147.39,148.5,147.11,147.22,1437799
2026-03-27,146.91,147.21,145.38,145.7,1650127
2026-03-30,146.82,147.07,144.95,145.48,1808502
2026-03-31,146.895,148.4,146.25,148.1,2273473
2026-04-01,148.47,148.69,147.73,147.95,2067033
2026-04-02,146.97,148.66,146.8,148.11,1170608
2026-04-06,147.95,148.71,147.73,148.69,1164768
2026-04-07,148.87,149.26,148.33,149.09,1122761
2026-04-08,150.97,152.11,150.79,152.09,1185148
2026-04-09,151.6,153.09,151.55,152.67,937707
2026-04-10,152.94,153.005,151.86,152.06,756051
2026-04-13,151.61,153.2,151.48,153.19,1049178
2026-04-14,152.81,153.35,152.24,153.12,965808
2026-04-15,153.44,153.55,152.58,153.05,1056307
2026-04-16,153.005,153.93,153.0,153.83,1055454
2026-04-17,154.0,155.6,153.95,155.11,1254220
2026-04-20,155.02,155.52,154.83,155.08,1106107
2026-04-21,155.46,155.6,154.1,154.35,972580
2026-04-22,155.14,155.45,154.465,154.82,976300
2026-04-23,155.05,156.18,154.74,155.83,1044947
2026-04-24,155.92,156.0,154.56,154.95,880698
2026-04-27,154.8,155.69,154.4401,154.6,1059176
2026-04-28,154.8,155.15,154.07,154.29,1019329
2026-04-29,154.35,154.7,153.85,154.5,830757
2026-04-30,154.71,157.345,154.54,157.19,937022
2026-05-01,157.37,157.4791,156.47,156.51,1185327
2026-05-04,155.84,156.38,154.875,155.24,1107989
2026-05-05,155.61,156.865,155.29,156.33,1057919
2026-05-06,156.98,157.3984,156.44,156.95,914829
2026-05-07,156.47,156.5942,154.83,155.16,1029376
2026-05-08,155.95,156.0,155.25,155.46,955653
2026-05-11,155.87,156.15,155.49,155.81,1213325
2026-05-12,155.79,156.2,154.75,155.96,1134361
2026-05-13,155.56,155.8813,155.01,155.64,782160
2026-05-14,156.47,157.6299,156.26,157.24,954206
2026-05-15,156.86,156.88,155.665,155.76,1078679
2026-05-18,155.78,156.72,155.42,156.63,1066808
2026-05-19,155.75,156.6401,155.34,155.91,795219
2026-05-20,156.0,157.11,155.601,156.75,965992
2026-05-21,156.38,157.275,155.8408,157.25,1077173
2026-05-22,158.0,158.9599,157.61,158.7,839900
2026-05-26,159.21,159.68,158.53,158.68,1401923
2026-05-27,158.72,159.06,158.2499,158.37,870537
2026-05-28,158.29,158.815,157.75,158.32,1077149
2026-05-29,158.85,159.22,158.6,159.19,910163
2026-06-01,158.64,159.5,158.19,159.19,1189743
2026-06-02,159.93,161.27,159.8421,161.17,1102598
2026-06-03,160.9,161.29,160.38,160.48,1051482
2026-06-04,159.81,160.53,159.27,160.4,1281917
2026-06-05,160.0,160.1023,158.06,158.24,1454567
2026-06-08,158.99,159.29,157.89,158.12,1300568
2026-06-09,158.81,159.5099,156.75,158.84,1212976
2026-06-10,158.52,158.99,157.11,157.21,1383126
2026-06-11,157.775,159.725,157.58,159.05,1749294
2026-06-12,159.66,160.755,159.24,160.33,1135943
2026-06-15,161.01,161.26,160.23,160.46,1388847
2026-06-16,160.85,161.3317,160.25,160.42,973962
2026-06-17,160.41,161.455,158.61,159.08,1632180
2026-06-18,159.41,159.4518,158.06,158.21,2746220
2026-06-22,158.51,158.97,158.18,158.39,1697468
2026-06-23,157.51,158.505,157.02,158.13,2372424
2026-06-24,158.21,158.66,157.405,157.99,2642147
2026-06-25,158.79,160.425,158.72,158.95,1419969
2026-06-26,158.54,159.11,158.04,158.22,1256808
2026-06-29,158.61,159.17,157.75,158.45,1420520
2026-06-30,158.44,158.77,157.87,158.03,1080626
2026-07-01,157.7,159.1,157.57,158.24,1717964
2026-07-02,159.1,159.74,158.265,159.48,1498578
2026-07-06,160.14,160.4,159.61,160.14,1273166
2026-07-07,160.83,161.32,160.38,160.64,1015571
2026-07-08,160.39,160.5157,159.74,159.79,1281094
2026-07-09,160.39,161.16,160.18,160.55,934605
2026-07-10,160.83,161.275,160.44,161.06,1354466
2026-07-13,161.46,161.67,160.59,160.86,1598930
2026-07-14,161.07,161.35,160.16,160.18,1441302
2026-07-15,160.43,160.89,159.6651,160.1,1127124
2026-07-16,160.18,161.07,160.05,160.85,1030658
2026-07-17,160.43,161.7,159.96,160.16,1196922
