date,open,high,low,close,volume
2025-09-02,44.16,44.48,43.5135,43.8,21123690
2025-09-03,43.5,43.74,42.88,43.74,21828540
2025-09-04,44.07,44.42,43.93,44.18,14480480
2025-09-05,44.1,44.47,44.0242,44.38,13406700
2025-09-08,42.975,43.6172,42.94,43.32,30273880
2025-09-09,43.36,43.74,43.35,43.57,15595520
2025-09-10,43.49,43.67,43.01,43.49,14807830
2025-09-11,43.61,44.15,43.51,44.14,15510570
2025-09-12,44.005,44.085,43.765,43.97,13723470
2025-09-15,44.05,44.25,43.77,43.87,15034710
2025-09-16,43.87,43.945,43.3,43.74,16173590
2025-09-17,43.87,44.41,43.855,44.21,14413990
2025-09-18,43.88,43.9525,43.58,43.67,16507270
2025-09-19,43.785,43.785,43.46,43.48,29164230
2025-09-22,43.38,43.52,42.98,43.16,18507720
2025-09-23,43.16,43.38,42.96,43.35,16796400
2025-09-24,43.2,43.3851,42.96,43.18,21162380
2025-09-25,43.24,43.765,43.24,43.35,19012230
2025-09-26,43.65,43.71,43.45,43.61,12456190
2025-09-29,43.6,43.6527,43.09,43.25,15854460
2025-09-30,43.24,43.97,43.19,43.95,24399130
2025-10-01,43.915,44.09,43.45,43.83,19921920
2025-10-02,43.58,43.72,43.22,43.4,21550100
2025-10-03,43.44,43.9251,43.4,43.67,18016020
2025-10-06,43.25,43.38,41.35,41.44,75944200
2025-10-07,41.61,41.86,41.34,41.4,34001260
2025-10-08,41.54,41.54,41.06,41.32,35601010
2025-10-09,41.35,41.36,40.73,40.83,34868200
2025-10-10,40.25,40.6056,39.815,39.85,38107730
2025-10-13,39.75,40.155,39.405,39.75,26453700
2025-10-14,39.8,40.58,39.76,40.55,22346070
2025-10-15,40.42,40.555,40.24,40.38,18233200
2025-10-16,40.415,40.57,40.18,40.36,16751220
2025-10-17,40.5,40.655,40.21,40.55,20523460
2025-10-20,40.7,40.87,40.35,40.8,28079200
2025-10-21,40.63,40.78,40.13,40.3,29881680
2025-10-22,39.57,40.21,38.92,39.8,31009460
2025-10-23,39.785,39.86,38.39,38.4,52663610
2025-10-24,38.595,38.92,38.54,38.82,27485690
2025-10-27,38.805,39.285,38.765,39.23,27487200
2025-10-28,39.15,39.52,38.95,39.32,30719190
2025-10-29,40.93,41.32,39.67,40.21,53730190
2025-10-30,40.02,40.1932,38.77,38.96,47371040
2025-10-31,38.98,39.96,38.7802,39.74,52181780
2025-11-03,39.51,39.61,38.835,39.47,39851080
2025-11-04,39.565,39.67,39.1745,39.32,33632760
2025-11-05,39.33,39.77,39.26,39.69,22947110
