date,open,high,low,close,volume
2025-09-02,78.515,81.935,77.9,81.91,5777791
2025-09-03,84.1,86.275,83.34,86.0,12194810
2025-09-04,86.39,90.9,85.92,90.49,13542550
2025-09-05,92.49,93.1,91.43,92.04,20310360
2025-09-08,92.54,93.5,91.65,93.29,8499368
2025-09-09,93.0,95.365,92.7,94.54,7195030
2025-09-10,95.885,96.18,93.92,95.02,8398437
2025-09-11,96.87,97.78,94.412,96.15,6985090
2025-09-12,96.21,98.855,95.98,97.66,6753128
2025-09-15,100.445,103.78,100.0,102.39,12523270
2025-09-16,102.53,103.98,101.435,103.09,8734852
2025-09-17,102.225,102.3968,99.72,100.94,8787619
2025-09-18,102.455,106.11,102.0,105.15,10389070
2025-09-19,105.88,107.18,105.32,106.63,11030710
2025-09-22,107.21,112.83,107.21,112.41,9686251
2025-09-23,112.48,113.755,109.4,110.25,7375492
2025-09-24,110.835,112.81,108.91,109.69,8412662
2025-09-25,106.62,108.7,106.29,107.21,8499398
2025-09-26,107.47,108.06,105.42,106.88,5520034
2025-09-29,112.02,118.137,111.83,116.74,14023940
2025-09-30,117.805,122.5899,117.45,120.06,13861680
2025-10-01,118.175,131.12,117.51,130.59,18540370
2025-10-02,136.01,137.4,128.425,131.26,15306190
2025-10-03,131.74,136.215,129.93,131.31,8465883
2025-10-06,135.0,136.197,124.94,125.28,13060320
2025-10-07,127.465,127.64,117.81,119.93,13674280
2025-10-08,120.77,123.3,119.4125,121.18,7191700
2025-10-09,119.78,120.84,118.0,119.7,6234317
2025-10-10,120.0,121.945,115.03,115.42,7046192
2025-10-13,122.25,122.56,116.01,118.86,8388922
2025-10-14,116.11,117.2799,112.5201,113.13,7844193
2025-10-15,116.7,120.64,113.5,120.44,9943256
2025-10-16,123.27,130.4,122.4034,125.92,13878590
2025-10-17,124.87,129.121,123.4501,126.2,6868360
2025-10-20,128.94,132.0,119.85,121.53,10172200
2025-10-21,121.47,121.99,119.6,121.41,4594429
2025-10-22,121.17,125.12,117.23,120.47,9033809
2025-10-23,121.95,126.72,121.715,125.72,7263499
2025-10-24,129.4,133.54,129.03,129.43,6546406
2025-10-27,133.0,133.1,123.22,126.67,7249286
2025-10-28,126.7,126.82,121.85,124.92,7031914
2025-10-29,131.43,145.68,131.25,141.38,18267280
2025-10-30,137.755,141.997,135.01,138.13,13870670
2025-10-31,155.5,157.65,140.15,150.21,20139880
2025-11-03,152.07,160.21,148.05,158.02,13275430
2025-11-04,151.34,155.18,150.02,152.18,8870901
2025-11-05,153.2,165.39,152.98,160.1,9749041
2025-11-06,159.99,167.5,159.8,163.6,8419228
2025-11-07,159.76,163.24,152.81,162.955,9652820
2025-11-10,169.97,176.2257,169.32,174.22,11230740
2025-11-11,171.55,178.45,169.64,169.99,9244008
2025-11-12,169.73,175.62,165.03,166.11,9868282
2025-11-13,162.45,164.8823,154.775,157.16,10238580
2025-11-14,150.58,161.68,150.08,157.83,9677838
2025-11-17,155.505,167.49,155.505,162.45,8774234
2025-11-18,158.355,161.32,150.75,152.86,9321346
2025-11-19,152.86,156.6358,150.08,153.97,6499050
2025-11-20,162.679,163.78,137.6314,140.23,11373600
2025-11-21,140.535,141.491,132.43,139.19,11191150
2025-11-24,142.545,152.7038,142.545,150.93,10818360
2025-11-25,150.0,156.01,147.7,155.41,5467674
2025-11-26,156.98,161.3099,156.36,157.74,4853810
2025-11-28,160.0,163.67,156.79,163.33,3232095
2025-12-01,160.2,165.25,157.23,163.54,7882228
2025-12-02,167.0,169.72,156.27,159.99,7657422
2025-12-03,159.52,159.545,151.42,155.59,6756420
2025-12-04,154.91,161.53,153.0101,161.0,6303310
2025-12-05,162.0,169.47,162.0,168.89,5815322
2025-12-08,170.93,173.0,166.75,169.78,4272221
2025-12-09,169.7,171.8452,166.88,169.54,3709875
2025-12-10,169.705,182.47,168.9044,181.95,7966039
2025-12-11,176.815,188.77,173.446,187.2,7468934
2025-12-12,184.34,185.82,170.02,176.34,9677928
2025-12-15,178.29,180.98,171.82,172.04,5781864
2025-12-16,172.08,177.38,170.744,174.575,5857022
2025-12-17,179.9,181.6675,165.4699,166.26,6693053
2025-12-18,174.8,181.4899,174.4264,175.01,9147140
2025-12-19,176.83,185.27,175.68,181.08,36269620
2025-12-22,186.465,187.18,171.849,176.76,8685192
2025-12-23,175.52,178.4,174.5,178.25,3721139
2025-12-24,179.205,182.55,177.775,179.56,3067019
2025-12-26,182.31,182.52,178.185,181.54,3351619
2025-12-29,179.0,184.7699,176.7,179.68,3906335
2025-12-30,180.27,181.46,175.2626,176.06,6007987
