date,open,high,low,close,volume
2025-09-02,17.12,17.135,16.925,17.13,851351
2025-09-03,16.99,17.065,16.785,16.8,492739
2025-09-04,16.81,16.81,16.711,16.73,724528
2025-09-05,16.73,16.75,16.5,16.65,678409
2025-09-08,16.55,16.555,16.26,16.35,697499
2025-09-09,16.33,16.471,16.22,16.23,905399
2025-09-10,16.34,16.535,16.34,16.53,785981
2025-09-11,16.46,16.67,16.45,16.64,705868
2025-09-12,16.22,16.34,16.035,16.06,833628
2025-09-15,16.15,16.17,16.0705,16.13,389168
2025-09-16,16.25,16.37,16.21,16.37,837817
2025-09-17,16.35,16.36,16.095,16.18,1152583
2025-09-18,15.42,15.43,15.28,15.28,1363983
2025-09-19,15.25,15.25,15.09,15.14,898968
2025-09-22,15.16,15.16,15.01,15.08,768531
2025-09-23,15.22,15.32,15.12,15.13,1087684
2025-09-24,15.08,15.38,15.08,15.34,884271
2025-09-25,15.33,15.465,15.32,15.46,751587
2025-09-26,15.43,15.44,15.305,15.35,784262
2025-09-29,15.335,15.335,15.1,15.1,801558
2025-09-30,15.08,15.08,14.985,15.05,764757
2025-10-01,15.08,15.18,15.065,15.16,495342
2025-10-02,15.14,15.16,14.93,14.96,714044
2025-10-03,15.12,15.29,15.1,15.25,598190
2025-10-06,15.28,15.36,15.225,15.32,571856
2025-10-07,15.21,15.27,15.105,15.21,670265
2025-10-08,15.13,15.13,15.005,15.09,509653
2025-10-09,15.12,15.145,14.7713,14.79,783483
2025-10-10,14.71,14.75,14.2742,14.28,945821
2025-10-13,14.51,14.54,14.38,14.48,665052
2025-10-14,14.28,14.515,14.27,14.45,765648
2025-10-15,14.56,14.655,14.46,14.54,614811
2025-10-16,14.67,14.75,14.495,14.55,737746
2025-10-17,14.42,14.465,14.315,14.44,644051
2025-10-20,14.48,14.575,14.445,14.51,586618
2025-10-21,14.52,14.56,14.375,14.46,703292
2025-10-22,15.005,15.355,14.99,15.27,1400126
2025-10-23,15.75,15.985,15.735,15.93,1069076
2025-10-24,15.94,16.0,15.89,15.89,546075
2025-10-27,16.08,16.14,16.05,16.12,712826
2025-10-28,15.91,15.92,15.82,15.87,558178
2025-10-29,15.98,16.1,15.915,15.97,620451
2025-10-30,16.02,16.11,15.94,16.01,512579
2025-10-31,16.18,16.305,16.125,16.21,705418
2025-11-03,16.3,16.4,16.185,16.4,1143365
2025-11-04,16.14,16.285,16.065,16.26,603245
