date,open,high,low,close,volume
2025-09-02,39.19,39.19,38.595,38.9,913755
2025-09-03,38.87,38.98,38.18,38.29,948620
2025-09-04,38.32,38.65,38.16,38.47,847940
2025-09-05,38.33,38.5,37.78,38.04,1735105
2025-09-08,38.11,38.215,37.84,37.94,983419
2025-09-09,37.9,38.59,37.9,38.08,1007276
2025-09-10,38.08,38.75,38.04,38.28,848280
2025-09-11,38.51,38.51,38.04,38.37,1223662
2025-09-12,38.57,38.78,38.35,38.35,963279
2025-09-15,38.45,38.69,38.035,38.04,1152289
2025-09-16,38.25,38.455,38.04,38.29,945255
2025-09-17,38.305,38.67,38.185,38.31,1279473
2025-09-18,38.49,38.6899,38.27,38.52,771241
2025-09-19,38.36,38.505,38.015,38.37,2234025
2025-09-22,38.37,38.45,38.1,38.31,1389576
2025-09-23,38.4,38.6274,38.3,38.54,952494
2025-09-24,38.57,39.25,38.54,39.2,1144162
2025-09-25,39.29,39.37,38.91,39.36,1313103
2025-09-26,39.38,39.95,39.38,39.42,1596004
2025-09-29,39.65,39.69,38.25,38.44,1828238
2025-09-30,38.36,39.38,38.25,39.29,2739830
2025-10-01,39.26,39.735,39.17,39.28,2024400
2025-10-02,39.74,39.74,38.865,38.91,1396411
2025-10-03,39.02,39.1799,38.52,38.61,2241714
2025-10-06,38.76,38.83,37.93,37.97,2388842
2025-10-07,38.14,38.62,38.01,38.6,1511848
2025-10-08,38.79,39.4,38.635,39.21,1752264
2025-10-09,39.0,39.2675,38.31,38.31,2499380
2025-10-10,38.21,38.53,37.24,37.26,2231614
2025-10-13,37.6,37.72,37.18,37.65,1728624
2025-10-14,37.34,37.72,37.13,37.34,4336394
2025-10-15,37.39,38.12,37.39,37.72,1921946
2025-10-16,37.8,38.015,37.42,37.63,1599673
2025-10-17,37.65,37.83,37.37,37.74,1234236
2025-10-20,37.92,38.11,37.8,38.08,2191631
2025-10-21,38.11,38.138,37.48,37.6,3537967
2025-10-22,37.65,38.435,37.445,38.36,2428599
2025-10-23,38.75,39.06,38.39,38.95,2046180
2025-10-24,38.9,39.1,38.3,38.34,1167817
2025-10-27,38.63,38.82,38.5,38.65,1067341
2025-10-28,38.77,38.92,38.22,38.78,1070049
2025-10-29,38.7,38.89,38.22,38.28,1650971
2025-10-30,38.41,38.62,38.18,38.48,1246354
2025-10-31,37.53,37.71,37.22,37.47,1389908
2025-11-03,37.39,37.57,36.9,37.45,1406332
2025-11-04,37.21,37.635,37.1,37.34,1280780
2025-11-05,37.01,38.52,37.01,38.25,1710757
2025-11-06,38.56,38.56,37.9,38.52,904824
2025-11-07,37.8,39.45,37.75,38.99,2662625
2025-11-10,39.21,39.49,38.79,39.17,2044495
2025-11-11,39.01,39.65,38.985,39.65,1585513
2025-11-12,39.55,39.74,38.71,38.91,2429369
2025-11-13,38.85,39.11,38.44,38.59,1290344
2025-11-14,38.98,39.19,38.51,38.69,2913084
2025-11-17,38.74,39.3899,38.74,39.0,1431417
2025-11-18,38.83,39.355,38.81,39.03,1179790
2025-11-19,38.86,39.275,38.63,39.0,898558
2025-11-20,39.01,39.3,38.655,38.91,1369457
2025-11-21,39.0,39.05,38.6,38.96,880877
2025-11-24,39.21,39.21,38.6818,38.93,1213467
2025-11-25,38.93,39.315,38.77,39.0,1378197
2025-11-26,39.07,39.46,39.0,39.0,1289820
2025-11-28,39.12,39.73,39.12,39.33,944263
2025-12-01,39.1,39.56,39.1,39.33,1506226
2025-12-02,39.43,39.43,38.785,38.79,905810
2025-12-03,39.12,39.401,38.97,39.23,2817273
2025-12-04,39.42,40.48,39.255,40.3,2004648
2025-12-05,40.3,40.5699,39.73,39.99,1699910
2025-12-08,40.03,40.0399,39.12,39.28,1787064
2025-12-09,39.38,39.53,38.765,38.86,1393625
2025-12-10,38.97,39.1625,38.55,38.83,816382
2025-12-11,38.85,39.39,38.59,38.62,1260044
2025-12-12,38.71,39.58,38.68,39.41,1195143
2025-12-15,39.55,39.82,39.31,39.52,1459776
2025-12-16,39.47,39.47,38.77,38.8,1308318
2025-12-17,39.07,39.39,38.89,39.19,805146
2025-12-18,39.24,39.53,38.99,39.15,1067892
2025-12-19,39.2,39.315,39.0,39.07,1644371
2025-12-22,39.42,39.71,39.1,39.54,864781
2025-12-23,39.66,39.73,39.395,39.47,557478
2025-12-24,39.26,39.81,39.26,39.56,352042
2025-12-26,39.7,39.7,39.06,39.13,616823
2025-12-29,39.27,39.52,39.235,39.36,550186
2025-12-30,39.39,39.74,39.39,39.62,728960
2025-12-31,39.6,39.615,39.32,39.5,870967
2026-01-02,39.69,39.94,39.12,39.72,897264
2026-01-05,40.0,40.28,39.2,39.93,1422858
2026-01-06,40.01,40.37,39.57,39.57,1237960
2026-01-07,39.76,40.0,39.445,39.62,915614
2026-01-08,39.75,40.55,39.75,40.39,1123785
2026-01-09,40.64,41.5,40.6083,41.24,1611643
2026-01-12,41.2,41.94,41.2,41.38,1004549
2026-01-13,41.52,42.39,41.41,42.16,1097346
2026-01-14,42.07,42.8,42.07,42.23,1502184
2026-01-15,42.01,42.24,41.35,41.67,1086571
2026-01-16,41.72,42.14,41.37,41.61,846280
2026-01-20,41.79,41.87,39.99,40.67,2686221
2026-01-21,41.04,41.6085,40.32,40.52,1508650
2026-01-22,40.67,41.14,40.61,40.83,1248506
2026-01-23,41.06,41.31,40.675,40.74,1088198
2026-01-26,41.24,41.36,40.34,40.62,1232331
2026-01-27,40.7,41.13,40.27,40.97,1047339
2026-01-28,41.02,41.43,40.77,41.11,1584056
2026-01-29,41.52,42.22,41.2085,41.78,1535403
2026-01-30,41.79,41.8499,40.65,41.46,1915561
2026-02-02,39.75,40.35,39.52,40.12,1382900
2026-02-03,39.89,40.38,39.69,40.3,1081924
2026-02-04,40.49,41.27,40.29,41.08,1463897
2026-02-05,40.88,41.26,40.29,41.26,749387
2026-02-06,41.28,41.57,41.0,41.12,772281
2026-02-09,41.09,41.58,41.0,41.29,740040
2026-02-10,41.65,41.76,41.215,41.7,446571
2026-02-11,41.85,42.76,41.805,42.45,1106242
2026-02-12,42.64,43.05,41.7,42.35,1388110
2026-02-13,42.35,43.65,42.09,43.43,1333464
2026-02-17,43.65,44.34,42.85,43.73,2819229
2026-02-18,43.99,44.74,43.58,43.9,1093101
2026-02-19,40.51,41.685,39.51,41.49,5279074
2026-02-20,41.5,41.73,40.7,41.1,1966711
2026-02-23,41.05,41.46,40.75,41.2,1468014
2026-02-24,41.26,41.4799,40.62,40.98,1402475
2026-02-25,41.06,41.15,40.5,40.98,1098902
2026-02-26,40.75,41.27,40.4559,41.17,1497256
2026-02-27,41.48,41.72,40.98,41.59,1808909
2026-03-02,42.08,42.29,41.78,42.09,1341155
2026-03-03,42.09,42.49,41.26,41.6,1819676
2026-03-04,41.69,42.335,41.27,42.28,1641329
2026-03-05,42.27,43.21,41.91,42.19,1483297
2026-03-06,42.5,42.68,41.69,41.71,1308566
2026-03-09,41.75,41.8,40.93,41.33,1762250
2026-03-10,41.19,41.21,40.07,40.09,2013532
2026-03-11,40.15,40.95,40.06,40.59,1678398
2026-03-12,40.75,40.84,40.2,40.67,2228575
2026-03-13,40.52,41.185,40.52,40.82,1213317
2026-03-16,40.99,41.37,40.6,41.01,1353451
2026-03-17,41.28,41.6587,41.155,41.46,1123616
