date,open,high,low,close,volume
2025-09-02,138.78,139.755,136.76,137.33,1361557
2025-09-03,137.55,144.82,136.33,144.65,1425246
2025-09-04,143.74,147.53,138.3564,147.15,1919811
2025-09-05,149.21,154.62,148.375,153.1,1820712
2025-09-08,150.5,159.44,147.19,153.08,4305091
2025-09-09,151.75,167.46,151.49,167.04,7488353
2025-09-10,167.21,167.75,161.7501,164.04,2973134
2025-09-11,164.205,172.08,163.64,169.45,2467380
2025-09-12,170.0,171.985,167.27,171.63,2007354
2025-09-15,171.55,175.86,170.22,170.87,2350262
2025-09-16,173.1,181.38,169.775,178.0,2435197
2025-09-17,178.38,182.76,177.2,180.99,1831418
2025-09-18,181.65,190.93,181.65,183.3,2940156
2025-09-19,177.89,183.765,174.94,182.115,1915517
2025-09-22,181.89,185.18,179.1248,184.24,936389
2025-09-23,185.99,185.99,175.79,177.93,1208757
2025-09-24,178.39,182.3,176.3,181.46,1068138
2025-09-25,180.0,180.0,173.28,173.595,2243197
2025-09-26,176.23,177.87,172.96,177.42,1189010
2025-09-29,180.01,181.11,176.25,180.68,1322953
2025-09-30,179.68,180.015,172.09,177.63,2156767
2025-10-01,177.0,180.99,151.0301,153.79,5149899
2025-10-02,154.21,160.74,153.04,153.66,1641064
2025-10-03,154.04,155.47,149.6972,151.77,1551907
2025-10-06,151.52,153.5,140.4,146.15,2677184
2025-10-07,146.5,146.9086,137.3,138.03,2185476
2025-10-08,137.72,138.49,134.91,135.08,1315407
2025-10-09,134.85,141.2899,133.7501,138.72,1571928
2025-10-10,138.87,140.2156,133.35,134.15,1017000
2025-10-13,136.22,136.935,134.19,136.16,1463514
2025-10-14,133.6,139.36,132.5,138.03,1659432
2025-10-15,140.37,140.37,132.86,135.66,1283865
2025-10-16,136.54,138.5,132.17,132.44,913133
2025-10-17,132.58,135.468,129.39,130.82,1585732
2025-10-20,132.36,138.1,132.36,137.58,1222411
2025-10-21,135.75,138.64,133.59,133.8,1452761
2025-10-22,133.03,139.45,132.49,135.58,1207964
2025-10-23,137.44,140.67,135.02,140.26,1340738
2025-10-24,141.88,143.0,138.335,140.91,1347285
2025-10-27,142.56,144.12,138.3,139.35,812388
2025-10-28,138.77,142.75,137.24,140.65,1071912
2025-10-29,141.38,142.88,134.54,135.89,1412707
2025-10-30,134.46,137.535,134.36,135.26,823998
2025-10-31,137.08,148.33,136.67,145.54,2459051
2025-11-03,145.0,146.36,142.63,143.17,850088
2025-11-04,141.73,141.73,137.31,139.07,1042544
2025-11-05,138.38,140.33,137.83,139.5,788077
2025-11-06,139.4,139.4,134.13,136.39,1182878
2025-11-07,135.0,136.96,133.06,135.93,1482425
2025-11-10,136.72,137.62,129.777,131.35,1358634
2025-11-11,130.58,136.8013,130.58,132.97,941877
2025-11-12,133.23,135.0,131.0,132.59,589241
2025-11-13,130.77,134.09,126.57,126.92,910163
2025-11-14,125.85,128.21,124.74,125.29,1224062
2025-11-17,125.745,129.4,123.71,124.22,1984009
2025-11-18,124.0,128.74,123.9,126.92,2731857
2025-11-19,105.375,111.4995,99.31,101.7,8145525
2025-11-20,102.98,103.685,96.88,99.47,2638636
2025-11-21,100.0,100.0,93.5,95.51,3311704
2025-11-24,96.29,96.29,92.23,93.31,2945117
2025-11-25,93.65,96.92,92.5,94.48,1439709
2025-11-26,95.6,96.35,92.7034,95.77,1596772
2025-11-28,96.37,97.7,95.5,95.71,1154243
2025-12-01,94.29,97.2152,93.5049,95.19,1333541
2025-12-02,95.53,97.06,94.34,95.86,1155985
2025-12-03,95.75,103.72,95.46,102.76,1696315
2025-12-04,102.93,104.46,102.0,102.64,1341365
2025-12-05,103.1,105.0,99.87,100.22,875323
2025-12-08,100.84,102.493,99.495,100.5,857902
2025-12-09,100.34,106.37,100.2525,105.69,1206695
2025-12-10,104.49,106.535,103.0,105.15,1056014
2025-12-11,105.25,107.25,102.5,102.71,1493838
2025-12-12,103.31,105.481,101.12,101.87,1003157
2025-12-15,101.27,101.29,97.12,97.75,1181626
2025-12-16,97.5,104.22,97.475,101.95,1407986
2025-12-17,102.46,108.7,102.2,104.04,1411963
2025-12-18,104.44,107.77,102.68,104.19,1709448
2025-12-19,105.54,105.54,102.02,104.43,1570549
2025-12-22,104.78,106.86,104.05,106.45,777905
2025-12-23,105.12,105.775,102.3,104.71,760127
2025-12-24,103.99,106.155,103.91,105.43,588007
2025-12-26,105.31,106.15,104.79,105.5,656130
2025-12-29,105.0,106.31,104.45,104.98,692186
2025-12-30,104.16,105.105,103.0036,103.43,870628
2025-12-31,103.01,104.4,102.0,103.89,822845
2026-01-02,104.51,106.43,100.67,100.97,1110440
2026-01-05,101.01,104.65,100.705,101.38,1377676
2026-01-06,101.9,102.19,99.55,101.25,1348589
2026-01-07,102.0,102.88,99.72,100.08,1152875
2026-01-08,99.5,100.08,95.27,97.44,1664044
2026-01-09,98.0,98.08,95.33,95.84,799392
2026-01-12,95.03,95.2,91.7,92.04,2019729
2026-01-13,92.49,93.185,88.42,90.33,1536987
2026-01-14,89.75,90.73,86.175,88.02,1575239
2026-01-15,88.19,88.5,83.65,83.77,1841448
2026-01-16,83.51,84.718,80.06,80.16,2189541
2026-01-20,76.81,78.63,75.0,76.24,2428815
2026-01-21,78.1,80.5,76.85,79.74,2718529
2026-01-22,81.705,86.18,81.46,84.56,2791427
2026-01-23,84.81,89.75,84.66,88.48,2231144
2026-01-26,88.5,89.8,85.78,89.73,1525027
2026-01-27,90.08,90.5,85.96,87.96,1283491
2026-01-28,96.06,96.82,91.25,93.04,3221507
2026-01-29,91.97,93.5,87.0,89.97,1721493
2026-01-30,88.64,88.75,85.65,86.84,1795100
2026-02-02,85.99,86.73,82.87,83.1,1839892
2026-02-03,81.5,82.205,76.04,77.45,2393328
2026-02-04,77.28,80.71,73.53,79.28,3352055
2026-02-05,78.845,80.06,74.51,75.45,2222481
2026-02-06,76.08,76.84,72.125,75.42,2480173
2026-02-09,75.46,76.855,71.225,76.24,2940762
2026-02-10,76.48,78.345,74.74,75.35,1997638
2026-02-11,76.62,76.62,70.03,72.1,2411412
2026-02-12,73.18,73.19,67.66,70.95,2804260
2026-02-13,70.96,71.94,68.905,69.23,1754653
2026-02-17,67.855,68.82,66.2,68.07,1670203
2026-02-18,68.5,70.19,67.0,68.77,1927464
2026-02-19,68.14,68.46,65.45,66.72,2124155
2026-02-20,66.41,69.92,65.82,66.9,1473513
2026-02-23,65.5,66.01,62.58,62.8,2516904
2026-02-24,62.93,66.59,62.2,65.49,2424754
2026-02-25,63.505,65.9799,60.22,65.61,3661559
2026-02-26,66.91,72.3999,66.65,71.31,2864125
2026-02-27,69.55,70.68,68.5,70.46,7384308
2026-03-02,69.72,75.12,69.45,72.56,2969832
2026-03-03,71.75,75.34,70.01,74.36,2750608
2026-03-04,73.34,86.35,72.53,83.78,6282029
2026-03-05,89.14,93.78,88.5,92.94,4982471
2026-03-06,91.5,94.83,90.88,93.89,2888205
2026-03-09,91.73,93.42,90.5801,92.0,2683816
2026-03-10,92.0,93.175,88.91,90.09,3028898
2026-03-11,90.57,91.29,87.01,89.91,2946905
2026-03-12,89.49,90.81,86.885,86.91,1790281
2026-03-13,87.36,88.39,85.52,88.09,1818531
2026-03-16,88.0,89.78,87.43,87.96,2183155
2026-03-17,87.83,91.75,87.63,89.52,2159890
2026-03-18,88.8,91.0,88.5,90.43,1854005
2026-03-19,89.4,92.5,88.93,89.7,2418344
2026-03-20,89.03,89.96,87.7,88.43,2520115
2026-03-23,88.61,90.72,88.09,89.46,2308265
