date,open,high,low,close,volume
2025-09-02,80.48,82.1,76.2901,77.29,1608455
2025-09-03,77.25,78.265,76.65,77.78,686771
2025-09-04,76.79,77.545,75.9,76.05,658283
2025-09-05,77.46,80.16,77.235,79.93,855400
2025-09-08,79.77,81.665,78.96,81.37,875963
2025-09-09,81.01,81.195,77.18,77.18,754733
2025-09-10,77.92,78.38,75.07,75.62,802843
2025-09-11,76.62,78.595,75.82,78.44,424822
2025-09-12,78.14,78.68,76.47,77.48,645129
2025-09-15,77.58,79.17,77.33,78.26,1028908
2025-09-16,78.26,79.455,77.545,79.16,816104
2025-09-17,79.7,82.24,79.36,81.39,733465
2025-09-18,82.07,83.07,80.4,80.54,642953
2025-09-19,79.83,80.41,78.97,79.66,1335193
2025-09-22,79.55,83.71,78.55,82.76,748875
2025-09-23,82.95,84.02,82.3601,83.37,733549
2025-09-24,83.86,85.14,83.08,83.88,758771
2025-09-25,83.12,84.21,81.88,83.73,846462
2025-09-26,83.86,85.92,83.5,85.79,773234
2025-09-29,86.2,93.0,84.96,85.21,1019473
2025-09-30,86.52,86.52,83.81,86.08,863698
2025-10-01,86.08,86.59,82.68,84.08,864018
2025-10-02,84.23,87.47,83.81,87.46,817945
2025-10-03,87.5,88.37,86.69,87.8,582692
2025-10-06,88.33,89.19,86.51,88.91,675011
2025-10-07,89.07,89.34,84.81,85.57,1237516
2025-10-08,86.25,88.82,84.81,88.75,460184
2025-10-09,88.26,88.65,86.5,87.11,707213
2025-10-10,87.81,88.0,86.04,86.96,1893259
2025-10-13,86.52,89.23,85.0301,88.5,1098527
2025-10-14,87.44,88.94,85.52,87.48,1075879
2025-10-15,88.26,88.48,85.56,86.28,786838
2025-10-16,86.87,88.5,86.36,87.25,1023320
2025-10-17,86.2,88.26,86.2,87.79,486527
2025-10-20,88.5,89.7277,88.27,89.53,611038
2025-10-21,89.25,91.52,89.25,91.05,536424
2025-10-22,90.56,91.2238,88.53,88.53,828624
2025-10-23,88.48,89.76,86.16,89.68,354376
2025-10-24,90.57,91.69,89.15,89.19,435937
2025-10-27,89.23,90.46,87.99,88.52,542273
2025-10-28,88.75,89.735,88.49,88.97,672122
2025-10-29,88.69,89.54,85.55,86.72,694047
2025-10-30,86.15,87.81,85.9,86.53,471654
2025-10-31,86.21,87.075,84.0,85.01,959232
2025-11-03,85.32,85.38,83.63,84.83,646648
2025-11-04,84.16,84.43,81.43,81.87,633764
2025-11-05,82.18,83.22,81.05,82.11,904356
2025-11-06,95.16,97.095,86.675,86.91,1499683
2025-11-07,85.13,89.12,84.48,89.0,894933
2025-11-10,90.0,90.305,88.215,89.15,660234
2025-11-11,89.09,93.715,88.675,93.31,829924
2025-11-12,93.11,95.0,91.71,93.08,807547
2025-11-13,91.88,93.43,90.48,91.23,846755
2025-11-14,90.24,91.77,89.98,91.03,500621
2025-11-17,91.02,91.02,88.695,89.05,530065
2025-11-18,88.92,90.7,88.36,90.7,596861
2025-11-19,90.47,91.1,88.76,88.82,630784
2025-11-20,89.29,89.6,87.43,87.81,433740
2025-11-21,88.01,90.945,87.28,90.51,487591
2025-11-24,90.38,91.33,89.56,91.33,517551
2025-11-25,91.23,93.44,90.32,92.97,442194
2025-11-26,92.52,92.93,90.9452,92.26,350599
2025-11-28,92.01,92.88,91.405,92.56,207396
2025-12-01,91.95,92.78,90.24,90.72,733548
2025-12-02,91.18,91.755,89.69,90.73,870733
2025-12-03,91.19,92.16,89.865,92.08,1039969
2025-12-04,92.69,93.0228,90.87,92.15,796745
2025-12-05,91.89,93.71,91.105,92.37,459736
2025-12-08,92.47,93.1451,91.44,91.76,413670
2025-12-09,91.59,92.495,90.93,91.0,783504
2025-12-10,90.71,91.74,86.35,88.5,597371
2025-12-11,88.47,89.39,85.62,85.78,716227
2025-12-12,86.0,88.455,85.1,87.33,748609
2025-12-15,87.26,88.22,85.24,86.3,699834
2025-12-16,86.25,87.61,85.8,87.38,540288
2025-12-17,88.18,90.39,87.15,87.58,628309
2025-12-18,88.16,88.82,87.775,88.11,786712
2025-12-19,88.17,89.165,86.68,87.93,800551
2025-12-22,87.78,89.21,87.21,88.25,311468
2025-12-23,87.65,89.035,86.7,88.22,458186
2025-12-24,87.8,88.17,86.85,87.5,260858
2025-12-26,87.55,87.7571,86.87,87.45,226416
2025-12-29,87.15,87.815,86.31,86.7,880007
2025-12-30,86.44,86.9,85.81,86.28,492132
2025-12-31,86.1,86.545,85.39,86.25,304869
2026-01-02,86.04,86.04,82.635,82.97,784246
2026-01-05,82.6,85.32,82.0001,84.11,1587986
2026-01-06,84.8,87.995,83.85,86.63,1652560
2026-01-07,87.3,92.185,86.83,91.44,1181057
2026-01-08,90.45,90.935,88.99,90.08,532339
2026-01-09,89.88,90.325,87.6471,89.51,386414
2026-01-12,89.59,89.5925,88.04,89.27,465496
2026-01-13,89.84,89.84,87.36,88.34,676761
2026-01-14,87.8,89.52,84.865,86.27,459949
2026-01-15,86.27,86.805,84.4208,84.75,481163
2026-01-16,84.83,86.2,83.715,85.72,461038
2026-01-20,84.62,85.7499,83.62,83.96,442258
