date,open,high,low,close,volume
2025-09-02,226.415,226.85,223.7327,225.73,2548920
2025-09-03,224.99,226.27,222.935,224.41,1636474
2025-09-04,224.58,226.24,224.1069,224.95,1517477
2025-09-05,224.54,224.85,218.66,220.06,2113290
2025-09-08,220.01,220.605,217.87,219.05,1509537
2025-09-09,218.74,219.37,217.1,219.16,1520602
2025-09-10,218.36,219.3502,216.825,217.69,1183600
2025-09-11,217.58,220.79,215.45,220.5,1841281
2025-09-12,219.76,220.67,217.56,218.16,1087268
2025-09-15,218.61,219.08,216.01,216.13,1299667
2025-09-16,216.14,216.525,213.71,213.88,2126489
2025-09-17,214.495,217.15,214.0,215.66,1375800
2025-09-18,214.86,216.96,214.26,215.92,1142805
2025-09-19,216.95,217.665,216.0,216.4,2837696
2025-09-22,216.53,217.5,215.67,216.99,1424301
2025-09-23,216.42,218.36,215.2029,218.23,1480584
2025-09-24,217.92,220.37,216.9,219.42,1558006
2025-09-25,220.46,221.62,217.14,217.16,1901100
2025-09-26,218.15,220.69,217.56,218.69,1413826
2025-09-29,218.86,219.8066,217.59,219.43,1073260
2025-09-30,218.85,221.58,218.795,220.83,1814793
2025-10-01,220.38,221.25,218.175,219.87,1583106
2025-10-02,218.975,219.05,216.58,216.91,1810350
2025-10-03,216.5,221.01,216.04,219.76,1176815
2025-10-06,219.27,220.0,217.015,217.69,1116838
2025-10-07,217.64,218.26,216.1501,217.56,1062209
2025-10-08,217.58,220.57,217.08,219.98,1269284
2025-10-09,219.42,219.9632,216.4451,217.53,1318824
2025-10-10,217.845,220.24,216.44,219.25,1566584
2025-10-13,217.47,218.79,216.52,217.09,1177976
2025-10-14,217.455,219.195,216.8,218.11,1379545
2025-10-15,217.595,217.77,213.0,213.69,1709556
2025-10-16,213.5,214.14,211.71,213.29,1195556
2025-10-17,214.13,216.12,213.64,215.48,1152685
2025-10-20,215.85,216.29,214.21,215.4,941293
2025-10-21,215.15,216.42,214.6001,214.89,1036282
2025-10-22,215.45,219.09,214.675,216.46,1469929
2025-10-23,217.88,217.88,214.01,216.11,1498126
2025-10-24,217.05,217.25,214.27,214.66,1850395
2025-10-27,215.28,215.28,212.97,213.77,2752967
2025-10-28,198.98,208.8,197.25,204.23,3979366
2025-10-29,203.79,203.79,197.0201,197.53,3665265
2025-10-30,197.995,201.42,197.44,200.57,2693147
2025-10-31,200.1,200.9999,198.75,199.77,2421149
2025-11-03,199.0,199.35,194.11,196.77,2259724
2025-11-04,198.91,200.8,197.46,200.68,2506761
2025-11-05,200.32,202.2,200.2701,200.54,2054388
2025-11-06,200.17,201.67,198.62,199.62,1811123
2025-11-07,200.8,202.3,199.86,201.92,1668563
2025-11-10,200.55,201.16,197.47,200.47,2175459
2025-11-11,201.64,203.707,201.02,203.27,1510467
2025-11-12,203.96,205.92,203.35,203.8,1666544
2025-11-13,204.0,207.44,203.56,204.51,2631728
2025-11-14,206.11,210.92,204.91,209.17,3446515
2025-11-17,209.07,209.638,207.49,207.97,1877071
2025-11-18,208.76,211.62,207.5,211.3,2459577
2025-11-19,211.88,217.07,211.595,215.66,4459025
2025-11-20,214.0,217.67,214.0,216.8,2880303
2025-11-21,216.88,218.385,214.62,216.62,2475123
2025-11-24,216.2,216.2,211.71,211.84,2599238
2025-11-25,213.5,216.65,212.485,216.23,1632121
2025-11-26,216.81,218.13,215.8325,217.35,1811415
2025-11-28,216.645,218.32,216.0,217.87,779656
2025-12-01,217.935,219.48,215.43,215.93,2809947
