date,open,high,low,close,volume
2025-09-02,97.23,97.85,96.51,97.85,15351290
2025-09-03,97.85,99.44,97.5,99.44,18995910
2025-09-04,99.91,101.35,99.65,100.93,15640900
2025-09-05,101.08,101.48,99.55,100.51,13748450
2025-09-08,100.85,102.36,100.42,102.28,13685740
2025-09-09,102.0,102.49,101.55,102.29,11819660
2025-09-10,101.95,102.4499,100.39,100.41,17934870
2025-09-11,100.99,102.775,100.28,102.65,15900790
2025-09-12,102.535,103.975,102.36,103.49,11641930
2025-09-15,103.65,103.98,103.405,103.69,10756880
2025-09-16,103.85,104.21,103.13,103.42,14481860
2025-09-17,103.73,106.11,103.73,104.27,25382020
2025-09-18,103.78,104.635,102.12,103.6,14869390
2025-09-19,103.81,103.94,102.09,102.33,34791570
2025-09-22,102.45,103.2,101.9211,102.82,12861950
2025-09-23,102.41,102.68,101.33,102.52,13158660
2025-09-24,103.04,103.47,102.475,102.73,11391830
2025-09-25,103.215,103.51,102.58,103.05,13366750
2025-09-26,102.875,103.49,102.47,103.16,11859270
2025-09-29,103.05,103.31,102.075,103.08,15477160
2025-09-30,103.0,103.935,102.72,103.06,13873390
2025-10-01,102.56,102.86,100.55,101.96,16142770
2025-10-02,101.45,102.135,99.87,101.7,15605360
2025-10-03,101.46,102.815,101.2,102.07,11867480
2025-10-06,101.88,103.065,101.58,102.7,13303560
2025-10-07,102.38,103.25,100.95,103.24,15538860
2025-10-08,103.02,103.26,102.15,102.9,13584080
2025-10-09,103.13,103.45,100.37,101.77,19508020
2025-10-10,102.05,103.6291,101.52,101.84,18519440
2025-10-13,101.37,102.45,101.07,102.12,10871180
2025-10-14,104.05,107.92,102.8921,107.21,30859500
2025-10-15,107.32,109.555,107.3,109.03,21416290
2025-10-16,109.2,109.575,105.66,106.47,16366170
2025-10-17,107.17,108.2,106.22,107.73,13735590
2025-10-20,107.85,108.25,106.61,107.05,10581220
2025-10-21,107.33,107.48,106.18,106.22,10899730
2025-10-22,106.55,107.765,105.655,107.14,12296490
2025-10-23,107.35,107.57,105.78,106.86,11408240
2025-10-24,107.07,107.165,105.51,106.17,10317960
2025-10-27,106.34,106.36,104.15,104.47,16375860
2025-10-28,104.06,104.14,103.05,103.17,13322990
2025-10-29,102.905,103.67,102.11,102.46,11986410
2025-10-30,102.2,103.37,101.96,102.23,14065080
2025-10-31,101.7,102.095,100.18,101.18,20237020
2025-11-03,100.815,101.8,100.4,101.59,14811690
2025-11-04,102.13,102.62,101.46,102.27,12636350
2025-11-05,101.74,102.675,100.85,101.47,13356820
2025-11-06,101.34,101.93,100.03,101.68,14866030
2025-11-07,102.13,102.97,101.73,102.59,17248720
2025-11-10,102.15,102.665,101.602,102.42,14507600
2025-11-11,102.5,103.74,102.32,103.44,13182140
2025-11-12,103.35,103.5981,102.663,103.44,12084410
2025-11-13,103.59,103.93,102.02,102.54,18088510
2025-11-14,100.2,102.49,98.88,102.48,23424210
2025-11-17,102.58,103.315,102.1001,102.95,15289370
2025-11-18,102.98,103.3428,101.38,101.39,17604460
2025-11-19,101.58,101.7101,99.68,100.61,22157030
2025-11-20,103.94,107.91,102.68,107.11,50375920
2025-11-21,107.98,108.15,104.7244,105.32,41420780
2025-11-24,105.36,106.27,103.76,104.06,42519160
2025-11-25,104.61,107.42,104.23,107.0,20212880
2025-11-26,107.2,109.59,107.17,109.1,17783280
2025-11-28,109.3,110.7,109.0,110.51,9846525
2025-12-01,110.51,111.755,110.36,111.53,17236750
2025-12-02,111.47,112.6475,110.79,112.41,18711770
2025-12-03,112.5,114.89,112.221,114.41,24478280
2025-12-04,113.62,114.885,113.1631,114.84,25905150
2025-12-05,114.73,116.27,114.675,115.11,23956430
2025-12-08,114.57,114.99,112.3,113.56,22700750
2025-12-09,113.95,115.72,113.021,115.06,24326690
2025-12-10,115.35,116.23,112.99,113.18,22859580
2025-12-11,113.14,115.87,112.85,115.52,21586640
2025-12-12,115.26,116.95,115.02,116.7,19092410
2025-12-15,116.925,117.45,115.64,116.79,18713740
2025-12-16,116.575,116.88,114.95,115.42,19642350
2025-12-17,115.2,116.3897,115.07,115.66,16177750
2025-12-18,115.01,116.48,114.61,114.83,21476680
2025-12-19,115.135,115.28,113.525,114.36,50043760
2025-12-22,114.01,114.32,112.22,112.6,21473910
2025-12-23,111.99,112.349,110.7,110.9,20319920
2025-12-24,110.9,111.71,110.55,111.61,9009629
2025-12-26,111.72,111.97,111.36,111.74,9003791
2025-12-29,111.59,112.78,111.57,112.53,12979570
2025-12-30,111.89,112.69,111.835,111.92,11730590
2025-12-31,111.73,112.25,111.315,111.41,11487430
2026-01-02,111.425,112.79,111.12,112.76,14306560
2026-01-05,112.82,113.73,112.1483,112.71,19557620
2026-01-06,112.4,114.79,111.99,114.34,20120820
2026-01-07,114.185,114.73,112.1,112.72,23306000
2026-01-08,111.29,113.47,109.8124,113.07,24058260
2026-01-09,112.255,115.455,112.255,114.53,21902860
2026-01-12,117.5,118.84,116.4115,117.97,49182080
2026-01-13,117.89,120.51,117.73,120.36,31222060
2026-01-14,120.19,121.235,119.03,120.04,32764040
2026-01-15,119.98,120.87,118.73,119.2,34559430
2026-01-16,118.67,120.6,116.9,119.7,415144600
2026-01-20,120.89,121.62,117.61,118.71,45333980
2026-01-21,118.075,120.49,117.545,119.36,34811700
2026-01-22,119.29,119.52,117.65,117.83,24547330
2026-01-23,118.17,118.61,117.1363,117.73,20806910
2026-01-26,117.81,118.85,117.39,117.64,19552230
2026-01-27,117.5,117.63,115.48,116.94,22968630
2026-01-28,116.635,117.4567,115.865,116.57,16342000
2026-01-29,116.45,117.655,116.07,117.41,16381110
2026-01-30,116.905,119.41,116.6,119.14,22215390
2026-02-02,119.5,124.2,119.05,124.06,31210060
2026-02-03,123.65,128.165,123.65,127.71,32018680
2026-02-04,128.13,129.41,127.09,128.0,27531790
2026-02-05,128.58,129.6,126.56,126.94,30517790
2026-02-06,127.29,131.7,127.05,131.18,26593430
2026-02-09,131.42,131.7899,128.09,129.02,27197290
2026-02-10,128.94,129.34,126.39,126.7,24661950
2026-02-11,126.695,129.74,126.63,128.77,19232140
2026-02-12,129.38,134.49,129.31,133.64,33382690
2026-02-13,132.7,134.65,131.75,133.89,24131180
2026-02-17,133.11,134.69,128.16,128.85,37995930
2026-02-18,128.13,128.865,125.77,126.62,36485000
2026-02-19,128.5,130.1,124.4,124.87,42993260
2026-02-20,123.0,123.48,121.05,122.99,35150950
2026-02-23,123.52,126.8,122.96,125.81,25662810
2026-02-24,125.9,128.04,124.91,126.75,20161160
2026-02-25,126.605,127.4,125.42,125.75,17345740
2026-02-26,125.98,127.33,123.94,124.42,18638350
2026-02-27,125.515,128.6,125.145,127.95,29205470
2026-03-02,127.46,128.75,127.05,127.1,17091520
2026-03-03,126.52,128.3683,125.67,127.91,16480390
2026-03-04,127.11,128.17,126.2401,127.81,16434130
2026-03-05,125.38,125.6792,121.65,123.31,28604880
2026-03-06,122.495,124.185,121.62,123.8,21553050
2026-03-09,123.689,124.505,122.5,124.34,19375940
2026-03-10,124.21,126.0988,123.35,125.12,18793640
2026-03-11,125.305,125.49,123.05,123.49,18176460
2026-03-12,122.295,125.39,122.28,125.33,21751580
2026-03-13,125.39,126.685,124.97,126.52,15194090
2026-03-16,126.76,126.98,124.83,125.99,20463180
2026-03-17,126.65,127.19,124.8601,125.08,19895030
2026-03-18,124.333,124.6099,121.83,121.98,19734860
2026-03-19,122.4,122.75,119.27,121.09,17927690
2026-03-20,120.63,121.3,118.02,119.02,57545640
2026-03-23,120.48,121.13,119.045,120.72,22181470
2026-03-24,120.625,124.11,120.49,122.05,17269590
2026-03-25,122.81,123.485,121.7784,123.06,16597270
2026-03-26,123.61,123.8,121.79,122.18,16442510
2026-03-27,122.03,124.27,121.82,122.89,16543340
2026-03-30,123.71,125.26,123.14,123.5,20428910
2026-03-31,123.43,125.0,122.84,124.28,21330350
2026-04-01,123.8,125.23,123.13,124.74,17039650
2026-04-02,125.15,125.9,124.15,125.79,11898350
2026-04-06,125.81,126.98,125.37,126.79,10850380
2026-04-07,126.19,126.36,121.79,122.49,16076010
2026-04-08,122.28,127.3,121.33,127.26,20194260
2026-04-09,127.085,129.69,126.82,129.13,13853070
2026-04-10,128.715,128.928,126.22,126.77,13893960
2026-04-13,126.29,126.3,123.95,124.57,14510630
2026-04-14,123.15,125.2,122.545,125.05,15320780
2026-04-15,124.63,125.07,123.1799,124.76,17001400
2026-04-16,124.33,125.94,123.965,124.82,18324540
2026-04-17,124.57,127.57,123.37,127.5,24763650
2026-04-20,127.87,129.47,127.32,127.92,18933590
2026-04-21,127.83,129.77,127.48,129.6,17312390
2026-04-22,130.0,130.4499,128.84,129.98,17624490
2026-04-23,130.57,132.46,130.49,132.03,16376000
2026-04-24,131.94,132.12,129.2812,129.92,16016320
2026-04-27,129.615,129.81,127.395,127.59,17029470
2026-04-28,129.34,129.77,126.78,127.59,16341770
2026-04-29,126.68,128.08,125.91,128.01,16538800
2026-04-30,128.02,132.43,127.95,131.93,19867700
2026-05-01,131.915,133.37,130.98,131.6,10480870
2026-05-04,130.41,131.75,129.68,130.33,10340670
2026-05-05,130.51,131.73,130.3,130.79,10637310
2026-05-06,130.86,131.15,129.53,130.08,16371550
2026-05-07,129.895,130.6,128.665,130.2,14935410
2026-05-08,130.315,131.41,130.25,130.43,15183660
2026-05-11,130.18,130.6,126.38,127.59,18699180
2026-05-12,128.075,131.12,127.72,130.35,17935360
2026-05-13,129.19,132.53,128.77,131.47,13786550
2026-05-14,131.355,132.78,130.86,132.46,14200410
2026-05-15,133.69,133.95,130.785,131.45,25322970
2026-05-18,131.52,133.47,131.125,133.34,17183220
2026-05-19,132.94,135.155,132.06,134.2,16957140
2026-05-20,132.905,133.65,130.33,130.85,28471630
2026-05-21,124.408,125.8,120.39,121.34,53006570
2026-05-22,121.34,121.95,118.91,120.27,30330580
2026-05-26,120.685,121.05,117.92,118.57,28796650
2026-05-27,118.33,119.4299,118.04,118.54,22062230
2026-05-28,118.96,119.17,117.33,118.9,21613090
2026-05-29,118.11,119.08,114.71,115.75,42191000
2026-06-01,114.725,115.98,113.56,114.6,26176230
2026-06-02,113.87,114.5694,112.73,113.06,27366400
2026-06-03,113.1,117.29,112.96,116.89,32880560
2026-06-04,119.895,119.938,117.285,117.74,22870430
2026-06-05,118.35,120.89,118.1,118.88,36638140
2026-06-08,118.245,120.18,118.15,119.83,19514140
2026-06-09,120.38,120.5,118.0,118.88,23959000
2026-06-10,119.71,120.8192,117.53,120.59,22414870
2026-06-11,120.57,121.86,119.46,120.5,22438030
2026-06-12,120.59,121.61,119.53,121.04,14770840
2026-06-15,119.74,121.49,118.58,120.82,20722460
2026-06-16,121.14,122.94,119.88,121.03,23060730
2026-06-17,119.58,121.01,117.45,118.13,21711070
2026-06-18,118.2,118.48,116.795,117.18,36526770
2026-06-22,116.955,118.4,116.945,117.18,17053910
2026-06-23,119.71,120.25,116.34,119.42,23411420
2026-06-24,119.56,120.4,118.93,119.0,20600080
2026-06-25,117.47,118.58,115.38,115.78,20404640
2026-06-26,117.29,117.88,115.09,115.69,36635970
2026-06-29,116.47,116.8,114.2,114.6,20366990
2026-06-30,113.97,114.61,112.93,113.26,23034000
2026-07-01,110.13,110.71,107.25,108.82,40391390
2026-07-02,109.33,112.45,109.16,111.84,29526230
2026-07-06,111.4,112.37,109.37,110.65,29523270
2026-07-07,112.968,113.5,111.3,111.54,19941410
2026-07-08,113.15,113.86,111.81,113.1,19892040
2026-07-09,111.24,112.76,111.04,112.21,20464490
2026-07-10,111.95,114.16,111.9301,113.9,12461700
2026-07-13,114.725,115.54,114.01,114.78,17043420
2026-07-14,115.08,115.88,113.5,113.7,14681970
2026-07-15,113.25,114.73,112.07,112.53,16467940
2026-07-16,113.76,115.585,113.555,114.95,20777620
