date,open,high,low,close,volume
2025-09-02,66.73,66.94,65.71,66.27,1062897
2025-09-03,66.23,66.755,65.9564,66.74,853542
2025-09-04,66.98,67.64,66.15,66.9,915793
2025-09-05,67.31,68.28,67.29,68.12,1365621
2025-09-08,67.41,67.82,67.0,67.35,1122397
2025-09-09,67.13,67.81,66.97,67.75,991962
2025-09-10,67.62,68.16,67.365,67.46,929821
2025-09-11,68.08,68.63,67.7208,68.46,984345
2025-09-12,68.47,68.98,68.215,68.7,1041644
2025-09-15,68.71,69.0,68.5,68.65,1111329
2025-09-16,68.37,68.67,67.94,68.09,1225099
2025-09-17,68.3,68.88,67.79,67.94,1065460
2025-09-18,67.54,68.03,67.31,67.45,770294
2025-09-19,67.62,67.905,67.11,67.17,3449780
2025-09-22,67.55,67.55,66.86,67.1,828086
2025-09-23,67.12,67.87,67.02,67.73,775267
2025-09-24,67.84,67.85,67.22,67.32,1245992
2025-09-25,67.53,67.87,67.15,67.4,988215
2025-09-26,67.71,68.755,67.71,68.45,1610294
2025-09-29,68.55,68.8,68.01,68.08,1231431
2025-09-30,67.41,67.73,67.18,67.57,1108706
2025-10-01,67.78,68.84,67.735,68.47,1412706
2025-10-02,68.33,68.61,67.725,68.44,809404
2025-10-03,68.44,69.79,68.11,69.2,1250264
2025-10-06,68.54,68.9,68.05,68.17,1310805
2025-10-07,68.2,68.555,67.88,68.21,937743
2025-10-08,68.28,68.28,67.16,67.23,1038798
2025-10-09,67.445,67.825,66.88,67.07,685671
2025-10-10,67.13,67.57,66.77,66.86,707460
2025-10-13,66.84,67.73,66.6,67.53,701626
2025-10-14,67.48,68.2,67.415,67.68,1060817
2025-10-15,67.73,68.4,67.59,68.18,913725
2025-10-16,68.31,68.85,67.8285,68.18,908667
2025-10-17,68.38,68.605,67.77,68.46,990667
2025-10-20,68.75,68.94,67.94,68.68,808722
2025-10-21,68.97,68.97,67.0,67.51,1104799
2025-10-22,67.86,68.14,67.5601,67.65,1204066
2025-10-23,67.96,68.54,67.095,67.9,844400
2025-10-24,67.95,68.0,66.71,66.81,952873
2025-10-27,66.49,66.85,66.07,66.85,1318683
2025-10-28,66.69,66.69,65.78,66.11,946059
2025-10-29,67.41,68.56,65.8,66.28,2016574
2025-10-30,66.37,66.75,65.26,65.26,1589593
2025-10-31,65.16,66.2,64.72,66.0,1976629
2025-11-03,65.54,66.01,65.06,65.91,1400310
2025-11-04,65.99,66.18,65.33,65.92,1447875
2025-11-05,66.0,66.74,65.93,66.49,1678890
2025-11-06,66.48,67.4404,66.185,66.26,1863701
2025-11-07,66.45,67.405,66.26,67.37,1309114
2025-11-10,67.31,67.49,66.62,66.86,1119942
2025-11-11,67.22,68.16,66.89,67.89,1349031
2025-11-12,67.5,67.8199,67.34,67.37,911523
2025-11-13,67.38,67.99,67.34,67.54,1266239
2025-11-14,67.87,68.16,67.29,67.64,911799
2025-11-17,67.84,68.0,66.85,67.0,812354
2025-11-18,66.87,67.1752,66.6038,66.88,987298
2025-11-19,66.88,67.325,65.98,66.15,910864
2025-11-20,66.47,66.82,66.04,66.28,1370734
2025-11-21,66.28,67.3799,66.2329,67.12,1312251
2025-11-24,66.92,67.45,66.78,67.04,2357140
2025-11-25,67.38,67.96,67.18,67.26,1211481
2025-11-26,67.33,67.843,67.245,67.39,1064148
2025-11-28,67.51,67.76,67.37,67.37,518263
2025-12-01,67.15,67.65,66.8175,67.24,1618161
2025-12-02,67.2,67.57,66.41,66.44,860109
2025-12-03,66.7,67.01,66.17,66.59,1147420
2025-12-04,66.34,67.07,66.325,66.81,1402472
2025-12-05,66.63,66.95,66.26,66.31,959630
2025-12-08,65.65,65.84,64.82,65.15,1528206
2025-12-09,65.03,66.22,65.03,65.04,1274252
2025-12-10,65.3,66.24,65.22,66.0,2161645
2025-12-11,66.23,66.5,65.21,65.41,1341594
2025-12-12,65.66,66.01,64.2501,65.01,1297347
2025-12-15,65.62,65.82,65.165,65.75,1437680
2025-12-16,65.88,65.9033,64.395,64.97,1322822
2025-12-17,64.74,65.41,64.7,65.15,1930569
2025-12-18,65.25,65.51,64.325,64.42,1555330
2025-12-19,64.33,65.05,64.12,64.62,3462189
2025-12-22,64.26,64.48,63.85,64.42,863139
2025-12-23,64.48,64.65,64.03,64.17,914669
2025-12-24,64.17,64.705,64.075,64.64,579918
2025-12-26,64.66,64.92,64.5875,64.82,459782
2025-12-29,65.07,65.15,64.63,64.78,974812
2025-12-30,64.94,65.32,64.8301,65.28,971737
2025-12-31,64.4,64.61,64.06,64.36,1195045
2026-01-02,64.35,65.11,63.85,64.86,831596
2026-01-05,64.76,64.9375,63.08,64.09,1656054
2026-01-06,64.02,64.6,63.72,64.39,1271522
2026-01-07,64.99,66.71,64.13,66.31,1679138
2026-01-08,66.36,67.52,66.36,67.46,1373495
2026-01-09,67.4,68.05,66.38,66.5,1063278
2026-01-12,66.81,67.17,66.5001,66.78,870097
2026-01-13,66.45,67.35,66.2501,67.03,1076619
2026-01-14,67.42,67.93,66.76,67.8,1109596
2026-01-15,68.5,68.95,68.12,68.92,1476470
2026-01-16,68.73,70.28,68.68,70.26,1770905
2026-01-20,70.04,70.17,69.06,69.93,1075635
2026-01-21,70.17,70.17,69.06,69.59,1318104
2026-01-22,69.59,69.97,68.28,68.55,1301922
2026-01-23,68.6,69.39,68.435,69.37,935557
2026-01-26,69.57,69.9577,68.44,68.58,1292625
2026-01-27,68.67,69.4,68.5875,69.18,1092387
2026-01-28,69.22,69.29,67.72,67.9,1337128
2026-01-29,68.44,69.3,68.02,69.17,1551474
2026-01-30,69.03,69.75,68.38,69.75,1526715
2026-02-02,69.75,70.12,68.295,68.37,1104631
2026-02-03,68.52,69.34,68.28,69.25,1184339
2026-02-04,69.75,70.69,69.17,70.03,1136381
2026-02-05,70.3,71.74,70.0801,71.38,1433145
2026-02-06,71.75,72.335,71.06,71.21,1622626
2026-02-09,71.17,71.57,70.65,71.52,1187338
2026-02-10,71.58,72.68,71.39,72.59,1272329
2026-02-11,72.72,73.0,70.81,72.28,1892528
2026-02-12,72.57,74.285,72.47,73.1,1791130
2026-02-13,73.48,74.24,72.61,74.2,1158230
2026-02-17,74.24,74.72,73.37,74.16,1033477
2026-02-18,71.6,71.65,70.6,71.39,4559392
2026-02-19,71.5,71.89,71.0,71.8,2289415
2026-02-20,72.0,72.71,71.57,72.38,1888261
2026-02-23,72.5,73.74,72.255,73.06,1754982
2026-02-24,73.3,73.74,72.61,73.44,1246709
2026-02-25,73.21,73.41,72.29,73.39,1146868
2026-02-26,73.4,74.29,73.23,74.25,1062046
2026-02-27,74.33,75.69,74.295,74.65,1892451
2026-03-02,74.5,74.88,73.905,74.62,1384253
2026-03-03,73.97,74.15,73.1701,73.79,1102163
2026-03-04,73.8,73.84,72.55,73.0,968250
2026-03-05,72.47,72.65,71.86,72.58,1226956
2026-03-06,72.29,72.715,71.66,72.61,863957
2026-03-09,72.27,72.68,71.34,72.4,1058494
2026-03-10,72.58,73.13,71.956,72.26,942074
2026-03-11,71.87,72.16,71.29,71.48,866593
2026-03-12,71.3,72.65,71.09,71.81,1390636
2026-03-13,73.17,73.57,71.2,71.49,866068
2026-03-16,72.22,72.65,71.59,71.73,1314405
2026-03-17,72.14,72.68,71.53,71.7,999578
2026-03-18,71.48,71.6,69.97,69.98,927520
2026-03-19,69.88,70.15,69.19,69.38,1158777
2026-03-20,69.55,69.5507,67.08,67.55,2670951
2026-03-23,68.06,68.44,67.36,67.61,965528
2026-03-24,67.36,68.14,67.26,67.4,887669
2026-03-25,67.64,68.01,66.89,67.44,846886
2026-03-26,67.25,67.93,67.11,67.62,803284
2026-03-27,67.7,68.22,67.38,67.61,1084116
2026-03-30,68.39,68.745,67.51,67.91,2122843
2026-03-31,67.65,68.64,67.17,67.96,2202162
2026-04-01,67.96,69.46,67.9,69.39,1686877
2026-04-02,69.6,70.58,69.31,70.25,1391776
2026-04-06,69.88,70.28,69.58,69.91,1472405
2026-04-07,70.14,71.225,69.915,70.92,1210292
2026-04-08,71.26,71.815,71.195,71.42,1671210
2026-04-09,71.16,72.31,70.93,71.42,1044985
2026-04-10,71.46,71.85,71.12,71.62,1055397
2026-04-13,71.35,71.485,70.31,71.21,1289746
2026-04-14,71.07,71.81,71.015,71.61,1078597
2026-04-15,71.36,71.72,70.89,71.58,1122893
2026-04-16,71.53,72.91,71.53,72.89,1507937
2026-04-17,72.84,74.03,72.68,73.98,1164873
2026-04-20,73.9,74.25,73.63,73.74,857184
2026-04-21,73.64,74.13,72.905,73.8,1031403
2026-04-22,74.15,74.315,72.44,72.87,1145128
2026-04-23,73.32,73.91,72.52,73.72,1051094
2026-04-24,73.62,73.95,72.985,73.12,1440743
2026-04-27,73.22,73.51,72.4,72.4,1351274
2026-04-28,72.89,73.17,71.81,72.66,1435816
2026-04-29,73.75,73.94,71.8,72.06,1728401
2026-04-30,72.37,73.32,72.165,72.93,1245682
2026-05-01,72.83,72.83,72.275,72.6,926022
2026-05-04,72.14,73.0,72.07,72.43,1102234
2026-05-05,72.52,73.45,72.355,73.18,1017323
2026-05-06,73.43,74.2,73.31,73.85,1101371
2026-05-07,73.65,74.225,72.64,73.9,2535295
2026-05-08,73.96,74.7,73.77,74.1,1073271
2026-05-11,74.42,74.66,73.8,74.05,1432952
2026-05-12,74.11,74.87,73.68,74.73,1059535
2026-05-13,74.4,74.67,73.62,73.95,1084484
