date,open,high,low,close,volume
2025-09-02,102.19,102.58,99.75,101.57,3258979
2025-09-03,102.5,103.4,101.13,102.44,2382871
2025-09-04,101.25,103.08,100.48,102.73,2072023
2025-09-05,104.7,105.98,103.5501,104.24,2115005
2025-09-08,106.06,106.62,105.15,106.05,2158419
2025-09-09,106.59,106.84,104.5,104.61,2162503
2025-09-10,105.25,106.23,103.79,105.45,1752939
2025-09-11,105.59,107.37,104.76,107.37,1635392
2025-09-12,107.63,108.67,106.15,106.63,1892789
2025-09-15,106.25,107.975,105.4184,107.7,2087265
2025-09-16,107.6,107.6,104.48,105.23,2051398
2025-09-17,103.85,106.715,103.3,105.11,1931055
2025-09-18,104.19,104.9,102.805,104.78,1800755
2025-09-19,105.39,108.445,105.38,107.65,8717736
2025-09-22,109.48,109.67,105.63,107.67,2966934
2025-09-23,108.49,109.36,106.96,107.61,2830505
2025-09-24,107.32,108.355,105.25,105.31,1915145
2025-09-25,105.41,107.53,104.64,107.35,2008209
2025-09-26,108.01,109.22,107.43,109.04,1897402
2025-09-29,111.26,112.08,110.3,110.49,2175650
2025-09-30,109.6,112.68,109.31,111.84,2746114
2025-10-01,113.0,114.005,110.85,111.47,2310316
2025-10-02,112.0,112.22,105.63,109.83,2395761
2025-10-03,110.33,111.27,109.31,109.66,1308435
2025-10-06,110.7,111.28,109.71,109.81,2009905
2025-10-07,110.06,110.405,107.5,108.32,1706489
2025-10-08,110.53,110.6,106.1176,107.21,2506234
2025-10-09,108.165,108.5,102.5,103.38,2917041
2025-10-10,104.31,105.96,103.58,105.45,2518573
2025-10-13,108.2,109.19,106.96,108.99,1822998
2025-10-14,107.56,110.16,107.21,108.32,1919267
2025-10-15,109.21,111.05,108.6001,110.27,2254861
2025-10-16,111.2,114.36,110.0101,113.5,2330948
2025-10-17,111.14,111.215,103.07,104.59,3025658
2025-10-20,106.61,107.08,105.38,105.43,2253432
2025-10-21,99.03,99.45,94.7702,95.84,5026714
2025-10-22,93.935,97.74,93.935,97.13,2977007
2025-10-23,99.0,99.32,97.2,98.23,2549225
2025-10-24,96.905,98.71,96.55,98.15,1913553
2025-10-27,95.41,96.98,92.8,94.45,3278678
2025-10-28,92.57,95.9,92.565,95.42,2523545
2025-10-29,97.68,97.68,94.34,95.18,2426648
2025-10-30,94.55,98.24,94.54,98.07,2267256
2025-10-31,98.25,98.72,96.48,96.52,5268734
2025-11-03,96.52,97.24,95.38,97.19,1568231
2025-11-04,95.16,96.36,94.28,94.37,2112637
2025-11-05,95.96,97.24,95.59,96.5,1587950
2025-11-06,96.895,98.0,96.0,96.28,1853998
2025-11-07,97.29,99.86,96.14,99.06,1666768
2025-11-10,102.59,103.0,100.88,102.31,2666655
2025-11-11,103.05,104.48,101.88,104.09,1409275
2025-11-12,104.56,108.5,103.68,107.77,1896348
2025-11-13,108.28,108.68,104.52,105.71,1475674
2025-11-14,101.265,104.82,100.7787,104.17,1756376
2025-11-17,103.87,104.3484,101.29,102.28,1659675
2025-11-18,103.11,104.08,101.78,103.06,1580273
2025-11-19,103.7,105.6,103.05,104.07,1404593
2025-11-20,104.41,105.295,99.25,99.62,1338709
2025-11-21,99.05,101.03,98.5055,99.27,1897832
2025-11-24,100.06,102.76,99.65,102.69,1234230
2025-11-25,102.15,103.225,101.29,102.5,1554600
2025-11-26,103.57,107.16,103.57,106.76,1709563
2025-11-28,108.15,110.17,107.4,110.05,1192501
2025-12-01,111.6,111.6,108.71,109.98,2269284
2025-12-02,109.93,110.46,104.51,107.75,2278906
2025-12-03,108.68,109.6263,107.0263,107.98,1413460
2025-12-04,107.08,109.1499,107.08,108.8,1418281
2025-12-05,109.95,111.36,107.6101,108.09,1391349
2025-12-08,108.18,108.74,104.96,104.96,1602089
2025-12-09,105.2,109.3,104.75,109.27,1698679
2025-12-10,109.885,113.515,108.81,112.83,2276826
2025-12-11,113.53,118.95,112.56,117.32,2157080
2025-12-12,119.82,120.55,116.24,117.53,2823609
2025-12-15,119.16,119.63,115.37,115.72,2047190
