date,open,high,low,close,volume
2025-09-02,273.39,278.59,273.39,277.74,150957
2025-09-03,277.31,279.83,273.64,275.72,111043
2025-09-04,275.6,279.71,275.455,279.71,195929
2025-09-05,281.2,282.69,275.38,280.31,152054
2025-09-08,280.67,284.23,279.0,283.72,149151
2025-09-09,282.24,282.655,275.255,276.13,140900
2025-09-10,276.27,279.54,276.27,278.47,183358
2025-09-11,278.7,284.34,278.28,283.73,130161
2025-09-12,282.45,285.01,280.165,281.44,105654
2025-09-15,281.82,283.75,280.72,281.81,112882
2025-09-16,281.14,283.88,278.96,281.27,129977
2025-09-17,282.09,287.8909,279.075,280.12,178194
2025-09-18,281.12,287.16,281.12,285.86,151340
2025-09-19,285.83,285.83,280.59,280.94,546493
2025-09-22,280.4,282.43,278.625,279.98,132905
2025-09-23,279.98,283.6,278.3,279.44,116805
2025-09-24,279.29,281.54,275.0,275.77,265948
2025-09-25,274.81,276.425,273.86,275.13,110162
2025-09-26,275.97,279.4048,275.97,278.41,80514
2025-09-29,279.0,279.84,275.1242,276.36,137248
2025-09-30,276.65,279.65,276.62,279.28,107872
2025-10-01,275.24,279.2551,275.0,278.39,116083
2025-10-02,278.53,282.43,276.945,280.69,208243
2025-10-03,282.1,283.22,280.73,282.34,118049
2025-10-06,283.96,287.09,281.04,282.91,119174
2025-10-07,283.06,283.95,276.65,278.03,131441
2025-10-08,279.21,280.785,277.13,280.37,99945
2025-10-09,280.1,280.1,273.27,273.68,128721
2025-10-10,274.38,276.0,265.98,267.32,207820
2025-10-13,270.18,273.885,268.04,271.24,165126
2025-10-14,267.62,275.105,267.62,274.54,105237
2025-10-15,276.13,278.675,269.1,277.77,101781
2025-10-16,279.57,280.0,273.58,276.07,100823
2025-10-17,275.87,277.0,274.16,275.68,113693
2025-10-20,276.96,281.69,276.33,281.65,133145
2025-10-21,280.12,283.88,276.255,281.61,93426
2025-10-22,281.99,287.06,280.675,281.52,177656
2025-10-23,283.02,284.08,278.11,278.52,197228
2025-10-24,281.34,281.34,276.4101,278.55,110675
2025-10-27,279.25,279.25,275.64,276.39,119616
2025-10-28,276.16,276.3035,274.28,275.48,106246
2025-10-29,275.59,279.185,270.92,273.15,158488
2025-10-30,271.85,278.99,271.85,273.07,159457
2025-10-31,271.67,274.665,271.5978,272.6,136052
2025-11-03,273.15,273.15,268.09,271.8,142091
2025-11-04,270.19,275.955,269.62,274.69,125014
2025-11-05,275.33,283.76,271.1,282.24,298262
2025-11-06,279.965,282.23,260.0,263.55,412363
2025-11-07,264.15,274.79,262.645,273.21,251655
2025-11-10,275.0,277.84,273.195,275.85,150740
2025-11-11,275.6,278.1425,272.92,275.6,103646
2025-11-12,275.6,279.91,275.6,276.43,129387
2025-11-13,275.79,278.0,271.07,271.97,156930
2025-11-14,269.43,271.7,268.77,269.84,183725
2025-11-17,269.67,269.7,264.14,265.34,180091
2025-11-18,264.96,268.6499,262.96,266.87,116981
2025-11-19,266.65,270.74,265.44,266.74,129147
2025-11-20,270.34,272.87,265.62,266.35,136281
2025-11-21,268.58,275.66,268.13,272.49,251808
2025-11-24,271.7,274.45,270.1001,270.38,175076
2025-11-25,271.14,278.77,268.115,277.81,228991
2025-11-26,276.46,280.09,276.46,277.74,146962
2025-11-28,276.94,279.6,275.45,275.88,68468
2025-12-01,273.43,275.88,271.795,272.89,208191
2025-12-02,274.41,275.03,270.89,271.12,179539
2025-12-03,273.37,276.95,271.98,274.97,176056
2025-12-04,274.7,275.94,272.6861,273.92,105435
2025-12-05,273.46,275.745,270.48,272.66,201435
2025-12-08,273.02,274.315,269.97,271.12,120633
2025-12-09,271.36,273.94,266.76,267.32,155048
2025-12-10,267.87,276.7,266.5,274.94,201518
2025-12-11,277.99,281.595,276.96,277.92,187338
2025-12-12,278.31,281.02,276.28,279.11,215327
2025-12-15,280.57,281.945,276.15,281.26,238011
2025-12-16,282.03,282.79,276.875,279.25,253187
2025-12-17,278.14,282.25,275.37,277.64,157024
2025-12-18,279.75,285.15,277.58,281.06,225526
2025-12-19,280.14,282.86,277.71,279.85,502635
2025-12-22,280.33,284.78,277.765,283.27,186136
2025-12-23,283.17,285.9099,281.285,285.24,85938
2025-12-24,285.46,285.46,283.75,283.75,59431
2025-12-26,284.49,285.47,277.3958,284.26,71234
2025-12-29,284.94,285.31,281.525,282.62,135028
2025-12-30,282.52,282.69,279.64,280.04,156108
2025-12-31,279.01,279.98,275.125,276.02,116787
2026-01-02,275.55,279.82,275.29,278.58,160076
2026-01-05,278.58,284.56,277.88,281.46,148439
2026-01-06,279.62,284.39,275.26,284.39,175762
2026-01-07,285.41,285.45,279.51,281.63,217447
2026-01-08,280.42,286.5,278.225,286.33,278542
2026-01-09,287.83,290.8,286.31,287.44,159016
2026-01-12,286.81,289.9999,285.27,287.74,100159
