date,open,high,low,close,volume
2025-09-02,114.18,115.24,113.33,114.69,15206670
2025-09-03,113.97,114.43,111.46,111.91,14920090
2025-09-04,112.105,113.125,111.38,112.4,12864440
2025-09-05,111.6,111.78,109.02,109.23,16826690
2025-09-08,109.73,110.045,108.35,109.85,15440510
2025-09-09,110.525,112.51,110.525,110.65,14899500
2025-09-10,111.16,112.56,110.84,112.5,15837580
2025-09-11,111.4,112.765,110.87,112.14,11534500
2025-09-12,112.86,113.22,111.875,112.16,11105690
2025-09-15,112.18,112.455,111.315,112.35,12880490
2025-09-16,112.955,115.315,112.775,114.68,17208040
2025-09-17,114.525,115.485,114.05,115.29,13302030
2025-09-18,115.17,115.35,113.4,113.93,14628730
2025-09-19,113.9,113.98,112.64,112.82,38746520
2025-09-22,112.45,112.8,111.56,112.02,15611500
2025-09-23,112.72,114.7488,112.475,113.95,25369110
2025-09-24,114.57,115.76,114.47,114.56,14756050
2025-09-25,114.64,115.8999,114.41,115.59,15012550
2025-09-26,115.96,118.36,115.92,117.22,18568920
2025-09-29,116.06,116.5,113.665,114.22,19189260
2025-09-30,113.35,113.49,111.9393,112.75,18076210
2025-10-01,112.56,113.02,111.2925,111.99,16613990
2025-10-02,111.97,113.09,111.025,111.29,13062560
2025-10-03,111.9,113.745,111.9,113.26,12950120
2025-10-06,113.29,114.77,113.18,114.2,12036830
2025-10-07,114.07,114.51,111.74,114.26,11945030
2025-10-08,114.38,115.01,113.41,114.02,12300970
2025-10-09,114.425,115.51,112.735,112.91,10976220
2025-10-10,112.255,112.62,110.71,110.73,13811580
2025-10-13,111.54,112.3,111.315,112.24,10296500
2025-10-14,110.755,112.962,110.71,112.29,11167150
2025-10-15,112.8,113.57,110.97,111.61,12182940
2025-10-16,111.88,112.19,110.385,110.64,11782200
2025-10-17,111.63,112.91,111.18,112.24,13460070
2025-10-20,112.0,113.15,111.98,112.7,9523617
2025-10-21,112.89,113.3601,111.99,112.71,9202349
2025-10-22,113.45,115.18,113.08,114.71,12938790
2025-10-23,116.63,116.85,115.36,115.98,15001090
2025-10-24,116.35,116.47,115.18,115.39,9919409
2025-10-27,115.695,115.985,115.1,115.94,10975410
2025-10-28,115.49,116.18,114.99,115.03,9535211
2025-10-29,114.92,117.05,114.81,116.45,12570570
2025-10-30,116.425,116.52,114.53,114.69,16172940
2025-10-31,113.975,115.225,112.6225,114.36,20213350
2025-11-03,114.5,114.99,113.64,113.76,12290300
2025-11-04,113.38,114.3501,112.51,114.14,16860740
2025-11-05,114.09,115.18,113.67,113.68,12400920
2025-11-06,113.64,114.935,113.64,114.5,14219650
2025-11-07,115.21,117.505,114.9,117.22,17181150
2025-11-10,117.44,118.45,115.455,118.22,13047960
