date,open,high,low,close,volume
2025-09-02,132.33,134.58,131.83,134.57,2816635
2025-09-03,133.38,134.85,130.35,130.84,3305079
2025-09-04,130.27,132.68,129.795,132.25,3572330
2025-09-05,130.64,132.06,128.44,129.64,5291197
2025-09-08,130.56,130.855,127.75,128.69,4677871
2025-09-09,129.43,131.54,128.92,129.03,3272479
2025-09-10,129.11,131.81,128.88,131.77,3279731
2025-09-11,130.49,131.84,129.93,131.37,2377647
2025-09-12,132.08,132.74,130.06,130.13,2374129
2025-09-15,129.83,130.56,128.68,129.34,4251183
2025-09-16,130.33,133.72,130.2,133.42,5477003
2025-09-17,132.94,135.3,132.35,133.33,3586405
2025-09-18,133.59,133.9,131.42,132.92,3633875
2025-09-19,132.36,132.64,129.61,130.1,3487183
2025-09-22,128.81,130.7,128.25,130.19,2691778
2025-09-23,130.99,135.88,130.99,133.24,5288216
2025-09-24,134.7,137.16,134.43,135.28,5055087
2025-09-25,134.59,136.75,134.34,136.09,3933996
2025-09-26,135.81,139.3,135.81,137.24,5461161
2025-09-29,136.19,136.44,132.84,133.5,4360900
2025-09-30,131.96,132.96,130.92,132.2,5936396
2025-10-01,131.27,134.8,131.12,134.49,3631965
2025-10-02,133.76,134.59,131.52,131.87,4067989
2025-10-03,133.04,133.87,132.525,133.19,4095169
2025-10-06,134.07,135.46,133.52,134.15,3300732
2025-10-07,133.77,134.03,131.73,133.73,3137221
2025-10-08,133.83,134.05,131.79,133.92,2678129
2025-10-09,134.15,135.38,130.59,131.0,3699268
2025-10-10,128.84,129.77,123.92,123.96,8024754
2025-10-13,125.76,127.5,124.72,127.21,3234006
2025-10-14,124.3,127.3,124.14,126.14,3336060
2025-10-15,126.64,128.03,125.06,125.93,2169944
2025-10-16,126.37,126.89,122.11,123.29,4894480
2025-10-17,123.26,124.71,122.32,123.57,2568070
2025-10-20,124.56,126.3,124.25,125.27,3200678
2025-10-21,125.28,125.82,123.82,124.34,2885867
2025-10-22,124.84,125.78,122.83,124.9,3691707
2025-10-23,128.49,130.27,127.52,129.66,4361891
2025-10-24,130.18,130.55,128.41,128.46,2139887
2025-10-27,129.11,129.62,128.07,128.35,2448196
2025-10-28,127.29,127.5085,125.535,125.83,2533807
2025-10-29,125.71,127.575,125.48,126.36,1924677
2025-10-30,126.02,128.06,125.47,125.86,1660571
2025-10-31,126.34,127.41,125.65,126.82,1946943
2025-11-03,126.59,127.77,124.84,127.66,1871884
2025-11-04,125.42,126.525,123.4,125.93,2508185
2025-11-05,125.52,127.42,124.66,124.74,2828724
2025-11-06,125.81,128.78,125.81,126.84,2557036
2025-11-07,127.19,129.89,126.37,129.48,3892839
2025-11-10,130.55,131.83,128.73,131.41,2599857
2025-11-11,131.92,135.16,131.92,134.13,3933857
2025-11-12,133.085,134.04,131.86,132.05,2797424
2025-11-13,132.1,134.06,131.0,131.92,3393166
2025-11-14,131.45,134.18,130.1465,134.01,2643836
2025-11-17,133.6,134.02,130.68,131.44,3051504
2025-11-18,130.065,133.92,129.742,133.49,2906322
2025-11-19,130.695,132.24,129.87,131.88,2732022
2025-11-20,132.4,135.205,128.485,128.56,3520748
2025-11-21,128.085,130.57,126.96,129.74,2969742
2025-11-24,128.87,131.3,127.1,130.83,2279814
2025-11-25,129.42,130.525,127.96,130.22,1654543
2025-11-26,130.28,133.05,130.28,131.68,1544432
