date,open,high,low,close,volume
2025-09-02,82.5,82.895,81.17,81.81,2582100
2025-09-03,82.24,84.33,81.705,83.5,1694391
2025-09-04,84.0,84.64,82.93,83.7,2072952
2025-09-05,85.4,88.342,85.39,87.89,2839241
2025-09-08,88.06,91.93,87.755,89.9,4223693
2025-09-09,89.63,89.63,87.12,87.19,1882865
2025-09-10,88.24,88.92,85.48,85.71,1950435
2025-09-11,85.92,89.88,84.78,89.27,3462750
2025-09-12,88.8,89.0615,87.7,87.78,1733279
2025-09-15,88.36,88.495,86.24,87.12,1601030
2025-09-16,87.11,89.22,87.0,88.55,2653754
2025-09-17,91.165,93.88,90.0401,90.32,5188779
2025-09-18,90.2,91.13,88.95,89.98,2562733
2025-09-19,90.64,90.64,86.56,86.74,4524899
2025-09-22,84.85,85.0,80.78,81.04,5493829
2025-09-23,81.61,81.9,78.95,79.23,4508585
2025-09-24,79.13,80.96,78.65,79.0,3022664
2025-09-25,78.13,78.86,77.53,77.75,2842995
2025-09-26,77.92,79.73,77.55,79.485,2156218
2025-09-29,80.14,80.9,79.0,80.54,2057730
2025-09-30,80.83,81.56,74.47,77.05,5509830
2025-10-01,76.97,77.09,73.04,73.48,5770424
2025-10-02,73.78,75.06,73.23,74.85,2636679
2025-10-03,76.94,78.11,76.54,76.79,2512754
2025-10-06,76.7,76.87,72.99,74.0,4508828
2025-10-07,73.98,74.1,71.47,72.73,3141927
2025-10-08,72.66,72.92,71.01,71.46,2660144
2025-10-09,71.7,71.7,69.9139,70.82,2224456
2025-10-10,71.49,71.57,69.36,69.69,2585567
2025-10-13,70.18,70.4988,69.0,69.76,1445060
2025-10-14,69.23,72.87,69.2,72.31,2250194
2025-10-15,72.84,73.44,71.75,73.2,2470130
2025-10-16,73.46,75.2794,73.42,74.01,3144303
2025-10-17,72.69,73.15,71.285,72.96,1933004
2025-10-20,73.51,74.805,73.3039,74.66,2329537
2025-10-21,74.23,77.91,74.15,77.33,3142912
2025-10-22,76.93,77.7697,75.72,77.37,2226478
2025-10-23,77.2,78.21,76.0,78.04,1849161
2025-10-24,79.0,79.4,77.09,77.12,2412932
2025-10-27,76.945,78.1,76.41,76.76,2228896
2025-10-28,76.71,76.93,75.17,75.72,1910361
2025-10-29,74.87,74.87,71.43,71.52,3886027
2025-10-30,71.47,73.735,71.2701,71.72,4046014
2025-10-31,72.05,75.41,69.83,74.98,6285176
2025-11-03,74.41,76.8,73.58,74.67,3785890
2025-11-04,73.95,74.22,72.895,73.03,2184549
2025-11-05,73.17,74.1,72.6,73.03,2259675
2025-11-06,73.01,73.495,71.485,72.3,2987113
2025-11-07,72.06,73.3,71.39,73.0,2369930
2025-11-10,73.46,74.21,72.18,73.05,2141653
2025-11-11,72.96,74.31,72.58,74.08,1666059
2025-11-12,73.88,74.04,70.36,72.03,3858227
2025-11-13,71.3,72.1,70.15,70.37,5833313
2025-11-14,69.3,70.3271,68.53,68.8,3767889
2025-11-17,68.39,69.65,67.49,68.43,2274310
2025-11-18,67.99,68.6,66.86,67.32,2375252
2025-11-19,67.41,68.99,67.41,68.22,2008387
2025-11-20,69.11,69.8916,66.88,67.01,3409894
2025-11-21,67.51,71.46,67.51,71.17,3914417
2025-11-24,71.1,72.13,70.72,71.82,2645506
2025-11-25,72.25,74.17,71.7347,74.08,2058423
2025-11-26,73.83,74.98,73.35,74.44,1119884
2025-11-28,74.3,74.52,73.74,74.38,1198366
2025-12-01,73.29,74.37,72.515,73.53,1265970
2025-12-02,74.0,74.23,71.94,72.09,1767992
2025-12-03,72.51,76.39,72.2012,76.01,2665261
2025-12-04,75.845,76.31,74.39,75.52,1211740
2025-12-05,75.38,75.86,73.56,74.04,1847383
2025-12-08,73.93,74.2,72.0,72.61,1570434
2025-12-09,72.23,74.89,72.0235,74.59,1358341
2025-12-10,74.46,76.15,73.56,75.53,1875501
2025-12-11,75.81,77.07,75.29,75.78,2940809
2025-12-12,75.89,76.34,73.96,74.71,1987844
2025-12-15,68.87,69.71,65.07,68.38,11068170
2025-12-16,68.33,71.46,68.33,70.07,3688450
2025-12-17,69.87,70.84,68.71,68.77,3088382
2025-12-18,69.96,70.365,66.75,67.51,4564880
2025-12-19,67.87,69.3,67.42,68.96,3782711
2025-12-22,68.87,70.35,68.135,68.67,2311869
2025-12-23,68.29,69.0,68.0467,68.73,1063935
2025-12-24,68.66,70.245,68.66,69.26,930783
2025-12-26,69.17,70.0,69.17,69.81,1158996
2025-12-29,69.81,70.39,69.185,69.86,1313142
2025-12-30,69.81,70.1,69.05,69.36,1618139
2025-12-31,69.14,69.3875,68.16,68.22,2233633
2026-01-02,68.55,69.0,65.7101,65.92,2906986
2026-01-05,66.05,68.3,65.92,66.03,3058927
2026-01-06,65.75,66.9,64.1045,66.58,1820552
2026-01-07,67.24,70.0,64.75,68.17,4595048
2026-01-08,68.22,70.15,66.5806,69.95,2910514
2026-01-09,71.0,72.53,68.68,68.75,4740654
2026-01-12,68.38,68.77,66.985,68.17,2410566
2026-01-13,67.88,68.88,67.055,68.84,2664083
2026-01-14,69.06,69.315,66.9,67.55,2755583
2026-01-15,68.18,68.225,66.8,67.89,1636816
2026-01-16,68.2,70.475,67.69,68.53,2213927
2026-01-20,67.1,67.44,65.32,65.88,3338244
2026-01-21,66.83,66.87,63.81,64.92,4704014
2026-01-22,65.73,68.77,65.0,68.59,3186544
2026-01-23,68.52,69.0,66.8218,68.0,2510042
2026-01-26,68.61,69.85,68.02,69.565,2441348
2026-01-27,69.93,70.49,66.43,66.62,1787630
2026-01-28,67.17,67.39,65.82,65.98,1858415
2026-01-29,66.47,67.02,64.67,66.16,2366847
2026-01-30,65.82,65.825,62.66,63.03,2417630
2026-02-02,63.03,64.25,62.32,62.52,2979308
2026-02-03,62.52,62.78,58.72,58.94,5481031
2026-02-04,58.775,59.04,55.83,56.54,8672337
2026-02-05,56.53,57.71,53.61,54.01,5008341
2026-02-06,54.16,58.16,53.73,54.97,7914726
2026-02-09,54.63,55.25,54.12,54.28,3951225
2026-02-10,54.32,56.25,54.32,54.71,5122199
2026-02-11,52.035,53.0,44.02,45.66,17270900
2026-02-12,45.67,46.875,43.36,43.82,9468452
2026-02-13,44.31,45.29,42.5,43.45,10828420
2026-02-17,43.95,44.86,42.685,43.97,6240357
2026-02-18,43.73,45.24,43.505,44.98,6719282
2026-02-19,44.61,45.6,44.36,45.55,4917125
2026-02-20,45.52,47.31,44.9706,45.46,5060754
2026-02-23,44.86,45.7575,42.59,42.83,4473246
2026-02-24,42.55,43.83,41.91,43.73,4864432
2026-02-25,43.43,45.53,42.69,45.31,4738961
2026-02-26,45.74,47.31,45.65,46.65,3747272
2026-02-27,45.42,46.25,44.26,44.62,7865225
2026-03-02,43.1,44.27,42.67,43.54,3966858
2026-03-03,42.85,46.29,42.3501,45.23,5739791
2026-03-04,45.0,46.8,45.0,45.82,3681845
2026-03-05,46.5,49.125,46.16,46.66,4935367
2026-03-06,45.94,46.02,44.64,45.91,3708258
2026-03-09,44.82,45.35,43.5995,45.25,5553316
2026-03-10,45.14,45.4,43.27,44.06,3400315
2026-03-11,44.04,45.12,43.43,44.9,3272264
2026-03-12,44.23,45.5,41.135,41.25,4646876
2026-03-13,41.98,43.92,41.87,42.9,2980645
2026-03-16,43.06,43.7,42.29,42.36,3662138
2026-03-17,42.705,45.26,42.43,45.23,5974160
2026-03-18,44.57,46.4899,44.23,46.27,5747617
2026-03-19,45.58,46.41,44.62,45.54,4286466
2026-03-20,45.3,45.54,43.64,43.95,5941335
2026-03-23,44.57,45.62,44.065,44.82,2753982
2026-03-24,44.31,45.49,43.055,45.31,5743885
2026-03-25,45.97,46.44,42.43,43.6,3926263
2026-03-26,43.15,44.64,41.86,41.86,3044527
2026-03-27,41.29,41.57,40.08,40.44,4271636
2026-03-30,40.87,41.75,40.52,40.79,3538261
2026-03-31,41.58,42.27,40.06,41.38,4742722
2026-04-01,41.75,42.0,39.97,40.49,4509578
2026-04-02,39.78,42.21,39.05,40.6,3605135
2026-04-06,40.67,41.75,40.67,41.65,2406615
2026-04-07,41.5,41.8,40.45,40.79,2293087
2026-04-08,43.19,43.76,41.33,41.43,3963088
2026-04-09,41.17,41.17,39.83,40.63,4354092
2026-04-10,40.63,41.0625,39.4441,39.87,2706132
2026-04-13,39.41,40.86,39.28,40.49,3243885
2026-04-14,41.385,42.8,40.68,40.89,2343664
2026-04-15,41.62,43.7,41.49,43.5,2837157
2026-04-16,43.96,44.61,43.28,44.08,2037489
2026-04-17,45.465,47.22,44.7601,46.86,4528603
2026-04-20,46.27,47.64,45.8699,47.3,2852458
2026-04-21,47.87,48.44,46.08,46.17,3010991
2026-04-22,46.66,46.87,45.37,46.04,2458170
2026-04-23,45.775,46.2,43.64,44.5,2547060
2026-04-24,44.57,45.75,44.3,45.41,3650430
2026-04-27,45.16,46.325,45.16,45.59,1749992
2026-04-28,45.98,46.44,44.32,44.76,2029370
2026-04-29,44.8,44.855,42.975,43.41,1940541
2026-04-30,43.14,44.42,43.08,44.4,2153266
2026-05-01,44.84,46.22,44.84,45.28,2612813
2026-05-04,45.52,45.74,43.91,44.03,2494978
2026-05-05,44.42,44.645,43.15,43.54,2874213
2026-05-06,45.11,45.75,44.36,44.53,4616783
2026-05-07,42.27,44.72,41.74,43.68,7140036
2026-05-08,43.76,44.035,41.1,41.43,3861851
2026-05-11,41.45,41.94,40.275,40.44,2846979
2026-05-12,40.44,40.44,39.11,39.63,4275430
2026-05-13,39.11,39.64,37.86,38.53,3669992
2026-05-14,38.635,39.04,37.3,37.37,3777859
2026-05-15,37.23,38.175,36.76,37.66,3076702
2026-05-18,37.415,39.325,36.91,37.17,4278067
2026-05-19,37.495,38.08,35.76,36.0,4170059
2026-05-20,35.74,36.54,34.7,36.47,5500767
2026-05-21,35.97,36.77,35.22,36.75,4808250
2026-05-22,36.54,37.12,35.8,36.34,2902164
2026-05-26,36.01,36.96,35.59,35.74,3807287
2026-05-27,35.79,37.64,35.7,36.05,3390351
2026-05-28,35.76,35.91,35.31,35.44,3530652
