,equity
2026-02-02,1000549.6672790576
2026-02-03,997820.6145657079
2026-02-04,992566.4381167822
2026-02-05,986989.8294431607
2026-02-06,994751.6900239154
2026-02-09,1000774.8718508496
2026-02-10,997371.2346730062
2026-02-11,998325.686080117
2026-02-12,988858.7233537198
2026-02-13,992011.895898822
2026-02-17,986273.1788038587
2026-02-18,996330.09117685
2026-02-19,998350.6491780899
2026-02-20,1009143.2597681064
2026-02-23,993991.184086146
2026-02-24,1004911.4766059873
2026-02-25,1019774.0850727367
2026-02-26,1007709.6175204325
2026-02-27,996001.9436358828
2026-03-02,992855.8167516751
2026-03-03,965347.3212226776
2026-03-04,981591.5289012177
2026-03-05,977104.679170405
2026-03-06,954606.6068300206
2026-03-09,969583.3755103208
2026-03-10,965417.406575463
2026-03-11,970170.2386280032
2026-03-12,948682.9270571012
2026-03-13,940066.6815500039
2026-03-16,956265.5789970735
2026-03-17,961607.470981201
2026-03-18,941996.4645637185
2026-03-19,939237.376908895
2026-03-20,908741.0911534694
2026-03-23,921210.5484945973
2026-03-24,907409.9703609063
2026-03-25,913540.2779672319
2026-03-26,891599.0880890667
2026-03-27,876626.4235583489
2026-03-30,866066.3018929196
2026-03-31,888374.705077009
2026-04-01,890550.794171987
2026-04-02,895781.0337951004
2026-04-06,904131.0093477869
2026-04-07,906980.212345265
2026-04-08,928619.180710337
2026-04-09,933732.2212856972
2026-04-10,930710.9672744076
2026-04-13,944962.9013087375
2026-04-14,970445.7697285402
2026-04-15,986462.0166480741
2026-04-16,991247.163080097
2026-04-17,1004243.4310109668
2026-04-20,1002327.8638079672
2026-04-21,992877.9500642084
2026-04-22,1020760.1047363256
2026-04-23,1006730.1010278907
2026-04-24,1026042.0994978572
2026-04-27,1031694.4516487492
2026-04-28,1021283.010434908
2026-04-29,1023475.0474142502
2026-04-30,1043089.8498205497
2026-05-01,1052070.196894172
2026-05-04,1056391.8666117683
2026-05-05,1071287.7010019582
2026-05-06,1086813.3463834205
2026-05-07,1078978.795027941
2026-05-08,1084410.3156675117
2026-05-11,1085229.918549352
2026-05-12,1083426.5835045495
2026-05-13,1088656.3796106016
2026-05-14,1096973.9812576857
2026-05-15,1087009.2862362112
2026-05-18,1089189.713769181
2026-05-19,1083542.9804918028
2026-05-20,1086322.6806149695
2026-05-21,1084588.4378212807
2026-05-22,1086250.3313568607
2026-05-26,1083428.6205494672
2026-05-27,1084277.323775887
2026-05-28,1086143.1395484686
2026-05-29,1082472.142210578
2026-06-01,1083810.6197500157
2026-06-02,1085404.110609418
2026-06-03,1078568.5434494824
2026-06-04,1082372.995591088
2026-06-05,1075944.219478157
2026-06-08,1074121.3167726437
2026-06-09,1075257.7794043336
2026-06-10,1076416.4170828017
2026-06-11,1077941.618220261
2026-06-12,1078442.1763651296
2026-06-15,1077125.6592851754
2026-06-16,1077860.9714008265
2026-06-17,1073180.292962272
2026-06-18,1072504.3551725673
2026-06-22,1071820.8882016111
2026-06-23,1073290.6118076763
2026-06-24,1073173.105669051
2026-06-25,1072907.0494496007
2026-06-26,1075579.3708276998
2026-06-29,1075323.1581526252
2026-06-30,1073620.9547109324
2026-07-01,1074506.173787388
2026-07-02,1077863.825437881
2026-07-06,1077345.7030184472
2026-07-07,1077135.6352769006
2026-07-08,1075584.2627988893
2026-07-09,1075712.7186414192
2026-07-10,1076286.3491038908
2026-07-13,1076977.1697407174
2026-07-14,1076327.5313697453
2026-07-15,1076190.615059509
2026-07-16,1078717.5358457572
2026-07-17,1077149.4846916557
