long_only,min_conf,max_risk,allow_options,thesis_only,total_return,sharpe,max_drawdown,n_trades,win_rate,profit_factor
False,0.4,10,True,False,-0.0025,0.03,-0.1507,492,0.313,0.99
False,0.4,10,True,True,-0.0162,-0.26,-0.1159,359,0.306,0.88
False,0.4,10,False,False,0.0092,0.2,-0.1293,499,0.321,1.05
False,0.4,10,False,True,-0.0085,-0.13,-0.0965,359,0.306,0.93
False,0.4,7,True,False,0.0009,0.08,-0.1456,452,0.314,1.0
False,0.4,7,True,True,-0.0121,-0.19,-0.1108,290,0.283,0.9
False,0.4,7,False,False,0.0042,0.12,-0.1297,450,0.313,1.03
False,0.4,7,False,True,-0.0087,-0.15,-0.0951,290,0.283,0.92
False,0.4,5,True,False,-0.0152,-0.22,-0.1149,393,0.303,0.9
False,0.4,5,True,True,-0.0147,-0.4,-0.0784,195,0.272,0.82
False,0.4,5,False,False,-0.0088,-0.12,-0.1046,393,0.303,0.94
False,0.4,5,False,True,-0.0083,-0.23,-0.0678,195,0.272,0.89
False,0.5,10,True,False,-0.0015,0.05,-0.1527,483,0.317,0.99
False,0.5,10,True,True,-0.0157,-0.25,-0.1148,343,0.303,0.88
False,0.5,10,False,False,0.0124,0.25,-0.1286,486,0.323,1.07
False,0.5,10,False,True,-0.0079,-0.12,-0.0955,343,0.303,0.93
False,0.5,7,True,False,0.0017,0.09,-0.1473,440,0.314,1.01
False,0.5,7,True,True,-0.0111,-0.17,-0.1098,279,0.283,0.9
False,0.5,7,False,False,0.0076,0.17,-0.1309,440,0.318,1.05
False,0.5,7,False,True,-0.0077,-0.13,-0.0941,279,0.283,0.92
False,0.5,5,True,False,-0.01,-0.13,-0.1142,385,0.312,0.93
False,0.5,5,True,True,-0.0145,-0.4,-0.0777,189,0.27,0.82
False,0.5,5,False,False,-0.0036,-0.02,-0.1039,385,0.312,0.97
False,0.5,5,False,True,-0.0081,-0.23,-0.0671,189,0.27,0.89
False,0.6,10,True,False,0.0068,0.17,-0.1477,447,0.324,1.04
False,0.6,10,True,True,-0.014,-0.24,-0.1056,263,0.289,0.88
False,0.6,10,False,False,0.0164,0.31,-0.1257,445,0.321,1.1
False,0.6,10,False,True,-0.0062,-0.1,-0.0861,263,0.289,0.94
False,0.6,7,True,False,0.0077,0.18,-0.1424,409,0.313,1.05
False,0.6,7,True,True,-0.0102,-0.17,-0.1022,220,0.268,0.9
False,0.6,7,False,False,0.0144,0.28,-0.1253,405,0.319,1.09
False,0.6,7,False,True,-0.0069,-0.12,-0.0864,220,0.268,0.92
False,0.6,5,True,False,-0.0122,-0.16,-0.1129,351,0.305,0.91
False,0.6,5,True,True,-0.0142,-0.41,-0.0733,153,0.261,0.8
False,0.6,5,False,False,-0.0058,-0.06,-0.1026,351,0.305,0.96
