scenario,sample_weeks,effect_market,effect_climatology,market_rejection_rate,climatology_rejection_rate,joint_rejection_rate,extrapolates_observed_weeks,observed_weeks
global_null,28,0.0,0.0,0.05,0.05,0.014,False,28
boundary_market_null,28,0.0,0.005,0.05,0.0642,0.0166,False,28
boundary_climatology_null,28,0.005,0.0,0.0914,0.05,0.0228,False,28
half_mpe,28,0.0025,0.0025,0.0706,0.0582,0.02,False,28
minimum_practical_effect,28,0.005,0.005,0.0914,0.0642,0.0288,False,28
double_mpe,28,0.01,0.01,0.152,0.0764,0.0478,False,28
global_null,30,0.0,0.0,0.05,0.05,0.0178,True,28
boundary_market_null,30,0.0,0.005,0.05,0.063,0.0196,True,28
boundary_climatology_null,30,0.005,0.0,0.0958,0.05,0.026,True,28
half_mpe,30,0.0025,0.0025,0.0708,0.0574,0.0228,True,28
minimum_practical_effect,30,0.005,0.005,0.0958,0.063,0.0304,True,28
double_mpe,30,0.01,0.01,0.1548,0.0826,0.0522,True,28
global_null,52,0.0,0.0,0.05,0.05,0.0224,True,28
boundary_market_null,52,0.0,0.005,0.05,0.0708,0.0274,True,28
boundary_climatology_null,52,0.005,0.0,0.0862,0.05,0.0314,True,28
half_mpe,52,0.0025,0.0025,0.0678,0.0608,0.031,True,28
minimum_practical_effect,52,0.005,0.005,0.0862,0.0708,0.0406,True,28
double_mpe,52,0.01,0.01,0.1158,0.0986,0.0626,True,28
global_null,78,0.0,0.0,0.05,0.05,0.02,True,28
boundary_market_null,78,0.0,0.005,0.05,0.0762,0.0268,True,28
boundary_climatology_null,78,0.005,0.0,0.0862,0.05,0.0264,True,28
half_mpe,78,0.0025,0.0025,0.0634,0.0624,0.0274,True,28
minimum_practical_effect,78,0.005,0.005,0.0862,0.0762,0.0368,True,28
double_mpe,78,0.01,0.01,0.1424,0.1186,0.0726,True,28
global_null,104,0.0,0.0,0.05,0.05,0.0206,True,28
boundary_market_null,104,0.0,0.005,0.05,0.086,0.0284,True,28
boundary_climatology_null,104,0.005,0.0,0.092,0.05,0.0332,True,28
half_mpe,104,0.0025,0.0025,0.0724,0.0662,0.0332,True,28
minimum_practical_effect,104,0.005,0.005,0.092,0.086,0.0492,True,28
double_mpe,104,0.01,0.01,0.146,0.1354,0.0824,True,28
