min_edge,kelly_fraction,max_stake_fraction,trades,event_groups,weeks,mean_event_pnl,total_pnl,selected
0.03,0.25,0.02,47,47,18,0.20309014905267384,9.54523700547567,False
0.03,0.25,0.05,47,47,18,0.20309014905267384,9.54523700547567,False
0.03,0.5,0.02,47,47,18,0.20309014905267384,9.54523700547567,False
0.03,0.5,0.05,47,47,18,0.20309014905267384,9.54523700547567,False
0.05,0.25,0.02,40,40,18,0.2133846916089245,8.53538766435698,True
0.05,0.25,0.05,40,40,18,0.2133846916089245,8.53538766435698,False
0.05,0.5,0.02,40,40,18,0.2133846916089245,8.53538766435698,False
0.05,0.5,0.05,40,40,18,0.2133846916089245,8.53538766435698,False
0.08,0.25,0.02,34,34,17,-0.061218486872225523,-2.081428553655668,False
0.08,0.25,0.05,34,34,17,-0.061218486872225523,-2.081428553655668,False
0.08,0.5,0.02,34,34,17,-0.061218486872225523,-2.081428553655668,False
0.08,0.5,0.05,34,34,17,-0.061218486872225523,-2.081428553655668,False
0.1,0.25,0.02,32,32,15,-0.002544642301739619,-0.08142855365566781,False
0.1,0.25,0.05,32,32,15,-0.002544642301739619,-0.08142855365566781,False
0.1,0.5,0.02,32,32,15,-0.002544642301739619,-0.08142855365566781,False
0.1,0.5,0.05,32,32,15,-0.002544642301739619,-0.08142855365566781,False
